Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
PD,11243,LEOPARD 5 EC,8036
PD,11253,,249
PD,11253,CALLISTO,273
PD,11255,,1587
PD,11257,,1
PD,11257,COSTAR WG,25.5
PD,11258,,5
PD,11258,FAZOR STAR,120
PD,11303,,130
PD,11303,CHAMP DP,50
PD,11341,,44
PD,11341,STARANE GOLD,799
PD,11353,,464
PD,11353,FUSILADE MAX,393
PD,11379,,410
PD,11393,,162
PD,11393,BEETLE,244
PD,11402,MELODY COMBI,570
PD,11416,,2
PD,11416,OVIPRON TOP,60
PD,11435,FLORANET,84
PD,11449,,160
PD,11449,GARDOPRIM GOLD,90
PD,11479,BRANCHER DIRADO,147
PD,11497,,5
PD,11505,,21
PD,11505,READY GERMIPLUS,245
PD,11523,SEPRADINA 400 SC,1
PD,11525,FUNGIDINA 400 SC,17
PD,11526,,426
PD,11526,SULTAN,558
PD,11556,,0.02
PD,11561,,2
PD,11561,NEEMAZAL T/S,2
PD,11569,CUPROXAT S.D.I.,391
PD,11619,TIOFLOR WDG,11
PD,11637,,152
PD,11637,CUPROFIX C DISPERSS,660
PD,11642,PIKAR,1
PD,11649,,468.2
PD,11649,COMMAND 36 CS,544.8
PD,11660,SHOGUN,1
PD,11678,,1
PD,11678,ACTELLIC 2/P NEWPHARM,623
PD,11679,GIBERAL COMPRESSE,1.3
PD,11687,ACTELLIC 5 NEWPHARM,10380
PD,11690,,3
PD,11693,,40.5
PD,11693,LASER,31.25
PD,11735,DELICIA CONTRA-LUMACHE,1.8
PD,11760,,360
PD,11760,POLITHIOL,2560
PD,11767,BIG MAIS,19
PD,11779,KOP-TWIN,460
PD,11793,,150
PD,11793,XENTARI WG,3
PD,11793,XENTARI WG 500 g,0.5
PD,11794,,1
PD,11857,MIDAURIL COMBI,1115
PD,11872,RIFLE 3-18-R,2
PD,11926,NOIDIO GOLD 10 EC,1
PD,11944,,510
PD,11944,ASPECT,55
PD,11964,POLTIGLIA CAFFARO 20 GD,50
PD,11991,,6
PD,11991,NEEMIK TEN,66
PD,11999,,690
PD,11999,BUSSOLA WG NC,370
PD,12010,TUAREG,60
PD,12020,,0.25
PD,12020,SUCCESS,0.1
PD,12020,SUCCESS 50 ml,0.15
PD,12023,,258
PD,12037,,40
PD,12037,CAMIX,1005
PD,12041,,1012
PD,12041,MARTOS,66
PD,12043,,48
PD,12043,PREVICUR ENERGY,14
PD,12044,CURZATE SYSTEM,5
