num_registrazione;denominazione_prodotto;ragione_sociale;indirizzo_sede_legale;cap_sede_legale;comune_sede_legale;provincia_sede_legale;indirizzo_sede_amministrativa;cap_sede_amministrativa;comune_sede_amministrativa;provincia_sede_amministrativa;data_registrazione;data_scadenza_autorizzazione;indicazioni_di_pericolo;attivita;codice_formulazione;descrizione_formulazione;sostanze_attive;contenuto_per_100g_di_prodotto;importazione_parallela;PFnPO;PFnPE;stato_amministrativo;motivo_della revoca;data_decreto_revoca;data_decorrenza_revoca
012396;PODIUM 25 PB;ROCCA FRUTTA S.R.L.;VIA RAVENNA, 1114;44040;GAIBANA;FERRARA;VIA RAVENNA, 1114;44040;GAIBANA;FERRARA;09/12/2004;09/12/2009;(N) PERICOLOSO PER L'AMBIENTE;INSETTICIDA;WP;POLVERE BAGNABILE;BUPROFEZIN;25.0 g;NO;NO;NO;Revocato;-;-;30/03/2009
012397;CLEAN SOIL G;CHEMTURA ITALY S.R.L.;VIA PICO DELLA MIRANDOLA, 8;04013;LATINA SCALO;LATINA;VIA PICO DELLA MIRANDOLA, 8;04013;LATINA SCALO;LATINA;24/12/2004;24/12/2014;-;DISERBANTE;GR;GRANULARE;DICHLOBENIL;6.8 g;NO;NO;NO;Revocato;-;-;18/03/2009
012398;FORTUNE G;CHEMTURA ITALY S.R.L.;VIA PICO DELLA MIRANDOLA, 8;04013;LATINA SCALO;LATINA;VIA PICO DELLA MIRANDOLA, 8;04013;LATINA SCALO;LATINA;24/12/2004;24/12/2014;-;DISERBANTE;GR;GRANULARE;DICHLOBENIL;6.8 g;NO;NO;NO;Revocato;-;-;18/03/2009
012399;GANZO;SHARDA CROPCHEM ESPANA S.L.;EDIFICIO ATALAYAS BUSINESS CENTER, CARRIL CONDOMINA N. 3, 12TH FLOOR;30006;MURCIA;-;EDIFICIO ATALAYAS BUSINESS CENTER, CARRIL CONDOMINA N. 3, 12TH FLOOR;30006;MURCIA;-;24/12/2004;31/05/2021;(XN) NOCIVO;FUNGICIDA;EC;CONCENTRATO EMULSIONABILE;MYCLOBUTANIL;13.4 g;NO;NO;NO;Revocato;-;-;01/06/2021
012400;SOLARIS 500;CHEMIA S.P.A.;VIA STATALE N. 327;44047;FERRARA;FERRARA;VIA STATALE, 327;44040;SANT'AGOSTINO;FERRARA;24/12/2004;31/12/2011;(N) PERICOLOSO PER L'AMBIENTE|(T  ) MOLTO TOSSICO;ACARICIDA;SC;SOSPENSIONE CONCENTRATA;FENBUTATIN OXIDE;50.0 g;NO;NO;NO;Revocato;-;-;01/12/2011
012401;APAREX FLO;CHEMIA S.P.A.;VIA STATALE N. 327;44047;FERRARA;FERRARA;VIA STATALE, 327;44040;SANT'AGOSTINO;FERRARA;24/12/2004;31/12/2011;(XN) NOCIVO;FUNGICIDA;SC;SOSPENSIONE CONCENTRATA;DODINE;37.9 g;NO;NO;NO;Revocato;-;-;01/12/2011
012402;GARDENOX 2G;SCAM S.P.A.;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;STRADA BELLARIA, 164;41100;S.MARIA DI MUGNANO;MODENA;09/12/2004;31/12/2008;-;-;GR;GRANULARE;OXADIAZON;2.0 g;NO;NO;NO;Revocato;-;-;31/12/2009
012403;ARICAT;AGROWIN BIOSCIENCES S.R.L.;VIA MONTEGRAPPA, 7;24121;BERGAMO;BERGAMO;VIA F. MUSAZZI, 24;20025;LEGNANO;MILANO;24/01/2005;21/07/2009;-;INSETTICIDA;SC;SOSPENSIONE CONCENTRATA;BUPROFEZIN;25.0 g;NO;NO;NO;Revocato;-;-;30/03/2009
012404;TERACHLOR TZ;MONSANTO AGRICOLTURA ITALIA S.P.A.;Viale Certosa n. 130;20156;MILANO;MILANO;Viale Certosa n. 130;20156;MILANO;MILANO;09/12/2004;09/12/2014;-;DISERBANTE;CS;SOSPENSIONE DI CAPSULE;ALACLOR|TERBUTHYLAZINE;29.0 g|12.0 g;NO;NO;NO;Revocato;-;-;19/06/2007
012405;BOGART;TECOMAG S.R.L.;VIA BELLARIA, 356/A;41010;S.MARTINO DI MUGNANO;MODENA;VIA BELLARIA, 356/A;41010;S. MARTINO DI MUGNANO;MODENA;24/12/2004;31/12/2008;-;FUNGICIDA;SL;CONCENTRATO SOLUBILE;PROPAMOCARB;66.5 g;NO;NO;NO;Revocato;-;-;01/10/2007
012406;PLIS;GLOBACHEM NV;LICHTENBERGLAAN, 2019;B-3803;SINT-TRUIDEN;-;LICHTENBERGLAAN, 2019;B-3803;SINT-TRUIDEN;-;24/12/2004;31/12/2041;(XI) IRRITANTE;FITOREGOLATORE;SL;CONCENTRATO SOLUBILE;GIBBERELLINS (A4+A7)|6-BENZYLADENINE;1.8 g|1.8 g;NO;NO;NO;Ri-registrato;-;-;-
