crop_code,crop_it,area_code,area_it,year,superficie_totale_ha,superficie_in_produzione_ha,produzione_raccolta_q,produzione_totale_q,resa_calculada_t_ha,dataflow,source_url
BARLEY,orzo,ITD2,Provincia Autonoma Trento,2026,5,,200,200,4.0,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD3,Veneto,2024,16014,,663605,676870,4.14,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD3,Veneto,2025,12626,,570361,581767,4.52,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD3,Veneto,2026,12626,,679789,693385,5.38,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD4,Friuli-Venezia Giulia,2024,10162,,352113,355670,3.46,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD4,Friuli-Venezia Giulia,2025,7952,,328386,331703,4.13,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD4,Friuli-Venezia Giulia,2026,7952,,354261,357840,4.45,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD5,Emilia-Romagna,2024,17424,,859914,868845,4.94,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD5,Emilia-Romagna,2025,14782,,704648,704648,4.77,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITD5,Emilia-Romagna,2026,15611,,952032,952032,6.1,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITDA,Trentino Alto Adige / Südtirol,2024,54,,2000,2000,3.7,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITDA,Trentino Alto Adige / Südtirol,2025,46,,1620,1620,3.52,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITDA,Trentino Alto Adige / Südtirol,2026,40,,1425,1425,3.56,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE1,Toscana,2024,14861,,450754,450954,3.03,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE1,Toscana,2025,11823,,353657,353872,2.99,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE1,Toscana,2026,11494,,349749,349809,3.04,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE2,Umbria,2024,16100,,610000,610000,3.79,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE2,Umbria,2025,16700,,670000,670000,4.01,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE2,Umbria,2026,18000,,742000,742000,4.12,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE3,Marche,2024,10944,,461221,461221,4.21,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE3,Marche,2025,10639,,461365,461365,4.34,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE3,Marche,2026,11819,,629359,629359,5.32,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE4,Lazio,2024,16265,,605080,613180,3.72,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE4,Lazio,2025,16270,,607040,623300,3.73,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITE4,Lazio,2026,16375,,643400,659500,3.93,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF1,Abruzzo,2024,20450,,632000,632000,3.09,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF1,Abruzzo,2025,20450,,634000,634000,3.1,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF1,Abruzzo,2026,20250,,693500,693500,3.42,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF2,Molise,2024,1860,,70040,70040,3.77,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF2,Molise,2025,1860,,72060,72060,3.87,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF2,Molise,2026,1970,,76320,76320,3.87,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF3,Campania,2024,12602,,403127,405801,3.2,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF3,Campania,2025,12785,,486550,486550,3.81,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF3,Campania,2026,12700,,479000,479000,3.77,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF4,Puglia,2024,19050,,434500,470000,2.28,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF4,Puglia,2025,19150,,448700,477000,2.34,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF4,Puglia,2026,31400,,830000,859000,2.64,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF5,Basilicata,2024,17185,,410890,410896,2.39,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF5,Basilicata,2025,17185,,410890,410896,2.39,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF5,Basilicata,2026,17280,,436791,438596,2.53,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF6,Calabria,2024,7819,,216957,221645,2.77,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF6,Calabria,2025,7819,,218477,223001,2.79,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITF6,Calabria,2026,7876,,219267,223926,2.78,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITG1,Sicilia,2024,4896,,125636,126325,2.57,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITG1,Sicilia,2025,4779,,127508,128122,2.67,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITG1,Sicilia,2026,2953,,78239,79115,2.65,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITG2,Sardegna,2024,11847,,260073,260073,2.2,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITG2,Sardegna,2025,11712,,269265,269265,2.3,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BARLEY,orzo,ITG2,Sardegna,2026,8630,,133389,133389,1.55,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,IT,Italia,2024,29230,,15344390,17436041,52.5,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,IT,Italia,2025,18680,,9140281,10133687,48.93,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITC1,Piemonte,2024,389,,150515,183470,38.69,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITC1,Piemonte,2025,331,,146074,167477,44.13,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITC4,Lombardia,2024,2046,,888495,1025868,43.43,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITC4,Lombardia,2025,1098,,527008,588806,48.0,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITD3,Veneto,2024,7697,,3604735,3929357,46.83,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITD3,Veneto,2025,4734,,2629434,2862745,55.54,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITD4,Friuli-Venezia Giulia,2024,319,,112403,121061,35.24,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITD4,Friuli-Venezia Giulia,2025,393,,219797,238846,55.93,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITD5,Emilia-Romagna,2024,16363,,9541612,10962354,58.31,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITD5,Emilia-Romagna,2025,9810,,4675877,5233046,47.66,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITE1,Toscana,2025,5,,2915,3203,58.3,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
BEETS,barbabietola da zucchero,ITE2,Umbria,2024,18,,14226,18128,79.03,IT1:101_1015(1.0),"https://esploradati.istat.it/SDMXWS/rest/data/IT1,101_1015,1.0/"
