Prodotti fitosanitari venduti nell'anno 2019 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2017, art. 16 D.Lgs. 150/2012);;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;16630;NATUREN LIMEX;4,05
BL;16737;ZELIG G.50;12,00
BL;16787;CLINIC ST;5,00
BL;16836;STALLION IT SYNC;10,00
BL;16886;CLOSER;24,00
BL;16896;ZORVEC ZELAVIN;1,60
BL;16945;SERCADIS;1,20
BL;17072;DIREX 50 GR PFnPE;61,20
BL;17075;MOVIDA;5,00
PD;13;;11.390,00
PD;13;THIOPRON;21.527,00
PD;13;THIOPRON ZOLFO;40,00
PD;17;;9,00
PD;17;U 46 COMBI FLUID;6,00
PD;17;U 46 COMBI-FLUID;10,00
PD;133;U 46 D-FLUID;20,00
PD;206;;75,00
PD;206;ALBENE;55,00
PD;449;;5.100,00
PD;449;MOCAP;1.500,00
PD;599;;99,00
PD;599;ACUPRICO 76 WG;205,00
PD;619;VALGRAN;14,00
PD;630;;1.694,00
PD;630;REGLONE;140,00
PD;630;REGLONE W;809,00
PD;630;REGLONE W (T+N);0,00
PD;630;REGLONE W1;106,00
PD;747;;240,00
PD;747;ZOLFO SPRUZZABILE;1.090,00
PD;886;SENCOR WG;0,50
PD;909;;3.100,00
PD;909;POLISOLFURO DI CALCIO POLISENIO;3.250,00
PD;1147;FITONEX COMBI;5,00
PD;1155;;30,00
PD;1155;CHEMOL 90;27,00
PD;1155;CHEMOL 90 EL;105,00
PD;1156;;2.735,00
PD;1156;CHEMOL;6.606,00
PD;1562;;517,00
PD;1573;;100,00
PD;1573;BASAMID GRANULAT;20,00
PD;1583;;12.358,00
PD;1583;MICROTHIOL DISPERSS;68.819,00
PD;1714;;308,00
PD;1714;KERB 80 EDF;360,00
PD;1850;;53,50
PD;1850;IDRORAME FLOW;28,00
PD;1850;IDRORAME FLOW PFnPE;3,50
PD;1936;LIQUIZOL M;664,00
PD;2191;;32,00
PD;2191;WETTING PLUS;349,00
PD;2249;;4,00
PD;2249;MALERBANE PRATI 400;1,00
PD;2259;PASTA LUMACHICIDA IN GRANI;358,70
PD;2259;PASTA LUMACHICIDA IN GRANI PFnPE 50;24,50
PD;2260;GASTROTOX E;60,00
PD;2272;SILLIM;24,50
PD;2307;;849,00
PD;2307;VECTOR;1.846,30
PD;2353;;264,00
PD;2353;BONALAN;184,00
PD;2518;ACTELLIC 2P;6,80
PD;2520;;5,00
PD;2520;ACTELLIC;2,00
PD;2732;;1.999,00
PD;2732;GOLTIX;1.667,00
PD;2923;;5.734,00
PD;2923;TIOVIT JET;27.712,00
PD;2934;MICROSOL 90;75,00
PD;2995;;193,50
PD;2995;ESCARTOX;2.927,00
PD;3065;;27,00
PD;3065;OLIOCIN;472,50
PD;3065;OLIOCIN PFnPE;3,50
PD;3082;OLEOTER ESTATE;10,00
PD;3102;;37,00
PD;3102;OLEOTER;542,50
PD;3102;OLEOTER PFnPE 500 ml;9,50
PD;3132;SEPR-OIL;20,00
PD;3132;SEPR-OIL PFnPE;4,00
PD;3163;U 46 M STAR;53,00
PD;3219;;96,00
PD;3219;CARAKOL AGRO;5,00
PD;3219;CARAKOL AGRO PFnPE;652,50
PD;3412;SYLLIT 65;12,00
PD;3468;;55,00
PD;3468;DACOL 40 ST;0,00
PD;3468;DACOL L 40;17,00
PD;3468;DACOL L 40 ST;46,00
PD;3468;DACOL L40 ST;16,00
PD;3486;TRISCABOL DG;4,00
PD;3503;AGRUMIN;485,00
PD;3519;;2,00
PD;3519;METAMBANE;4,00
PD;3553;CURZATE;16,00
PD;3640;;253,00
PD;3640;CUPROSTAR;8,00
PD;3658;SIPCAMOL E;6,75
PD;3754;BAGNANTE SARIAF;46,00
PD;3767;;163,00
PD;3767;FENOXILENE 200;587,00
PD;3793;DITHANE M-45;22,00
PD;3800;;340,00
PD;3817;DISERBONE KN;13,00
PD;3859;DURSBAN;113,00
PD;4012;;46,50
PD;4012;RELDAN 22;823,00
PD;4199;;7.697,00
PD;4199;PENNCOZEB DG;11.644,00
PD;4228;;512,00
PD;4228;ROGOR 400 ST;125,00
PD;4326;;422,00
PD;4326;ROGOR L 40;0,00
PD;4326;ROGOR L 40 ST;21,00
PD;4326;ROGOR L40 ST;25,00
PD;4426;DECIS;1,00
PD;4552;;230,00
PD;4552;DITHANE DG NEOTEC;1.879,00
PD;4701;;10,00
PD;4701;PIRIMOR 50;32,00
PD;4710;;91,00
PD;4710;ALIETTE;1.132,00
PD;4710;ALIETTE 150 gr;24,00
PD;4710;ALIETTE PFnPE;15,60
PD;4710;FUNGHICIDA ALIETTE G 150;0,75
PD;4896;RIGENAL P;8,30
PD;4896;RIGENAL P PFnPE;7,30
PD;4896;RIGENAL P PFnPE 100 g;2,40
PD;5152;TIOSPOR WG;7.525,00
PD;5228;;203,00
PD;5228;CARAKOL PFnPE;836,00
PD;5292;FIXORMON;25,00
PD;5299;;51,75
PD;5299;MIBIOL;4.068,50
PD;5299;MIBIOL PFnPE;385,25
PD;5333;GIBRESOL;0,25
PD;5414;RADICANTE POLVERE TALEE LEGNOSE;0,60
PD;5414;RADICANTE POLVERE TALEE LEGNOSE PFn;0,60
PD;5467;METADENE PFnPE 1 kg;8,00
PD;5574;;25,50
PD;5574;LUMAKIDIN 5G;12,00
PD;5574;LUMAKIDIN 5G PFnPE;16,00
PD;5755;;4,50
PD;5755;TILT 25 EC;6,50
PD;6001;BETAFIL FL;50,00
PD;6092;FRUGON TF;1,00
PD;6136;;34,00
PD;6136;GERMON L;108,00
PD;6298;FASTAC;5,00
PD;6321;;26,00
PD;6321;STIMOLANTE 66F;27,50
PD;6322;;19,00
PD;6322;OBSTHORMON 24A;7,30
PD;6389;DUECI-FITO RADICANTE;1,60
PD;6389;DUECI-FITO RADICANTE PFnPE;1,85
PD;6437;ETHREL;12,00
PD;6438;;29,00
PD;6505;;0,50
PD;6555;K-OBIOL ULV 6;41.260,00
PD;6556;;96,00
PD;6556;K-OBIOL DP2;1.528,00
PD;6557;;6,00
PD;6557;K-OBIOL EC 25;2.137,00
PD;6704;TIOLENE 80 WG;2.721,00
PD;6751;RASEN FLORANID PFnPE;597,00
PD;6771;;2.502,00
PD;6873;IDRORAME 193;762,00
PD;6945;;10,00
