"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
RO;14769;COMET 250 EC;4.121,00
RO;14794;AVALON SC;1.980,00
RO;14808;PROXANIL SC;140,00
RO;14812;;63,00
RO;14812;ENERVIN TOP;235,00
RO;14819;VALIS M;574,00
RO;14830;CUPROFIX ULTRA DISPERSS;205,00
RO;14836;BARBARIAN BIOGRADE 360;168,00
RO;14836;BARBARIAN BIOGRADE 360 PFnPE;151,00
RO;14838;BARCLAY GALLUP BIOGRADE 360;958,00
RO;14845;;39,00
RO;14846;AVALON 250 EW;194,00
RO;14851;ANTIMUSCHIO CONCENTRATO CLP;1,00
RO;14854;KARAMAT M;7,00
RO;14867;;2,00
RO;14867;SYNERO;71,00
RO;14872;;10,00
RO;14872;BELLIS DRUPACEE;35,00
RO;14876;;4,00
RO;14876;GRANDSTAND;1,50
RO;14879;;4,65
RO;14879;LONTREL 72 SG;50,75
RO;14884;;338,00
RO;14884;CORUM;7.499,00
RO;14884;CORUM Conf. Da 1 Lt CLP;3,00
RO;14884;CORUM LT. 1;7,00
RO;14884;CORUM LT. 5;10,00
RO;14891;;150,00
RO;14891;TRICO;100,00
RO;14891;TRICO REPELLENTE Conf 1 Litro;1,00
RO;14897;;1,00
RO;14897;FLUROSTAR 200;75,00
RO;14900;KENKIO;300,00
RO;14913;;10,00
RO;14913;BIOTRIX;20,00
RO;14916;SILWET SPRINTEX;113,00
RO;14918;RIVIOR;204,00
RO;14919;EMERALD 125 PFnPE;1,70
RO;14935;;1.137,00
RO;14935;TIMELINE TRIO;1.171,00
RO;14935;TIMELINE TRIO LT. 1;3,00
RO;14936;AMPLIGO;775,50
RO;14940;;5,00
RO;14940;TAKUMI;8,00
RO;14944;FLUXYR 200 EC;165,00
RO;14951;BOTECTOR;4,00
RO;14967;TIPTOR ULTRA;262,00
RO;14969;HOPPER 480;30,00
RO;14972;DICARZOL 50 SP;113,00
RO;14972;DICARZOL 50 SP Conf. Da 1 LCLP;1,00
RO;14980;;24,00
RO;14980;AFFINITY PLUS;23,00
RO;15005;;11,00
RO;15005;FONTELIS;78,00
RO;15008;LBG - 01F34;40,00
RO;15013;NATRIA LUMACHICIDA PFnPE;61,00
RO;15019;RIVIERA;6,00
RO;15023;DERREX;440,00
RO;15037;BREZZA;20,00
RO;15039;;157,00
RO;15039;GAMIT 36 CS;298,50
RO;15047;R6 ERRESEI BORDEAUX WG;39,50
RO;15048;;3,00
RO;15049;MODDUS;275,00
RO;15050;;45,00
RO;15050;VERTIMEC PRO;961,00
RO;15050;VERTIMEC PRO Da 1 Lt CLP;4,00
RO;15051;;3.130,00
RO;15051;KYLEO;13.355,00
RO;15052;KAIMO SORBIE;164,60
RO;15057;DICOTEX RTU PFnPO;0,90
RO;15058;;2,20
RO;15058;PRINCIPAL MAIS;119,29
RO;15059;;192,00
RO;15059;DECIS EVO;1.753,25
RO;15059;DECIS EVO C.1 Lt CLP;11,00
RO;15059;DECIS EVO LT. 1;12,00
RO;15059;DECIS EVO ML. 250;2,00
RO;15062;;539,00
RO;15062;PIRAMAX  EC;123,00
RO;15063;NIMBLE;15,00
RO;15071;;5,00
RO;15071;EVOLUTION;435,00
RO;15083;;1,00
RO;15083;AUDACE;588,63
RO;15084;DRUM;3,00
RO;15089;MARKER DUO;365,00
RO;15096;GLIPHOGAN TOP CL;336,00
RO;15096;GLIPHOGAN TOP CL PFnPE;2.356,00
RO;15096;KOLLANT GLIPHOGAN TOP CL;8,00
RO;15100;NECTAR PLUS;41,00
RO;15101;CIMORAM ULTRA WG;50,00
RO;15102;VITENE R WG;7,00
RO;15111;MIRADOR SC;26,00
RO;15115;PROSPER 500 EC;48,00
RO;15119;FORTEZZA;36,00
RO;15121;;440,00
RO;15122;ACTELLIC 50 NEWPHARM;2,00
RO;15130;;20,00
RO;15130;INTREPID;76,00
RO;15142;;286,00
RO;15142;ALCANCE SYNC TEC;5.462,00
RO;15149;;2.775,00
RO;15149;COSAVET DF EDGE;4.440,00
RO;15149;COSAVET DF EDGE Conf 10 Kg CLP;30,00
RO;15177;;44,00
RO;15181;CIRRUS CS;72,00
RO;15187;NAUTIUS;0,20
RO;15198;;200,00
RO;15198;AZBANY;340,00
RO;15199;;256,00
RO;15199;SAKURA;1.226,00
RO;15199;SAKURA Confez. Da 1 LT CLP;83,00
RO;15200;QUALY;44,00
RO;15201;FLOXY 400 SC;1,00
RO;15213;;2,10
RO;15213;DEMETRINA FLOW;1,25
RO;15213;DEMETRINA FLOW PFnPE;7,29
RO;15214;DOROTRIN UNP;0,25
RO;15214;DOROTRIN UNP PFnPE;2,25
RO;15221;ZETARAM PLUS;30,00
RO;15222;FOLICUR COMBI WG;10,00
RO;15223;PANTANI;35,00
RO;15229;;5.450,00
RO;15229;STOPPER P;105,00
RO;15232;CUSTODIA ULTRA;1.158,00
RO;15235;;186,50
RO;15235;MOMENTUM;1.164,00
RO;15235;MOMENTUM PFnPE;29,00
RO;15237;CHIKARA DUO;1,00
RO;15247;;15,00
RO;15251;AIRONE LIQUIDO;4.308,00
RO;15253;;1.491,00
RO;15253;FALCON MK;21,00
RO;15264;ENERVIN SC;30,00
RO;15265;;145,00
RO;15265;PROMAN FLOW;631,00
RO;15267;KUSABI;10,00
RO;15270;PROFELIS;8,54
RO;15275;DURAVIS;85,00
RO;15285;PRIMMA STAR;2,01
RO;15288;OCEAL;13,50
RO;15291;TURFENE PLUS;3,00
RO;15291;TURFENE PLUS PFnPE;70,20
RO;15293;MAVITA 250 EC;49,00
RO;15294;;550,00
RO;15302;;25,00
RO;15302;AMYLO-X;81,00
RO;15307;;74,50
RO;15310;NISSHIN EXTRA 6 OD;19,00
RO;15311;TIZCA;1,00
RO;15315;ALEF;25,00
RO;15317;;82,00
RO;15325;CORNER MZ WG;12,00
RO;15326;;3.860,00
RO;15326;CUPROTEK DISPERSS;380,00
RO;15330;;40,00
RO;15333;;1,00
RO;15333;APPLAUD PLUS PFnPE;0,35
RO;15335;U 46 ULTRA;529,00
RO;15337;EXPRESS;0,20
RO;15344;FILAN WG;31,00
RO;15346;;1,00
RO;15348;;1,00
RO;15348;RIDOMIL GOLD R LIQUIDO;1.163,00
RO;15349;ARES 430 SC;1.536,00
RO;15349;ARES 430 SC Cf.Da 1 Lt CLP;4,00
RO;15356;;102,00
RO;15358;ZOLFO FLOW MCT;4.270,00
RO;15358;ZOLFO FLOW MCT PFnPE;3,50
RO;15361;LIETO;0,45
RO;15365;RAME ZOLFO FLOW MCT;4,00
RO;15369;MAGMA TRIPLE;28,00
RO;15370;;900,00
RO;15371;BELEM PROTEZIONE;468,00
RO;15373;BELEM SUOLO INSETTI;1.080,00
RO;15375;NIC 4;7,00
RO;15378;;469,00
RO;15378;TRAXOS PRONTO 60;2.170,00
RO;15379;;127,50
RO;15379;AXIAL PRONTO 60;349,50
RO;15379;AXIAL PRONTO 60 Lt 0,75 CLP;14,25
RO;15384;;16,00
RO;15384;LUNA EXPERIENCE;486,00
RO;15388;MEXIL ORO R WG;1,00
RO;15389;;2.940,00
RO;15389;FLARE GOLD R WG;60,00
RO;15398;KAMIKAZE;5,00
RO;15401;;2.720,00
RO;15401;TAIFUN MK CL;23.415,50
RO;15401;TAIFUN MK CL 500 Ml PFnPE;9,50
RO;15401;TAIFUN MK CL PFnPE;785,50
RO;15402;DELTASAP Da LT 1 CLP;4,00
RO;15405;;29.138,50
RO;15405;SHAMAL MK PLUS CL;5.377,50
RO;15405;SHAMAL MK PLUS CL PFnPE;329,50
RO;15409;DECISION;590,00
RO;15416;;70,00
RO;15417;DITTO;3,00
RO;15419;ELECTIS R FLOW;47,00
RO;15422;;5,22
RO;15422;TITUS DUO;6,12
RO;15448;REBEL TOP;1,00
RO;15449;CIDELY;31,00
RO;15451;ELIOS WG TOP;30,00
RO;15455;TELDOR PLUS ORTO PFnPE;3,60
RO;15468;ACASTA;265,00
RO;15483;WISH;154,00
RO;15491;SWORD UP;556,00
RO;15493;SIMUN 40 OD;305,00
RO;15496;AGTRIN 25 EC;35,00
RO;15498;ARPEL DUO;11,00
RO;15499;SONG 70 WDG;94,00
RO;15499;SONG 70 WDG GR. 250;5,50
RO;15501;QUIZ;647,00
RO;15505;;6,00
RO;15507;;7,00
RO;15507;CREW SUPERB;164,00
RO;15513;OSSICLOR 35 WG GREEN;50,00
RO;15514;CUPRAVIT BLU 35 WG PFnPE;20,00
RO;15515;POLTIGLIA 20 PB GREEN;895,00
RO;15536;ANTAL;198,00
RO;15537;;10,00
RO;15537;DELTAGRI;896,00
RO;15546;;8,35
RO;15546;BIATHLON 4 D;0,10
RO;15546;BIATHLON 4D;940,65
RO;15546;BIATHLON 4D GR. 350;1,40
RO;15549;;5,00
RO;15549;PROLECTUS 50 WG;56,00
RO;15550;MERLIN FLEXX XTRA;274,00
RO;15553;;21,00
RO;15553;REGALIS PLUS;134,00
RO;15556;TERVIGO;50,00
RO;15562;BELURE-T;0,22
RO;15566;;86,00
RO;15566;VISION PLUS;817,00
RO;15573;;1,00
RO;15573;PROMESS SL;6,00
RO;15574;KARMA 85;160,00
RO;15576;CLERANDA;75,00
RO;15577;ROUNDUP GEL PFnPO;0,50
RO;15580;ESTUDER;6,00
RO;15583;;301,00
RO;15583;PIRAT;328,00
RO;15583;PIRAT conf. da 1 lt. CLP;22,00
RO;15597;CHECKMATE PUFFER CM;11,05
RO;15598;;264,00
RO;15598;CARPOVIRUSINE EVO 2;96,00
RO;15610;CYPERKILL 50 EC;20,00
RO;15610;CYPERKILL 50 EC CLP;60,00
RO;15612;;9,30
RO;15612;SEMPRA;11,35
RO;15618;FULLDINA 400 SC;1,00
RO;15621;BOTTO 50 EC;159,75
RO;15621;BOTTO 50 EC PFnPE;9,25
RO;15630;;49,00
RO;15633;REVUS TOP;5,00
RO;15635;;386,00
RO;15635;ADENGO XTRA;2.281,25
RO;15635;ADENGO XTRA Da Lt 0,5;41,00
RO;15635;ADENGO XTRA ML. 0,500;8,50
RO;15640;PROLINE STAR;175,00
RO;15654;ACCORD;20,00
RO;15654;ACCORD Conf. Da 1 KG*;8,00
RO;15655;;604,00
RO;15655;KEETON 25 WG;20,00
RO;15663;CUPRAVIT 35 WG;50,00
RO;15664;KORING 25 WG;8,00
RO;15664;KORING 25 WG LT. 1;19,00
RO;15665;KEMPO SORBIE;141,10
RO;15668;GHIBLI 240 OD;169,75
RO;15674;;44,30
RO;15680;MITHRA 40 SC;50,00
RO;15689;;559,00
RO;15689;DIFENZONE;156,00
RO;15693;LISTEGO;10,00
RO;15710;CLINCHER ONE;580,00
RO;15711;;65,50
RO;15711;ALSYSTIN;114,50
RO;15713;;0,80
RO;15718;;10,15
RO;15722;ARMICARB 85;5,00
RO;15725;DUAXO;2,40
RO;15725;DUAXO PFnPE;2,40
RO;15735;IKEBANA TRIPLE ACCION PFnPO;11,25
RO;15741;AVADEX FACTOR;2.060,00
RO;15745;SHARPEN 40% SC;68,00
RO;15748;;116,00
RO;15748;SYLLIT 544 SC;184,00
RO;15751;;0,50
RO;15751;VITENE TRIPLO R;9,00
RO;15751;VITENE TRIPLO R PFnPE;98,50
RO;15752;CIDELY TOP;66,00
RO;15753;PYXIDES DUO;452,00
RO;15754;SHARPEN 33% EC;37,00
RO;15769;;50,00
RO;15790;AMISTAR TOP;160,00
RO;15806;ONYX;46,00
RO;15829;RAJAH;109,00
RO;15831;VACCIPLANT;63,00
RO;15838;;1.040,00
RO;15838;ROUNDUP ULTRAMAX;2.210,00
RO;15842;;15,00
RO;15842;AFICIONADO;9,00
RO;15847;MAKURI;30,00
RO;15847;MAKURI conf. da 750 Ml;1,50
RO;15856;AZAKA conf. da 1 lt. CLP;7,00
RO;15868;CENTURION PRO;445,00
RO;15869;;640,00
RO;15869;OPTIX STAR DISPERSS;200,00
RO;15874;LAIZOX;1,00
RO;15882;ATILLA;30,00
RO;15886;METAREX INOV;173,00
RO;15890;CURZATE 60 WG;6,60
RO;15892;BANG PLUS;7,00
RO;15893;GIAGUAR SL PFnPE;0,05
RO;15895;ALTAIR 20 EW;7,00
RO;15897;ALFIL WG;670,00
RO;15900;;3.640,00
RO;15900;TRIKA EXPERT;34.070,00
RO;15901;;7.770,00
RO;15901;ERCOLE;19.730,00
RO;15901;ERCOLE Cf Da 10 KG CLP;130,00
RO;15901;ERCOLE KG. 10;330,00
RO;15907;;27,00
RO;15907;PRESIDIUM ONE;1.328,00
RO;15907;PRESIDIUM ONE PFnPE;0,60
RO;15911;;1,00
RO;15911;SPIROX;27,00
RO;15915;;243,00
RO;15915;STARANE HD;146,00
RO;15926;MOJANG 600;3.159,00
RO;15930;TOMIRIS 125 EW;24,00
RO;15933;AXIENDO PRONTO USO PFnPE;3,00
RO;15948;SINSAJO;178,00
RO;15961;RETENGO NEW;139,00
RO;15965;BORDER;6,00
RO;15974;;165,00
RO;15975;HIATUS;1,80
RO;15986;VEGAS 50 WG;1,80
RO;15989;COMRADE;937,00
RO;15990;;33,10
RO;15990;SCIROCCO 125 EW;275,60
RO;15990;SCIROCCO 125 EW PFnPE;14,40
RO;16007;;604,00
RO;16007;REWARD;68,00
RO;16023;DIMBO 480 SL;65,00
RO;16028;TRIBE 75 WG;3,01
RO;16032;;51,00
RO;16032;RADAR 10 EC;27,00
RO;16033;HEREU SC;41,00
RO;16037;MOJANG TX;1.279,00
RO;16038;CABRIO WG;16,00
RO;16042;TOSCANA;2,16
RO;16051;LENNS;120,00
RO;16051;LENNS PFnPE;16,75
RO;16054;;7,00
RO;16054;SINSTAR;3,00
RO;16063;ARIGO;6,60
RO;16064;CREDIT 540;910,00
RO;16065;SERRATE;164,25
RO;16071;MESOZIN 70 WG;199,25
RO;16074;GLORIAL 25 EC;250,00
RO;16076;;2,00
RO;16076;SOLIS;736,00
RO;16076;SOLIS LT. 1;16,00
RO;16083;STIKER FLOW;3,50
RO;16084;;3,00
RO;16084;BREVIS;27,00
RO;16085;TRIMUR;0,38
RO;16086;NEMGUARD GRANULES;5,00
RO;16089;BUGUIS;787,64
RO;16089;BUGUIS ML. 630;2,52
RO;16098;;23,25
RO;16098;NIBER 70 DF;1,50
RO;16099;SINIS 70 DF;56,25
RO;16101;TOPAS COMBI LIQUIDO;63,00
RO;16104;ELECTIS TRIO WDG;284,00
RO;16104;ELECTIS TRIO WDG PFnPE;8,50
RO;16114;;6,00
RO;16114;SIMITAR   EVO;119,00
RO;16117;SERBY PFnPE;47,00
RO;16126;FLANCO SC;13,60
RO;16132;;12,00
RO;16136;LUMA-GOLD PFnPE;6,00
RO;16139;;3.207,00
RO;16139;SEGURIS XTRA;63,00
RO;16149;;7,00
RO;16159;;85,00
RO;16161;CENTURY SL;200,00
RO;16166;POKER MAX;120,00
RO;16166;POKER MAX PFnPE;1,00
RO;16167;MARACANA;1,00
RO;16170;;30,00
RO;16170;TRICUP FLOW;300,00
RO;16171;HADDEN;0,20
RO;16172;CAL-EX 1,9 EW;57,00
RO;16181;;1,00
RO;16182;;150,00
RO;16182;CLICK PRO;840,00
RO;16187;TANGO R PLUS;2,00
RO;16191;;248,00
RO;16191;TRIMAXX;366,00
RO;16198;EVORAM 15;2.410,00
RO;16205;IDROX 20;290,00
RO;16208;CLEANCLASTER;80,00
RO;16221;;18,20
RO;16221;MADEX TOP;9,90
RO;16224;CUPRORAM 37,5 WG;47,00
RO;16224;CUPRORAM 37,5 WG C.Da10KgCLP;20,00
RO;16226;;259,00
RO;16229;RAM CYM 44 WG;81,00
RO;16232;MINERVE;42,40
RO;16248;FERREX;24,00
RO;16249;CARDINAL 50 WG;100,00
RO;16251;;91,00
RO;16251;AFFIRM OPTI;570,00
RO;16252;;45,00
RO;16252;AMISTAR GOLD;10,00
RO;16255;PANTOX MAX;240,00
RO;16261;BELOUKHA;105,00
RO;16271;FRESCO;625,00
RO;16273;;38,00
RO;16273;SIVANTO PRIME;430,75
RO;16273;SIVANTO PRIME SL;1,00
RO;16279;;1.420,00
RO;16282;DIMIX;3,00
RO;16283;QUANTUM R-OK;150,00
RO;16285;;203,00
RO;16285;KALIMBA;488,00
RO;16287;;122,00
RO;16287;SOLIGOR;3.040,00
RO;16290;;9,60
RO;16290;AMADEUS ULTRA;35,71
RO;16293;;2,00
RO;16293;PACLOT NEW;73,00
RO;16295;;75,00
RO;16299;;2.804,00
RO;16299;PASSAT SL;40,00
RO;16305;BONZI;1,00
RO;16305;BONZI DA LT 1 CLP;1,00
RO;16313;OMNERA   LQM;28,00
RO;16314;;21,00
RO;16314;ZOXIS 250 SC;714,00
RO;16315;RADAR HP PFnPE;5,00
RO;16318;;82,00
RO;16318;REFLECT;138,00
RO;16322;PENNY;38,00
RO;16323;PENDIWIN;122,00
RO;16325;;941,40
RO;16325;EPIK SL;4.828,00
RO;16325;EPIK SL Conf. Da 1 LT CLP;35,00
RO;16325;EPIK SL PFnPE;3,64
RO;16335;LIETO SC;554,00
RO;16336;;3,00
RO;16336;DELAN SC;167,00
RO;16363;;298,70
RO;16363;SIRTAKI;1.496,60
RO;16363;SIRTAKI conf. da 1 lt. * CLP;8,00
RO;16363;SIRTAKI LT. 1;10,00
RO;16363;SIRTAKI ML. 300;1,20
RO;16364;;3.971,00
RO;16364;BISMARK;5.355,00
RO;16364;BISMARK conf. da 1 lt. CLP;2,00
RO;16364;BISMARK LT. 1;3,00
RO;16369;;36,00
RO;16369;ORTIVA TOP SC;162,00
RO;16369;ORTIVA TOP SC CLP 1LT;48,00
RO;16379;;340,00
RO;16379;PREV-AM PLUS;278,00
RO;16379;PREV-AM PLUS Conf. Da 1 Lt CLP;2,00
RO;16381;;238,00
RO;16381;CALLICORE;286,00
RO;16384;;3.024,00
RO;16384;ELATUS ERA;1.963,00
RO;16387;HERBITOTAL CL;580,00
RO;16395;MOHICAN 500 SC;65,00
RO;16395;MOHICAN 500 SC PFnPE;12,00
RO;16396;TEMSA 100;45,90
RO;16399;DECIS 15 EW;1,42
RO;16399;DECIS 15 EW HOBBY PFnPE;74,84
RO;16402;;0,25
RO;16402;ENVIROMITE FL;60,50
RO;16404;BRAI;4,00
RO;16415;;8,50
RO;16415;MADEX TWIN;1,20
RO;16417;;13,00
RO;16422;;8,00
RO;16431;PREVICUR ENERGY ORTO PFnPE;0,80
RO;16433;FLINT RISO;32,00
RO;16434;OLIOCIN NATRIA;2,50
RO;16434;OLIOCIN NATRIA PFnPE;35,50
RO;16438;;20,00
RO;16438;VELUM PRIME;15,00
RO;16438;VELUM PRIME 0,5 LT CLP;1,00
RO;16457;;3.255,00
RO;16457;POLTIGLIA 20 WG GREEN;1.782,00
RO;16457;POLTIGLIA 20 WG GREEN PFnPE;280,00
RO;16458;OSSICLOR 30 GREEN;980,00
RO;16459;SOLEIL 50 WG;9,50
RO;16460;VELIERO 500 EC;1,00
RO;16461;CENTURION 240 NEO;318,00
RO;16470;COLUMBO 0.8 MG PFnPE;138,90
RO;16472;;104,00
RO;16472;CONVISO ONE;93,00
RO;16474;;0,20
RO;16474;MATSUDA 25 WG;2,10
RO;16480;;60,00
RO;16480;3LOGY;364,00
RO;16481;;655,20
RO;16481;CALLISTO 480;38,70
RO;16483;TEMIDE 50 WG;0,50
RO;16485;;13,00
RO;16485;ROMULAN;99,00
RO;16492;VASCO;54,00
RO;16498;;51,00
RO;16498;CETUS 360 CS;82,00
RO;16498;CETUS 360 CS Conf Da Lt;2,00
RO;16509;IBISCO;84,00
RO;16510;ISONET T Da 100 Pz;0,30
RO;16514;CIPROXY;337,00
RO;16514;CIPROXY LT. 1;7,00
RO;16514;CIPROXY LT. 5;5,00
RO;16517;KISHAR;11,00
RO;16517;KISHAR LT. 1;33,00
RO;16519;REMBO' 10 EC;28,00
RO;16523;MISTER C;6,46
RO;16535;TEMIDE MZ;1,00
RO;16538;KITAMBA;45,00
RO;16541;ARYSOIL;25,00
RO;16548;CHECKMATE PUFFER OFM;4,61
RO;16561;RIKALI;1.287,00
RO;16562;;230,00
RO;16562;DELAN PRO;655,00
RO;16563;;434,00
RO;16563;DOROTRIN 25 EC;43,00
RO;16564;MEXIRAM TRI HI BIO;900,00
RO;16565;EXECUTIVE GOLD;22,10
RO;16566;KUPPER 20 WG;420,00
RO;16567;;111,00
RO;16569;ASTREL WDG;0,50
RO;16573;;185,00
RO;16573;FIGHTER;6,00
RO;16575;TRIMMER 50 WG;22,10
RO;16575;TRIMMER 50WG conf. da 20Gr CLP;0,16
RO;16577;U46 COMBI DUO;125,00
RO;16577;U46 COMBI DUO Cf.Da 1 Lt CLP;6,00
RO;16580;VIPER ON;250,00
RO;16615;;1,00
RO;16615;RUFAST ADVANCE;589,00
RO;16616;;927,00
RO;16616;VALLEY;2.368,00
RO;16616;VALLEY Conf Da 1 Lt CLP;3,00
RO;16616;VALLEY LT. 1;22,00
RO;16624;;24,00
RO;16624;LUNA CARE;492,00
RO;16625;MAINSPRING;1,60
RO;16632;;1,00
RO;16632;LUNA SENSATION;7,00
RO;16632;LUNA SENSATION Cf 0,5 Lt CLP;1,00
RO;16635;;8,00
RO;16635;SEGURIS ERA;979,00
RO;16640;MAZA 4% SL;16,00
RO;16643;;1.152,00
RO;16643;SUCCESS GR;2.952,00
RO;16647;;415,00
RO;16647;TAG PRO;1.700,00
RO;16654;;16,00
RO;16654;POLYVERSUM;35,00
RO;16657;CENTURY PRO;280,00
RO;16658;;143,00
RO;16658;DAGONIS;920,00
RO;16658;DAGONIS 1 Lt CLP;14,00
RO;16660;ACTLET C;300,00
RO;16690;;249,75
RO;16690;KESTREL;1.258,00
RO;16694;CHANON;205,00
RO;16698;BEYOND PLUS;120,00
RO;16699;;4,50
RO;16699;RIMURON;0,50
RO;16701;;7,50
RO;16701;PLAZA;1,70
RO;16703;;244,00
RO;16703;SPADA 50 WG;2.450,00
RO;16734;T34 BIOCONTROL;1,00
RO;16735;LOBETEC;1,89
RO;16742;;2,00
RO;16742;NEMGUARD SC;85,00
RO;16751;REQUIEM prime;10,00
RO;16753;MERPLUS;20,00
RO;16755;DANEVA;7,00
RO;16761;DELMUR;12,00
RO;16774;ISOMATE C LR MAX TT;0,47
RO;16776;;303,75
RO;16776;ASSET FIVE;1.052,50
RO;16779;TONALE;908,00
RO;16780;;440,00
RO;16780;SERENADE ASO;380,00
RO;16781;;80,00
RO;16781;CYMBAL 35 WG;5,00
RO;16787;;221,00
RO;16787;CLINIC ST;5.214,00
RO;16792;PROFILE PLUS;142,00
RO;16793;NIMBUS 250 EC;24,00
RO;16796;JOICE 55 D;253,00
RO;16797;DEMETRINA 25 EC;206,00
RO;16802;;672,00
RO;16802;ZYPAR;3.262,00
RO;16808;NEXT;17,00
RO;16813;;28,80
RO;16813;XANADU;24,00
RO;16816;EXALT 25 SC;237,00
RO;16816;EXALT 25 SC Conf. Da 1 LT CLP;1,00
RO;16828;MAKURI MAX;137,50
RO;16830;;3.720,00
RO;16830;FANDANGO 360 TF;51.790,00
RO;16831;GLIFENE BIOGRADE;3.855,00
RO;16831;GLIFENE BIOGRADE PFnPE;16,50
RO;16832;MARKATE PLUS 100 CS;37,00
RO;16833;PANTOX 360 SUPER;53.811,00
RO;16833;PANTOX 360 SUPER LT. 20;300,00
RO;16833;PANTOX 360 SUPER LT. 5;85,00
RO;16836;STALLION IT SYNC;90,00
RO;16836;STALLION IT SYNC TEC Da5Lt CLP;15,00
RO;16841;;40,00
RO;16843;;150,00
RO;16846;;17,00
RO;16846;VESTICOR;182,31
RO;16857;SHORTTRACK;27,00
RO;16867;GLISTER STAR;5.886,00
RO;16870;DISCO;113,00
RO;16884;MANFIL PRO;5.110,00
RO;16884;MANFIL PRO 75 WG;10,00
RO;16886;;18,50
RO;16886;CLOSER;167,46
RO;16886;CLOSER PFnPE;6,88
RO;16890;WEEDMASTER 540;20,00
RO;16892;NEXY;0,36
RO;16895;;139,05
RO;16895;ZORVEC ENICADE;21,80
RO;16896;;2,00
RO;16897;KATOUN GOLD;10,00
RO;16902;AVIATOR XPRO;615,00
RO;16904;;16,00
RO;16904;KIDEKA 100 SC;984,00
RO;16906;GHIBLI PLUS;145,00
RO;16916;BUGGY G;20,00
RO;16917;LOGRADO PLUS;360,00
RO;16922;ABINE;1,00
RO;16924;ALIAS 75 WG;10,00
RO;16933;;4,00
RO;16945;;174,00
RO;16945;SERCADIS;294,00
RO;16946;DARAMUN;33,00
RO;16951;ESQUIVE WP;60,00
RO;16952;DIRIMAL;25,00
RO;16957;ZORVEC VINABRIA;313,00
RO;16959;DENEB 75 DG;10,00
RO;16963;;1,50
RO;16963;AVENOX 240;103,75
RO;16968;;64,00
RO;16968;PENDINOVA;67,00
RO;16976;;25,00
RO;16976;VITIKAPPA;760,00
RO;16988;;640,00
RO;16988;NAIF;5.760,00
RO;17003;;2,00
RO;17003;PRIAXOR;2.736,00
RO;17003;PRIAXOR LT. 1;7,00
RO;17005;CLOMATE;197,00
RO;17006;MONCUT;31,00
RO;17007;ERADICOAT;25,00
RO;17014;;6,00
RO;17014;DELEGATE WDG;44,00
RO;17015;NAGANO 200 OD;96,00
RO;17020;NORIOS;337,00
RO;17023;RIVIERA R WG;14,00
RO;17024;;37,00
RO;17026;DUPLOSAN SUPER;85,00
RO;17038;;90,00
RO;17038;TUAREG NEW;5.825,00
RO;17058;ROMEO;152,00
RO;17060;DERBY;95,00
RO;17075;;23,77
RO;17076;GAZELLE;950,00
RO;17078;;31,00
RO;17078;QUANTUM L;392,00
RO;17079;;5.090,00
RO;17079;FORCE EVO;9.690,00
RO;17079;FORCE EVO Conf. Da 10 Kg CLP;20,00
RO;17081;CUPROSSIL IDRO NEW 20 WG;155,00
RO;17092;FAXER EC;135,00
RO;17099;ZAKEO 250 SC;206,00
RO;17111;FLOVINE;35,00
RO;17112;DIFCOR;9,00
RO;17115;;242,00
RO;17115;ZETROLA;925,00
RO;17116;;671,00
RO;17116;ACTIVUS ME;2.116,00
RO;17116;ACTIVUS ME conf. da 1 Lt;2,00
RO;17117;;98,00
RO;17117;MITOR;454,00
RO;17121;ATLANTIS ACTIV;70,62
RO;17126;BATUTA 500 SC;1,00
RO;17128;JURA EC;40,00
RO;17136;IRAM 20 WG;1.000,00
RO;17137;;140,00
RO;17137;VYDATE 10G;1.200,00
RO;17137;VYDATE 10G Conf. 10 KG CLP;50,00
RO;17141;SELECTRUM;15,00
RO;17149;AZ 250 SC;27,00
RO;17178;;1.902,00
RO;17178;TOTAL GREEN L;1.355,00
RO;17179;PPZ-400;8,00
RO;17203;RADICAL MASSO;8,00
RO;17204;;334,00
RO;17205;CIDIAL;34,00
RO;17209;;12,00
RO;17209;DAVAI;1.416,00
RO;17209;DAVAI Conf. Da 1 Lt;6,00
RO;17209;DAVAI LT. 1;18,00
RO;17211;GENKOTSU;2,00
RO;17222;;40,00
RO;17222;CURBATUR EC 250;2.825,00
RO;17226;;27,63
RO;17226;CHECKMATE PUFFER FRUIT MULTI;71,32
RO;17234;MAYA 70 WG;28,00
RO;17248;ZORVEC VINABEL;91,00
RO;17252;SINDOXA;4,00
RO;17261;POKER GEO;13.190,00
RO;17264;ZOLFO LIQUIDO 80 SC;70,00
RO;17265;FILDER 500 SC;42,00
RO;17268;;30,00
RO;17268;KUKI 70;135,00
RO;17272;SERIFEL;5,00
RO;17275;NOTO CLASS;2.418,00
RO;17276;SKIANTO PRIME;1,00
RO;17299;IMPROVE;1,00
RO;17301;DESMON;212,00
RO;17304;KAN-DOO;1.398,00
RO;17313;ARTINA EC;20,00
RO;17315;WINCH;85,00
RO;17319;;410,00
RO;17319;FOXPRO;71,00
RO;17320;SENIOR 75 WG;25,00
RO;17326;BELEM PRO;1.440,00
