"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;16459;SOLEIL 50 WG;1,50
BL;16470;COLUMBO 0.8 MG;50,40
BL;16470;COLUMBO 0.8 MG PFnPE;216,10
BL;16474;MATSUDA 25 WG;0,50
BL;16483;TEMIDE 50 WG;0,50
BL;16495;FLINT ORTO PFnPE;0,75
BL;16562;DELAN PRO;5,00
BL;16565;EXECUTIVE GOLD;0,40
BL;16578;MELODY COMPACT WG;8,00
BL;16630;NATUREN LIMEX;21,15
BL;16787;CLINIC ST;140,00
BL;16886;CLOSER;0,19
BL;16886;CLOSER PFnPE;2,09
BL;16904;KIDEKA 100 SC;2,00
BL;16945;SERCADIS;0,90
BL;16961;BENSEC TF;5,00
BL;17038;TUAREG NEW;125,00
BL;17058;ROMEO;0,03
BL;17204;CYPRUS 25 WG;10,00
BL;17248;ZORVEC VINABEL;5,00
BL;17317;NABUCCO;1,00
BL;17377;REFINE SX;0,54
PD;13;;10.310,00
PD;13;THIOPRON;29.650,00
PD;17;U 46 COMBI FLUID;4,00
PD;133;U 46 D-FLUID;48,00
PD;206;ALBENE;292,00
PD;599;;10,00
PD;599;ACUPRICO 76 WG;200,00
PD;747;;30,00
PD;747;ZOLFO SPRUZZABILE;220,00
PD;909;;1.750,00
PD;909;POLISOLFURO DI CALCIO POLISENIO;1.525,00
PD;1155;;10,00
PD;1155;CHEMOL 90 EL;16,00
PD;1156;;2.185,00
PD;1156;CHEMOL;4.265,00
PD;1156;CHEMOL 1 L;4,00
PD;1562;;90,00
PD;1573;;200,00
PD;1573;BASAMID GRANULAT;2.860,00
PD;1583;;3.714,00
PD;1583;MICROTHIOL DISPERSS;65.522,00
PD;1583;MICROTHIOL DISPERSS 15 Kg;750,00
PD;1583;MICROTHIOL DISPERSS 25 Kg;50,00
PD;1583;MICROTHIOL DISPERSS-KG 1;20,00
PD;1714;;93,00
PD;1714;KERB 80 EDF;147,00
PD;1850;;25,00
PD;1850;IDRORAME FLOW;376,00
PD;1850;IDRORAME FLOW PFnPE;24,00
PD;1936;;520,00
PD;1936;LIQUIZOL M;600,00
PD;2191;;16,00
PD;2191;WETTING PLUS;167,00
PD;2259;PASTA LUMACHICIDA IN GRANI PFnPE;292,00
PD;2260;GASTROTOX E;160,00
PD;2307;;267,00
PD;2307;VECTOR;1.665,30
PD;2353;;265,00
PD;2353;BONALAN;429,00
PD;2518;ACTELLIC 2/P;1.790,20
PD;2732;;1.063,00
PD;2732;GOLTIX;1.656,00
PD;2923;;10.773,00
PD;2923;TIOVIT JET;21.784,00
PD;2934;MICROSOL 90;11,00
PD;2940;LIMACIDE PELLETS PFnPE;36,50
PD;2995;;645,50
PD;2995;ESCARTOX;1.520,00
PD;2995;ESCARTOX PFnPE;1.664,00
PD;3065;;133,50
PD;3065;OLIOCIN;325,00
PD;3102;;230,50
PD;3102;OLEOTER;196,00
PD;3102;OLEOTER PFnPE;410,79
PD;3132;SEPR-OIL;68,00
PD;3132;SEPR-OIL PFnPE;43,50
PD;3141;CUTHIOL PFnPE;12,00
PD;3163;;1,00
PD;3163;U 46 M STAR;202,00
PD;3219;CARAKOL AGRO;12,00
PD;3219;CARAKOL AGRO PFnPE;20,00
PD;3343;U46 M CLASS;40,00
PD;3411;AMADENE;1,26
PD;3412;SYLLIT 65;13,00
PD;3486;TRISCABOL DG;35,00
PD;3503;AGRUMIN;328,00
PD;3519;METAMBANE;242,00
PD;3553;CURZATE;44,00
PD;3555;CURZATE M;3,00
PD;3640;;1.495,00
PD;3754;BAGNANTE SARIAF;7,00
PD;3767;;402,00
PD;3767;FENOXILENE 200;508,00
PD;3793;DITHANE M-45;450,00
PD;3800;CRITTAM WG;20,00
PD;3817;;171,00
PD;3817;DISERBONE KN;138,00
PD;4199;;6.689,00
PD;4199;PENNCOZEB DG;15.209,00
PD;4552;DITHANE DG NEOTEC;872,00
PD;4701;;2,00
PD;4701;PIRIMOR 50;12,00
PD;4710;;197,75
PD;4710;ALIETTE;830,00
PD;4710;ALIETTE PFnPE;5,75
PD;4896;RIGENAL P PFnPE;1,50
PD;5053;ACTELLIC 5;6.995,00
PD;5152;;20,00
PD;5152;TIOSPOR WG;4.726,00
PD;5292;FIXORMON;83,00
PD;5299;MIBIOL;8,00
PD;5299;MIBIOL PFnPE;16,00
PD;5333;GIBRESOL;0,25
PD;5414;RADICANTE POLVERE TALEE LEGNOSE PFn;2,90
PD;5467;METADENE PFnPE;20,00
PD;5574;;361,00
PD;5574;LUMAKIDIN 5G PFnPE;345,00
PD;6001;BETAFIL FL;5,00
PD;6136;;1,00
PD;6136;GERMON L;108,00
PD;6321;;37,00
PD;6321;STIMOLANTE 66F;49,00
PD;6322;;9,00
PD;6322;OBSTHORMON 24A;12,90
PD;6389;DUECI-FITO RADICANTE PFnPE;0,90
PD;6437;ETHREL;14,00
PD;6438;;42,00
PD;6438;BI-FEN;15,00
PD;6555;K-OBIOL ULV 6;38.405,00
PD;6556;;50,00
PD;6556;K-OBIOL DP2;1.492,00
PD;6557;;3,00
PD;6557;K-OBIOL EC 25;2.325,00
PD;6704;TIOLENE 80 WG;56,00
PD;6751;;4,50
PD;6751;RASEN FLORANID PFnPE;18,00
PD;6771;;2.497,00
PD;6834;TEPETA COMBI FLOW;80,00
PD;6873;;50,00
PD;6873;IDRORAME 193;4,00
PD;6945;;2,00
PD;6945;TOPAS 10 EC;61,00
PD;6956;;120,00
PD;6956;TARGA FLO;115,00
PD;7020;BAGNANTE CIFO;103,00
PD;7053;PASTA CAFFARO NC;565,00
PD;7055;PASTA CAFFARO BLU;59,00
PD;7055;PASTA CAFFARO BLU PFnPE;9,00
PD;7101;LIMAVAL PFnPE;80,00
PD;7368;;7,00
