Prodotti fitosanitari venduti nell'anno 2016 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2016, art. 16 D.Lgs. 150/2012).;;;;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;
RO;14735;RANMAN TOP;230,00;;
RO;14735;RANMAN TOP x 2 lt;38,00;;
RO;14737;ROUNDUP PLATINUM;30.212,00;;
RO;14737;;1.332,00;;
RO;14737;ROUNDUP PLATINUM LT. 200;400,00;;
RO;14737;ROUNDUP PLATINUM LT.15;270,00;;
RO;14737;ROUNDUP PLATINUM LT. 1;121,00;;
RO;14737;ROUNDUP PLATINUM LT.5;20,00;;
RO;14739;DECIS PROTECT;21,00;;
RO;14739;DECIS PROTECT AL;7,00;;
RO;14758;KARATE WITH ZEON TECHNOLOGY 1.5 HOB;3,02;;
RO;14759;SULC0CAP;116,00;;
RO;14764;SLUXX;90,00;;
RO;14764;SLUXX KG.5;4,00;;
RO;14765;ELUMIS;1.365,00;;
RO;14765;;108,00;;
RO;14766;ACTARA 240 SC;51,00;;
RO;14768;CALIBAN TOP;10,00;;
RO;14769;COMET 250 EC;2.333,50;;
RO;14769;;4,00;;
RO;14772;BANDERA;22,00;;
RO;14785;DRISCOLL;20,00;;
RO;14792;MELODY TREVI x 1 kg;114,00;;
RO;14792;MELODY TREVI x 8 kg;8,00;;
RO;14794;MYSTIC CLASS;60,00;;
RO;14797;SIATTOL 200 SL;0,10;;
RO;14799;AFLOR 200 SL;1,15;;
RO;14799;ZAPI AFICIDA SIST.ML.50 AFLOR 200SL;0,70;;
RO;14799;ZAPI AFICIDA SIST.ML.5 AFLOR 200SL;0,09;;
RO;14803;ELECTIS ZR;95,00;;
RO;14804;COPPER - DF;3,75;;
RO;14807;LUZINDO;62,00;;
RO;14807;;0,00;;
RO;14809;CUPRAVIT BIO EVOLUTION x 10 kg;80,00;;
RO;14809;CUPRAVIT BIO EVOLUTION;36,00;;
RO;14809;CUPRAVIT BIO EVOLUTION x 1 kg;1,00;;
RO;14812;ENERVIN TOP WG x 1 kg;14,00;;
RO;14812;;10,00;;
RO;14812;ENERVIN TOP;10,00;;
RO;14815;ADENGO;8.272,00;;
RO;14815;;1.778,00;;
RO;14815;ADENGO x 10 lt;1.260,00;;
RO;14815;ADENGO x 2 lt;554,00;;
RO;14818;ACANTO;2.022,00;;
RO;14818;;788,00;;
RO;14818;ACANTO x 1 lt;48,00;;
RO;14819;VALIS M;96,00;;
RO;14828;NUPRID SUPREME SC x 1 lt;219,00;;
RO;14828;NUPRID SUPREME SC;12,00;;
RO;14832;EMENDO M;54,00;;
RO;14837;GLIFOSAR FLASH;11.771,00;;
RO;14838;GALLUP BIOGRADE 360 x 20 lt;8.760,00;;
RO;14838;BARCLAY GALLUP BIOGRADE 360;221,00;;
RO;14838;GALLUP BIOGRADE 360 x 5 lt;15,00;;
RO;14844;CLUSTER 500;813,00;;
RO;14844;CLUSTER-500;6,00;;
RO;14845;MYSTIC PLUS S;115,00;;
RO;14845;MYSTIC PLUS S x 1 kg;25,00;;
RO;14854;KARAMAT M;2,00;;
RO;14857;ABOTRIL 500;24,00;;
RO;14867;SYNERO;10,00;;
RO;14867;SYNERO  X  1;5,00;;
RO;14868;IDROX 22 NEW;20,00;;
RO;14872;;13,00;;
RO;14872;BELLIS DRUPACEE x 2,5 kg;10,00;;
RO;14872;BELLIS DRUPACEE;5,00;;
RO;14876;GRANDSTAND;6,00;;
RO;14879;LONTREL 72 SG;18,15;;
RO;14879;LONTREL 72 SG x 150 gr;18,00;;
RO;14879;;4,00;;
RO;14884;CORUM;11.941,00;;
RO;14884;;2.795,00;;
RO;14884;CORUM x 1 lt;410,00;;
RO;14895;LANNATE 20 SL;145,50;;
RO;14895;;24,00;;
RO;14895;LANNATE 20 SL x 1 lt;4,00;;
RO;14897;FLUROSTAR 200;180,00;;
RO;14897;;3,00;;
RO;14900;KENKIO;2.720,00;;
RO;14901;CONCORDE 125 x 0,5 lt;0,50;;
RO;14901;CONCORDE 125;0,40;;
RO;14909;NURELLE 5;676,00;;
RO;14909;;31,00;;
RO;14909;NURELLE 5 x 1 lt;8,00;;
RO;14931;GRISU;180,00;;
RO;14931;;50,00;;
RO;14935;TRAXOS ONE;2.046,00;;
RO;14935;TRAXOS ONE x 1 lt;416,00;;
RO;14935;TRAXOS ONE x 5 lt;210,00;;
RO;14936;AMPLIGO;592,50;;
RO;14936;;27,00;;
RO;14936;AMPLIGO x 1 lt;12,00;;
RO;14936;AMPLIGO x 0,5 lt;4,50;;
RO;14937;VOLIAM TARGO;7,00;;
RO;14940;TAKUMI;13,75;;
RO;14940;TAKUMI x 0,5 lt;4,50;;
RO;14944;FLUXYR 200 EC;631,00;;
RO;14944;;98,00;;
RO;14944;FLUXIR 200 EC;15,00;;
RO;14946;BARCLAY GALLUP SUPER 450;60,00;;
RO;14948;ACTARA HOBBY;0,12;;
RO;14951;BOTECTOR;10,80;;
RO;14967;TIPTOR ULTRA;1.721,00;;
RO;14967;;702,00;;
RO;14967;TIPTOR ULTRA x 1 lt;12,00;;
RO;14972;DICARZOL 50 SP;81,00;;
RO;14974;BELEM 0.8 MG;5.592,00;;
RO;14980;AFFINITY PLUS;292,00;;
RO;14985;RETENGO PLUS;3,00;;
RO;14986;OPERA NEW;5.060,00;;
RO;14986;;3.310,00;;
RO;14986;OPERA NEW x 5 lt;180,00;;
RO;15005;FONTELIS;707,00;;
RO;15005;;44,00;;
RO;15005;FONTELIS x 1 lt;15,00;;
RO;15006;TRAXOS PRONTO x 1 lt (1 HA);40,00;;
RO;15006;TRAXOS PRONTO;38,00;;
RO;15006;TRAXOS PRONTO x 5 lt (5 HA);10,00;;
RO;15007;AXIAL PRONTO;56,50;;
RO;15007;AXIAL PRONTO x 1 lt;31,00;;
RO;15007;;3,00;;
RO;15008;LBG - 01F34;196,00;;
RO;15010;AMISTAR PLUS LT.10 (2 XN);360,00;;
RO;15010;AMISTAR PLUS LT.1 (2 XN);179,00;;
RO;15013;NATRIA LUMACHICIDA;10,80;;
RO;15019;RIVIERA;350,00;;
RO;15020;;2.340,00;;
RO;15023;;300,00;;
RO;15024;MESUROL 200 SC;375,00;;
RO;15024;;25,00;;
RO;15024;MESUROL 200 SC x 1 lt;10,00;;
RO;15030;COSSACK;85,80;;
RO;15030;COSSACK x 0,6 kg;21,60;;
RO;15034;KOL DICOPHAR ML.100;10,00;;
RO;15037;BREZZA;10,00;;
RO;15037;;7,00;;
RO;15039;GAMIT 36 CS;20,00;;
RO;15041;OPINION ECNA;46,00;;
RO;15047;;72,00;;
RO;15047;R6 ERRESEI BORDEAUX WG;13,25;;
RO;15049;MODDUS;947,00;;
RO;15049;MODDUS x 1 lt;509,00;;
RO;15049;;146,00;;
RO;15050;;2.828,00;;
RO;15050;VERTIMEC PRO;703,00;;
RO;15050;VERTIMEC PRO x 1 lt;179,00;;
RO;15050;VERTIMEC PRO x 5 lt;65,00;;
RO;15051;KYLEO;705,00;;
RO;15052;KAIMO SORBIE;302,90;;
RO;15053;ADMIRAL ECHO;24,00;;
RO;15053;ADMIRAL ECHO x 1 lt;10,00;;
RO;15058;PRINCIPAL MAIS;157,96;;
RO;15058;PRINCIPAL MAIS x 440 gr;137,00;;
RO;15058;;104,00;;
RO;15059;DECIS EVO;1.175,50;;
RO;15059;;222,00;;
RO;15059;DECIS EVO x 1 lt;204,00;;
RO;15059;DECIS EVO x 5 lt;165,00;;
RO;15059;DECIS EVO LT. 1;3,00;;
RO;15059;DECIS EVO ML. 250;1,25;;
RO;15062;PIRAMAX  EC;109,00;;
RO;15063;NIMBLE x 50 gr;47,50;;
RO;15063;NIMBLE;22,80;;
RO;15064;MAESTRO WG ADVANCE;1.020,00;;
RO;15071;EVOLUTION;80,00;;
RO;15071;;3,00;;
RO;15083;AUDACE x 1 lt;170,00;;
RO;15088;CLARIDO;115,00;;
RO;15093;CENTURIO;149,00;;
RO;15093;CENTURIO x 5 kg;20,00;;
RO;15093;KOLLANT CENTURIO KG 3;12,00;;
RO;15100;NECTAR PLUS;11,00;;
RO;15101;CIMORAM ULTRA WG;55,00;;
RO;15102;VITENE R WG;113,00;;
RO;15111;MIRADOR SC;340,00;;
RO;15111;;83,00;;
RO;15112;SIMPLIA;69,00;;
RO;15112;SIMPLIA x 1 lt;60,00;;
RO;15114;MACCANI;433,00;;
RO;15122;ACTELLIC 50 NEWPHARM;30,00;;
RO;15123;ALTAIR 4,5 EW;36,00;;
RO;15124;ZANTARA;3.159,00;;
RO;15124;;768,00;;
RO;15125;PROLECTUS;51,00;;
RO;15130;INTREPID;88,00;;
RO;15139;INDIPENDENT SC-15;875,00;;
RO;15145;TEMPLIER x 180 gr;0,18;;
RO;15148;ENVIROMITE 480 SC;0,09;;
RO;15168;ZORO 1.9 EW;504,00;;
RO;15168;;309,00;;
RO;15168;ZORO 1.9 EW x 1 lt;11,00;;
RO;15177;ROTATE PLUS DF x 1 kg;285,00;;
RO;15177;ROTATE PLUS DF;10,00;;
RO;15180;RIVET PLUS x 1 lt;63,00;;
RO;15181;;612,00;;
RO;15181;CIRRUS CS;417,50;;
RO;15185;MARKATE 100 CS;3,75;;
RO;15187;NAUTIUS;20,00;;
RO;15193;CONTATTO PIU' EXTRA;1.101,00;;
RO;15193;CONTATTO PI  EXTRA x 5 lt;395,00;;
RO;15193;CONTATTO PIU EXTRA x 1 lt;174,00;;
RO;15196;;12,00;;
RO;15198;AZBANY;207,00;;
RO;15199;SAKURA;231,00;;
RO;15200;QUALY;8,00;;
RO;15201;FLOXY 355 SC;161,00;;
RO;15219;VITIPEC MZ;8,00;;
RO;15221;ZETARAM PLUS;90,00;;
RO;15227;MESUROL EVOLUTION;1,40;;
RO;15229;STOPPER P;0,75;;
RO;15232;CUSTODIA;1.432,00;;
RO;15232;CUSTODIA x 5 lt;45,00;;
RO;15235;;2.410,00;;
RO;15235;MOMENTUM;5,00;;
RO;15236;ZAMMO;117,00;;
RO;15236;ZAMMO x 1 lt;5,00;;
RO;15237;CHIKARA DUO;3,00;;
RO;15250;COPRANTOL DUO;310,00;;
RO;15253;FALCON MK x 5 lt;2.090,00;;
RO;15253;FALCON MK x 1 lt;1.385,00;;
RO;15253;FALCON MK;87,00;;
RO;15256;;130,00;;
RO;15264;ENERVIN SC;147,00;;
RO;15265;;5,00;;
RO;15270;PROFELIS;1,11;;
RO;15273;BITAM 15 EC;56,00;;
RO;15275;KUSTI;1.296,00;;
RO;15285;PRIMMA STAR;9,98;;
RO;15286;KENDO ZEON 1.5 x 1 lt;33,00;;
RO;15289;SERENADE NATRIA;2,60;;
RO;15290;AXIDOR;55,00;;
RO;15290;AXIDOR x 5 lt;15,00;;
RO;15292;;150,00;;
RO;15294;KENDO BI-ACTIVE x 1 lt;457,00;;
RO;15294;KENDO BI-ACTIVE;117,00;;
RO;15300;ARMETIL FLOW;21,00;;
RO;15302;AMYLO-X;107,00;;
RO;15307;;711,00;;
RO;15307;DEDALUS 25 WDG;327,50;;
RO;15310;NISSHIN EXTRA 6 OD;274,00;;
RO;15318;OURAGAN;62,00;;
RO;15325;CORNER MZ WG;23,00;;
RO;15326;CUPROTEK DISPERSS x 10 kg;130,00;;
RO;15333;APPLAUD PLUS;9,10;;
RO;15333;;4,00;;
RO;15334;SULFO' 80 DF;250,00;;
RO;15335;U 46 ULTRA;345,00;;
RO;15335;U 46 ULTRA x 5 lt;65,00;;
RO;15335;U 46 ULTRA x 1 lt;38,00;;
RO;15337;EXPRESS SUN;0,30;;
RO;15344;FILAN WG;112,00;;
RO;15344;;50,00;;
RO;15348;RIDOMIL GOLD R LIQUIDO;572,00;;
RO;15349;ARES 430 SC;863,00;;
RO;15349;;238,00;;
RO;15351;POWERSHUT;37,00;;
RO;15356;SPHINX SC;16,00;;
RO;15356;AVIATOR SC;14,00;;
RO;15356;;4,00;;
RO;15359;VITIL 8-64 WG;430,00;;
RO;15361;LIETO;27,45;;
RO;15367;VIVAL 450 SL;820,00;;
RO;15370;FURY GEO;17.250,00;;
RO;15370;FURY GEO x 10 kg;8.400,00;;
RO;15371;BELEM PROTEZIONE x 12 kg;14.712,00;;
RO;15371;BELEM PROTEZIONE;3.804,00;;
RO;15378;TRAXOS PRONTO 60;1.599,00;;
RO;15378;;907,00;;
RO;15378;TRAXOS PRONTO 60 x 1 lt;410,00;;
RO;15378;TRAXOS PRONTO 60 x 5 lt;295,00;;
RO;15379;AXIAL PRONTO 60;544,00;;
RO;15379;;165,00;;
RO;15379;AXIAL PRONTO 60 x 0,75 lt (1 Ha);27,00;;
RO;15384;LUNA EXPERIENCE;451,00;;
RO;15384;;311,00;;
RO;15384;LUNA EXPERIENCE x 1 lt;41,00;;
RO;15388;MEXIL ORO R WG;125,00;;
RO;15389;FLARE GOLD R WG x 10 kg;4.160,00;;
RO;15392;QUANTUM MZ WDG;225,00;;
RO;15395;ATHADO 40 SC;132,00;;
RO;15401;TAIFUN MK CL;19.052,00;;
RO;15401;;17.020,00;;
RO;15401;TAIFUN MK CL x 20 lt;1.200,00;;
RO;15402;DELTASAP;2,00;;
RO;15403;MIDASH;4,00;;
RO;15405;SHAMAL MK PLUS CL;1.200,00;;
RO;15406;DICUMBA;768,00;;
RO;15408;;640,00;;
RO;15408;MAXIMA;360,00;;
RO;15409;DECISION;395,00;;
RO;15419;ELECTIS R FLOW;156,00;;
RO;15420;DIQUASH;605,00;;
RO;15422;KELVIN DUO x 180 gr;32,00;;
RO;15428;WINNER OD;11,00;;
RO;15433;ATLAS;3,00;;
RO;15436;MYCOTAL;2,00;;
RO;15449;CIDELY;55,00;;
RO;15449;CIDELY x 1 lt;6,00;;
RO;15449;;2,00;;
RO;15468;ACASTA;749,50;;
RO;15468;;155,00;;
RO;15483;WISH;747,00;;
RO;15487;INSTANT;479,00;;
RO;15488;IRAZU TOP;38,00;;
RO;15488;IRAZU TOP KG.1;37,00;;
RO;15489;ZEUS DUO;30,00;;
RO;15493;SIMUN 40 OD;752,00;;
RO;15498;ARPEL DUO;7,00;;
RO;15499;SONG 70 WDG;39,00;;
RO;15499;;2,00;;
RO;15501;QUIZ;130,00;;
RO;15505;SILBOT 500 SC x 1 lt;3,00;;
RO;15507;CREW SUPERB;1.076,00;;
RO;15509;MOSAIKO COMBI;17,00;;
RO;15513;OSSICLOR 35 WG GREEN;385,00;;
RO;15513;;125,00;;
RO;15514;CUPRAVIT BLU 35WG;75,00;;
RO;15514;CUPRAVIT BLU 35 WG;15,30;;
RO;15515;;3.600,00;;
RO;15533;;36,00;;
RO;15546;BIATHLON 4D;233,45;;
RO;15546;;78,00;;
RO;15546;BIATHLON 4D x 350 gr;16,45;;
RO;15553;REGALIS PLUS;157,50;;
RO;15553;;47,00;;
RO;15553;REGALIS PLUS x 1,5 kg;4,50;;
RO;15566;VISION PLUS;247,00;;
RO;15566;;210,00;;
RO;15566;VISION PLUS x 1 lt;11,00;;
RO;15569;LOOP 40 x 5 lt;1.040,00;;
RO;15569;LOOP 40;474,00;;
RO;15569;LOOP 40 x 1 lt;221,00;;
RO;15572;;53,00;;
RO;15572;ZOMINEX x 1 lt (+PERGADO SC x 1);2,00;;
RO;15572;ZOMINEX;1,00;;
RO;15573;PROMESS SL;269,00;;
RO;15574;KARMA 85;770,00;;
RO;15574;;60,00;;
RO;15576;;40,00;;
RO;15580;ESTUDER;43,00;;
RO;15583;;110,00;;
RO;15583;PIRAT;25,00;;
RO;15591;PREVINT TOP;555,00;;
RO;15596;LASCAR;343,00;;
RO;15596;;49,00;;
RO;15596;LASCAR  x 1;29,00;;
RO;15598;CARPOVIRUSINE EVO 2;540,00;;
RO;15603;ERBIFEN K;680,00;;
RO;15606;SUTRA 100 CS;19,00;;
RO;15608;VERSAR;21,00;;
RO;15610;CYPERKILL 50 EC;9,00;;
RO;15612;SEMPRA X 0,150;0,75;;
RO;15621;BOTTO 50 EC;140,00;;
RO;15623;COSMOS 550 EC;108,00;;
RO;15625;TERMINUS SC;3,00;;
RO;15627;PAPYRUS 400 SC;3,00;;
RO;15629;BADGER 45% WG;10,50;;
RO;15630;PALMAS 45% WG;11,50;;
RO;15633;REVUS TOP;12,00;;
RO;15640;PROLINE STAR x 1 lt;352,00;;
RO;15640;PROLINE STAR;237,00;;
RO;15640;PROLINE STAR x 5 lt;235,00;;
RO;15642;HYDRA PLUS;100,00;;
RO;15642;HIDRA PLUS LT.5;65,00;;
RO;15644;LANDMASTER;1.120,00;;
RO;15646;VIVER 250 EC;18,00;;
RO;15654;ACCORD;429,00;;
RO;15655;KEETON 25 WG;155,00;;
RO;15655;KEETON 25 WG x 1 kg;9,00;;
RO;15661;SENEGO;0,75;;
RO;15662;LESTRA;0,08;;
RO;15663;CUPRAVIT 35 WG;1.040,00;;
RO;15668;GHIBLI 240 OD;19,75;;
RO;15680;MITRHA 40 SC;280,00;;
RO;15680;MITHRA 40 SC x 5 lt;60,00;;
RO;15680;MITHRA 40 SC x 1 lt;32,00;;
RO;15681;LUMADRY ESCA;125,00;;
RO;15690;ALIAL RAMATO;171,00;;
RO;15699;EMI 48;46,00;;
RO;15699;EMI 48 (IP) x 1 lt;1,00;;
RO;15710;CLINCHER ONE x 5 lt;730,00;;
RO;15710;CLINCHER ONE;690,00;;
RO;15711;ALSYSTIN;60,50;;
RO;15711;ALSYSTIN x 0,5 kg;3,50;;
RO;15711;;3,00;;
RO;15713;DIABLO SC;65,80;;
RO;15713;DIABLO SC x 0,2 lt;6,80;;
RO;15713;;2,00;;
RO;15738;STOPWEED 480 x 1 lt;266,00;;
RO;15738;STOPWEED 480;65,00;;
RO;15741;AVADEX FACTOR;1.120,00;;
RO;15741;AVADEX FACTOR N.ETIC.X 10(PRESSING);17,00;;
RO;15745;SHARPEN 40% SC;27,00;;
RO;15746;EXTENSOR OD x 10 lt;10,00;;
RO;15751;VITENE TRIPLO R;45,00;;
RO;15754;SHARPEN 33% EC;49,00;;
RO;15755;CERATIPACK;74,00;;
RO;15758;QUILT XCEL x 5 lt;20,00;;
RO;15758;QUILT XCEL;15,00;;
RO;15758;QUILT XCEL x 1 lt;2,00;;
RO;15779;ABANTO;0,24;;
RO;15780;OSSICLOR 50 PB GREEN;2.340,00;;
RO;15780;;1.060,00;;
RO;15790;AMISTAR TOP;15,00;;
RO;15831;VACCIPLANT;8,00;;
RO;15834;TRACER 120;3,00;;
RO;15839;MAXCEL 2SL;16,00;;
RO;15841;FLOCTER x 10 kg;40,00;;
RO;15842;AFICIONADO;738,00;;
RO;15842;AFICIONADO x 3 lt;405,00;;
RO;15842;;69,00;;
RO;15844;SLOGAN TOP;5,00;;
RO;15845;ARAGON;698,00;;
RO;15845;;106,00;;
RO;15846;;145,00;;
RO;15846;BIO ETEFON;28,00;;
RO;15847;MAKURI;685,50;;
RO;15857;R6 ERRESEI PASADOBLE;70,00;;
RO;15863;BALENO FLASH;94,00;;
RO;15864;MONDARE PIU';113,00;;
RO;15877;CONSENTO;132,00;;
RO;15877;;92,00;;
RO;15882;ATILLA;1.040,00;;
RO;15882;ATILLA (BICARB. POTASSIO) x 10 kg;260,00;;
RO;15886;METAREX INOV;572,00;;
RO;15886;;95,00;;
RO;15890;CURZATE 60 WG;12,00;;
RO;15891;BLAISE;1.428,00;;
RO;15900;TRIKA EXPERT;73.880,00;;
RO;15900;;7.460,00;;
RO;15900;TRIKA EXPERT x 10 kg;7.060,00;;
RO;15901;ERCOLE;10.200,00;;
RO;15901;ERCOLE x 10 kg;6.210,00;;
RO;15901;;1.450,00;;
RO;15907;PRESIDIUM ONE;591,00;;
RO;15912;CUPRO ISAGRO WG;4.666,00;;
RO;15924;RUSTLER;855,00;;
RO;15926;MOJANG 600;150,00;;
RO;15927;;800,00;;
RO;15927;MOJANG T;165,00;;
RO;15929;JALISCO;18,00;;
RO;15931;GLORIAL JET;26,00;;
RO;15933;AXIENDO PRONTO USO;15,00;;
RO;15936;IMAZAMOX 40;372,00;;
RO;15937;PYPHEN NEW 10 EC;4,00;;
RO;15948;MULIGAN;242,00;;
RO;15948;;97,00;;
RO;15961;;334,00;;
RO;15961;RETENGO NEW;191,00;;
RO;15961;RETENGO NEWS x 1 lt;7,00;;
RO;15989;;204,00;;
RO;15989;COMRADE;48,00;;
RO;15996;PATRIOT DRY;48,00;;
RO;16000;MINUET GR;15,00;;
RO;16010;ACRUX 10 WP;17,10;;
RO;16010;;2,00;;
RO;16014;AGRO-LIM;130,00;;
RO;16031;LUNA DEVOTION;17,00;;
RO;16042;TOSCANA;3,27;;
RO;16051;LENNS;190,00;;
RO;16051;;145,00;;
RO;16054;SINSTAR;717,00;;
RO;16054;SINSTAR x 1 lt;125,00;;
RO;16063;ARIGO;132,08;;
RO;16065;TOPIK ONE;52,75;;
RO;16071;MESOZIN 70 WG;251,75;;
RO;16071;;121,00;;
RO;16075;AGHERUD M;352,00;;
RO;16083;STIKER FLOW;31,60;;
RO;16084;BREVIS;52,00;;
RO;16084;;30,00;;
RO;16086;NEMGUARD GRANULES;140,00;;
RO;16088;NEMADATE;10,00;;
RO;16088;NEMADATE x 10 lt;10,00;;
RO;16089;BUGUIS;374,00;;
RO;16098;NIBER 70 DF x 0,250 kg;318,75;;
RO;16098;NIBER 70 DF;49,00;;
RO;16099;;118,00;;
RO;16099;SINIS 70 DF;59,75;;
RO;16104;ELECTIS TRIO WDG;114,00;;
RO;16111;ROSAN;56,00;;
RO;16115;;55,00;;
RO;16115;CHARAN CM;33,99;;
RO;16116;;9,00;;
RO;16116;CHARAN OFM;8,87;;
RO;16117;SERBY;7,00;;
RO;16124;JUVINAL ECHO PLUS;19,00;;
RO;16124;JUVINAL ECHO PLUS x 1 lt;9,00;;
RO;16126;FLANCO SC;25,35;;
RO;16126;;19,00;;
RO;16136;LUMA-GOLD;25,10;;
RO;16137;OSIRIS;4.500,00;;
RO;16139;SEGURIS XTRA x 5 lt;1.145,00;;
RO;16139;SEGURIS XTRA;978,00;;
RO;16139;SEGURIS XTRA x 1 lt;562,00;;
RO;16139;SEGURIS  XTRA;60,00;;
RO;16139;;38,00;;
RO;16149;BABEL x 1 lt;12,00;;
RO;16172;CAL-EX 1,9 EW;2.791,00;;
RO;16172;CAL-EX 1.9 EW x 1 lt;405,00;;
RO;16181;DELTAMIX 25;55,00;;
RO;16187;QUBIC R PRO;180,00;;
RO;16188;MEDIATOR PLUS;1,25;;
RO;16191;TRIMAXX;497,00;;
RO;16191;;67,00;;
RO;16191;TRIMAXX x 1 lt;43,00;;
RO;16194;ETRAVON PRO;160,00;;
RO;16205;IDROX 20;80,00;;
RO;16206;MARKER 600;285,00;;
RO;16210;;10,00;;
RO;16221;MADEX TOP;19,00;;
RO;16221;MADEX TOP x 0,1 lt;6,30;;
RO;16223;CUSTOM;190,00;;
RO;16227;FOLPAN COMBI;910,00;;
RO;16229;RAM CYM 44 WG;12,00;;
RO;16232;MINERVE;37,50;;
RO;16242;CAPTAIN 80 WG;100,00;;
RO;16274;PLANTAGEN x 1 lt;33,00;;
RO;16293;PACLOT NEW;110,00;;
RO;16293;;31,00;;
RO;16293;PACLOT NEW x 1 lt;5,00;;
RO;16297;SUPPORT 100 EC;6,00;;
RO;16299;PASSAT SL x 5 lt;1.910,00;;
RO;16299;PASSAT SL x 1 lt;1.569,00;;
RO;16299;PASSAT SL;35,00;;
RO;16305;BONZI;15,00;;
RO;16325;EPIK SL;1.311,50;;
RO;16325;;340,00;;
RO;16325;EPIK SL x 1 lt;210,00;;
RO;16325;EPIK SL x 5 lt;20,00;;
RO;16327;HELOSATE;220,00;;
RO;16353;SIRAZOL;292,00;;
RO;16363;SIRTAKI;288,00;;
RO;16363;SIRTAKI x 1 lt;179,00;;
RO;16363;;9,00;;
RO;16364;BISMARK;1.142,00;;
RO;16364;BISMARK x 10 lt;600,00;;
RO;16364;BISMARK x 1 lt;213,00;;
RO;16364;;177,00;;
RO;16364;BISMARK x 5 lt;35,00;;
RO;16369;ORTIVA TOP SC;74,00;;
RO;16379;PREV-AM PLUS;324,00;;
RO;16395;MOHICAN 500 SC;3,00;;
RO;16396;TEMSA 100;27,00;;
RO;16405;IMAGE GOLD;140,00;;
RO;16415;MADEX TWIN;2,20;;
RO;16416;FENOTRIX 300 SC;362,00;;
RO;16436;DECIS PROTECT EC;12,00;;
RO;16437;ACANTO PLUS;116,00;;
RO;16438;VELUM PRIME;10,50;;
RO;16438;VELUM PRIME x 0,5 lt;2,00;;
RO;16480;3LOGY;16,00;;
RO;16483;TEMIDE 50 WG;200,00;;
RO;16485;ROMULAN;9,00;;
RO;16486;RAGTIME 250;27,00;;
RO;16486;;6,00;;
RO;16496;CURIT ORTO;3,00;;
RO;16498;CETUS 360 CS;162,00;;
RO;16513;AZOCIP;20,00;;
RO;16514;CIPROXY;140,00;;
RO;16527;;8,00;;
RO;16527;TELLUS WP;3,00;;
RO;16528;GHIBLI 40 OD;985,00;;
RO;16528;;556,00;;
RO;16542;LAOTTA;179,00;;
RO;16545;COPRANTOL HI BIO 2.0;1,00;;
RO;16561;RIKALI;315,00;;
RO;16566;KUPPER 20 WG;50,00;;
RO;16567;TRICOPPERLAND x 10 kg;10,00;;
RO;16573;DELTACOM;1,00;;
RO;16580;VIPER ON x 5 lt;420,00;;
RO;16668;GEOCLEAN VI;5.250,00;;
RO;16669;DIGEO VIII;380,00;;
RO;16672;D-D SOIL;5.520,00;;
RO;16684;TELONE II 2016 x 200 lt;43.200,00;;
RO;16684;TELONE II 2016;25.480,00;;
RO;16713;STAM NOVEL FLO 2016;120,00;;
RO;16716;FACET L;50,00;;
RO;16719;BEAM 16;230,00;;
RO;16719;BEAM 16  X 1;111,00;;
RO;16722;EXIREL 2016;4,00;;
RO;16728;AF-X1;3.305,00;;
RO;16728;AF-X1 2016;1.762,50;;
RO;16728;AF-X1 2016 x 12,5 kg;1.488,00;;
RO;16728;;125,00;;
TV;13;THIOPRON;23.470,00;;
TV;13;THIOPRON X 10LT CLP;570,00;;
TV;13;;410,00;;
TV;13;THIOPRON X 10LT;130,00;;
TV;17;U 46 COMBI FLUID;72,00;;
TV;206;ALBENE;182,00;;
TV;449;MOCAP;315,00;;
TV;599;ACUPRICO 76 WG;375,00;;
TV;599;ACUPRICO 76 WG KG 5;10,00;;
TV;619;VALGRAN;7,00;;
TV;630;REGLONE W;936,00;;
TV;630;REGLONE W LT 5;50,00;;
TV;630;;13,00;;
TV;747;ZOLFO SPRUZZABILE;700,00;;
TV;886;SENCOR WG;31,50;;
TV;886;SENCORWG;5,00;;
TV;909;POLISOLFURO DI CALCIO POLISENIO;4.525,00;;
TV;1155;;152,00;;
TV;1155;CHEMOL 90 EL;7,00;;
TV;1156;CHEMOL;2.878,00;;
TV;1156;CHEMOL LT 25;275,00;;
TV;1156;CHEMOL LT 5;55,00;;
TV;1187;MICOZEB 45;300,00;;
TV;1211;BASF MEHLTAUMITTEL;0,21;;
TV;1424;FUNGI MZ;25,00;;
TV;1544;MESUROL;19,00;;
TV;1552;GIBERAL;1,00;;
TV;1562;ERBITOX E 30;201,00;;
TV;1573;BASAMID GRANULAT;940,00;;
TV;1583;MICROTHIOL DISPERSS;166.580,00;;
TV;1583;;4.275,00;;
TV;1583;MICROTHIOL DISPERSS KG. 25;525,00;;
TV;1583;MICROTHIOL DISPERSS KG. 15;465,00;;
TV;1583;MICROTHIOL DISPERSS KG. 1;5,00;;
TV;1600;ETRAVON;11,00;;
TV;1714;KERB 80 EDF;583,00;;
TV;1714;KERB 80EDF;100,00;;
TV;1714;KERB 80 EDF X 1KG # CLP;22,00;;
TV;1714;;15,00;;
TV;1823;ZOLFO 80 MICRONIZZATO;1.150,00;;
TV;1850;IDRORAME FLOW;4.118,25;;
TV;1903;SULFURENE;25,00;;
