Prodotti fitosanitari venduti nell'anno 2016 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2016, art. 16 D.Lgs. 150/2012).;;;;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;
BL;10127;DECIS JET;47,57;;
BL;10158;PIREFLOR;0,35;;
BL;10161;ORTIVA;3,00;;
BL;10183;GARLON EV;0,10;;
BL;10184;TIMBREL EV;1,30;;
BL;10185;ZERGAN EV;4,00;;
BL;10233;BORDOSEP;114,00;;
BL;10296;IPERION;93,00;;
BL;10305;OIKOS;1,30;;
BL;10372;RASIKAL QUICK;78,00;;
BL;10373;CONTEST;4,00;;
BL;10396;LIZOCIN;0,10;;
BL;10423;LUMACHICIDA VEBI;14,00;;
BL;10456;KLARO ULTRA;36,75;;
BL;10461;DICOTURF;6,00;;
BL;10471;OLOVER;7,25;;
BL;10494;PREMIUM TOP;44,00;;
BL;10509;MASTIFF ULTRA;5,00;;
BL;10565;DICOTIL EXTRA;4,10;;
BL;10568;ZOOMER;7,00;;
BL;10581;CITRIN EC;0,30;;
BL;10588;BIOPIREN PLUS;3,00;;
BL;10604;EMERALD 40 EW;14,59;;
BL;10632;COBRE NORDOX SUPER 75 WG;12,00;;
BL;10701;CUMETA FLOW;40,00;;
BL;10734;DUAL GOLD;54,00;;
BL;10735;PRIMAGRAM GOLD;292,00;;
BL;10741;METACINQUE;23,00;;
BL;10753;FOLICUR SE;14,35;;
BL;10771;MOST MICRO;49,80;;
BL;10799;OSSIRAM;0,90;;
BL;10890;FLIPPER;0,15;;
BL;10944;KARATE ZEON;0,48;;
BL;10970;NECOLIM;12,00;;
BL;10973;PYRINEX PRONTO;1,50;;
BL;10976;METEOR;8,00;;
BL;10998;RASIKAL ULTRA;72,00;;
BL;11011;DASH HC;8,00;;
BL;11045;DODIPREV 35;13,50;;
BL;11102;HELIOSOUFRE S;10,10;;
BL;11119;FLINT;1,50;;
BL;11186;CUTIS;1,12;;
BL;11190;PENCOR 10 EC;0,60;;
BL;11206;CODACIDE;2,50;;
BL;11253;CALLISTO;35,00;;
BL;11403;MELODY COMPACT;37,25;;
BL;11418;ROUNDUP 450 PLUS;5,00;;
BL;11449;GARDOPRIM GOLD;680,00;;
BL;11497;CRITTOVIT WG;184,00;;
BL;11523;SEPRADINA SC;22,20;;
BL;11525;FUNGIDINA;18,00;;
BL;11527;PYRINEX QUICK;18,94;;
BL;11534;BIOTIOL;1,00;;
BL;11561;NEEMAZAL T/S;11,51;;
BL;11566;ZOLFO 80 WP;26,00;;
BL;11569;CUPROXAT S.D.I.;7,00;;
BL;11572;GEOSAF 39;4,50;;
BL;11587;CAMBEL S;23,00;;
BL;11614;ACTARA 25 WG;13,53;;
BL;11619;TIOFLOR WDG;106,00;;
BL;11638;FLUORATE;244,70;;
BL;11659;HERBITOTAL S;33,50;;
BL;11690;GOAL 480 SC;0,50;;
BL;11694;CONSERVE SC;0,52;;
BL;11704;OLIO OGNISTAGIONE;0,25;;
BL;11722;GEONEX;24,00;;
BL;11779;KOP TWIN;25,00;;
BL;11786;AQ 10 WG;0,03;;
BL;11796;GLIFAST;19,50;;
BL;11814;SPADA 200 EC;13,00;;
BL;11908;VENTUREX 35 L;2,30;;
BL;11911;DECIS GIARDINO;0,01;;
BL;11944;ASPECT;65,00;;
BL;11954;TERMINAL DUO;194,00;;
BL;11979;BORDO 20 MICRO;6,60;;
BL;12020;SUCCESS;23,76;;
BL;12043;PREVICUR ENERGY;1,25;;
BL;12068;TEFLUSTAR;479,85;;
BL;12069;EPIK;1,07;;
BL;12078;METALIM;155,00;;
BL;12083;DANADIM PROGRESS ST;0,50;;
BL;12084;GALEO;5,50;;
BL;12114;AUXIGER LG;25,00;;
BL;12138;R6 ERRESEI TREVI;21,00;;
BL;12172;FERRAMOL;50,00;;
BL;12202;ZEMIX R;44,00;;
BL;12212;PENTHIUM EC;3,50;;
BL;12215;VEBIPHOS 7,5;19,00;;
BL;12279;ERBY 5 EC;0,15;;
BL;12315;ORTIVA HOBBY;0,11;;
BL;12323;VEBIZOLFO WG;3,00;;
BL;12325;MESUROL M PLUS;1.066,00;;
BL;12344;VEBITHRIN 5 EC;9,75;;
BL;12393;COPPERCIM WG;2,75;;
BL;12395;CUTRIL TOP;7,00;;
BL;12437;DELAN 70 WG;5,00;;
BL;12482;LUMAX;555,00;;
BL;12526;ALIETTE ORTO E GIARDINO;0,50;;
BL;12534;FOXTAIL;11,30;;
BL;12540;REGRAN SL;4,00;;
BL;12566;PYGANIC 1.4;0,90;;
BL;12573;EKO OIL SPRAY;23,00;;
BL;12629;BUGGY 360 SG N.E.T.;3,00;;
BL;12636;QUASAR 6/24 R;62,00;;
BL;12650;NUPRID 200 SL;1,13;;
BL;12671;HARMONY 50 SX;0,07;;
BL;12722;OSSICLOR 20 FLOW;8,25;;
BL;12747;RAMETTE;1,80;;
BL;12756;DICOTEX;17,80;;
BL;12759;OSSICLOR 35 WG;392,20;;
BL;12768;SPINTOR FLY;1,00;;
BL;12779;RAMEDIT COMBI WG;63,00;;
BL;12806;FEDOR;15,00;;
BL;12808;GLOBAL SC;0,11;;
BL;12837;ARIUS SYSTEM PLUS;2,00;;
BL;12849;BENPROP PRO;11,50;;
BL;12850;PRADO;1,00;;
BL;12859;BORNEO;0,91;;
BL;12878;RIDOMIL GOLD COMBI PEPITE;8,00;;
BL;12883;PROSPER 300 CS;51,50;;
BL;12940;KARATE ZEON 1.5;4,00;;
BL;13020;MICRORAM 35 WG;9,00;;
BL;13026;SUSCON;0,02;;
BL;13039;POTCLEAN 2G;10,00;;
BL;13065;DOMARK 125;6,75;;
BL;13084;TELDOR PLUS;4,50;;
BL;13093;STOMP AQUA;4,00;;
BL;13098;ROUNDUP POWER 2.0;580,00;;
BL;13106;IKANOS;3,00;;
BL;13138;SYSTHANE 4,5 PLUS;20,00;;
BL;13149;POLTIGLIA MANICA 20 WG;929,00;;
BL;13186;TITUS MAIS EXTRA;0,44;;
BL;13205;ZOLFO MANICA SCORREVOLE DOPPIO RAFF;30,00;;
BL;13212;CONFIDOR 200 O-TEQ;0,53;;
BL;13213;R6 ERRESEI ALBIS;120,00;;
BL;13263;BORDORAM 20 WG;18,50;;
BL;13290;ZOLFO MANICA DOPPIO RAFFINATO VENTI;30,00;;
BL;13296;POKER 7,5;219,00;;
BL;13297;TRAPPER GR;12,00;;
BL;13313;CASPER;10,00;;
