Nom substance active;Numero CAS;Etat d’autorisation;Variant;
Chlorfenvinphos;470-90-6;NON_INSCRITE;chlorfenvinphos;
Chlorfluazuron;;NON_INSCRITE;chlorfluazuron;
Chlorhydrate of poly(iminino imido biguanidine);;NON_INSCRITE;chlorhydrate de polyguanidine (iminino imido biguanidine);
Chlorfenson;;NON_INSCRITE;chlorfenson;
Imazamethabenz;81405-85-8;NON_INSCRITE;imazaméthabenz;
Pyrazoxyfen;;NON_INSCRITE;pyrazoxyfène;
Prometryne;7287-19-6;NON_INSCRITE;prométryne;
Rotenone;83-79-4;NON_INSCRITE;roténone;
Propionate de sodium;;NON_INSCRITE;propionate de sodium;
Secbumeton;26259-45-0;NON_INSCRITE;secbuméton;
Propisochlor;135410-20-7;NON_INSCRITE;propisochlor;
Propolis;;NON_INSCRITE;propolis;
Siduron;1982-49-6;NON_INSCRITE;siduron;
Sodium monochloroacetate;;NON_INSCRITE;monochloroacétate de sodium;
Sodium p-t-amylphenoxide;;NON_INSCRITE;p-t-amylphénoxide de sodium;
Pyroquilone;;NON_INSCRITE;pyroquilone;
Sulphuric acid;;NON_INSCRITE;acide sulphurique;
Sunflower oil;;INSCRITE;huile de plantes / huile de tournesol;
Tar oils;;NON_INSCRITE;huile de goudron;
Temephos;3383-96-8;NON_INSCRITE;téméphos;
Terbufos;13071-79-9;NON_INSCRITE;terbufos;
Tetrasul;2227-13-6;NON_INSCRITE;tétrasul;
Thallium sulphate;;NON_INSCRITE;sulphate thallium;
Thiobencarb;28249-77-6;NON_INSCRITE;thiobencarbe;
Tributyltinoxyde;;NON_INSCRITE;tributyltinoxyde;
Warfarin;81-81-2;NON_INSCRITE;warfarine;
Quinolin-8-ol;148-24-3;INSCRITE;sulfate de 8-hydroxy quinoléine | 8-Hydroxyquinoline (oxyquinoleine) | 8-hydroxy quinoleine | quinoléine-8-ol;
Pepino Mosaic Virus, CH2 strain, isolate 1906;;INSCRITE;virus de la mosaïque du pépino, souche CH2, isolat 1906  | Pepino Mosaic Virus, CH2 strain, isolate 1906;
Metschnikowia fructicola strain NRRL Y-27328;;INSCRITE;Metschnikowia fructicola;
3-Methyl-3-buten-1-ol;;NON_INSCRITE;3-Méthyl-3-buten-1-ol;
4,6,6-Trimethyl-bicyclo[3.1.1]hept-3-en-ol,((S)-ci;;NON_INSCRITE;4,6,6-Triméthyl-bicyclo[3.1.1]hept-3-en-ol,((S)-cis-verbenol);
4-Chloro-3-methylphenol;;NON_INSCRITE;4-Chloro-3-méthylphenol;
4-t-Pentylphenol;;NON_INSCRITE;4-t-Pentylphenol;
7,8-Epoxi-2-methyl-octadecane;;NON_INSCRITE;7,8-Epoxi-2-méthyl-octadecane;
Calcium hydroxide;;INSCRITE;Calcium hydroxide;
Calcium phosphate;;NON_INSCRITE;phosphate de calcium;
Carbophenothion;786-19-6;NON_INSCRITE;carbophénothion;
Carbosulfan;55285-14-8;NON_INSCRITE;carbosulfan;
Chlorates;;NON_INSCRITE;chlorates | chlorate de sodium | chlorates (de soude, de magnésium, de potassium);
Cholecalciferol;67-97-0;NON_INSCRITE;cholecalciférol;
Cinosulfuron;94593-91-6;NON_INSCRITE;cinosulfuron;
cis-Zeatin;;NON_INSCRITE;cis-zéatine;
Citrus extract/grapefruit extract;;NON_INSCRITE;extrait de citrus/extrait de pamplemousse;
Coumachlor;81-82-3;NON_INSCRITE;coumachlore;
Coumafuryl;;NON_INSCRITE;coumafuryl;
Coumaphos;;NON_INSCRITE;coumaphos;
Crimidine;535-89-7 | 8011-63-0;NON_INSCRITE;crimidine;
Cryolite;;NON_INSCRITE;cryolite;
Cufraneb;;NON_INSCRITE;cufranèbe;
Cyanamide (H & Ca cyanamide);;NON_INSCRITE;cyanamide calcique | cyanamide (H & Ca cyanamide) | cyanamide hydrogène;
Cresyl;;NON_INSCRITE;Cresyl;
Cyclaniliprole;;NON_INSCRITE;cyclaniliprole;
Cyhexatin;13121-70-5;NON_INSCRITE;cyhéxatin;
Cyprofuram;;NON_INSCRITE;cyprofuram;
Desmetryne;1014-69-3;NON_INSCRITE;desmétryne;
Dicyclopentadiene;;NON_INSCRITE;dicyclopentadiène;
Didecyldimethylammonium chloride;7173-51-5;NON_INSCRITE;chlorure de didécyldiméthylammonium;
Dimepiperate;;NON_INSCRITE;dimépipérate;
Dioctyldimethyl ammonium chloride;;NON_INSCRITE;chlorure de dioctyldiméthyl ammonium;
Dioxacarb;6988-21-2;NON_INSCRITE;dioxacarbe;
Diphenylamine;122-39-4;NON_INSCRITE;diphénylamine;
Diniconazole;76714-88-0;NON_INSCRITE;diniconazole;
Ditalimfos;5131-24-8;NON_INSCRITE;ditalimfos;
Fluazifop;69806-50-4;NON_INSCRITE;fluazifop;
Flubenzimine;37893-02-0;NON_INSCRITE;flubenzimine;
Flufenoxuron;101463-69-8;NON_INSCRITE;flufénoxuron;
Flumetsulam;;NON_INSCRITE;flumétsulame;
Formothion;2540-82-1;NON_INSCRITE;formothion;
Fosamine;25954-13-6;NON_INSCRITE;fosamine;
Furfural;;NON_INSCRITE;furfural;
Furmecyclox;;NON_INSCRITE;furmécyclox;
Gentian violet;;NON_INSCRITE;gentiane violette;
Guazatine;115044-19-4;NON_INSCRITE;guazatine;
Hexaconazole;79983-71-4;NON_INSCRITE;hexaconazole;
Hexaflumuron;;NON_INSCRITE;hexaflumuron;
Sethoxydim;74051-80-2;NON_INSCRITE;séthoxydime;
Sodium dichlorophenate;;NON_INSCRITE;dichlorophénate de sodium;
Tebutam;35256-85-0;NON_INSCRITE;tébutame;
Tridemorph;81412-43-3;NON_INSCRITE;tridémorphe;
Trifenmorph;;NON_INSCRITE;trifenmorphe;
Terpinolene;;NON_INSCRITE;terpinolène;
Trioxymethylen;;NON_INSCRITE;trioxymethylène;
Vinegar;90132-02-8;INSCRITE;Vinegar;
Whey;;INSCRITE;Whey;
Zeta-Cypermethrin;;NON_INSCRITE;zêta-cyperméthrine;
Sodium thiocyanate;;NON_INSCRITE;thiocyanate de sodium;
Tolylphtalam;;NON_INSCRITE;tolylphtalam;
S-abscissic acid;;INSCRITE;acide S-abscissique;
Bacillus amyloliquefaciens subsp. plantarum D747;;INSCRITE;Bacillus amyloliquefaciens ssp. plantarum strain D747 | Bacillus amyloliquefaciens ssp. plantarum souche D747 ;
Flumetralin;;NON_INSCRITE;flumétraline;
Formetanate;23422-53-9;INSCRITE;Formetanate;
Metribuzin;21087-64-9;NON_INSCRITE;métribuzine;
Pirimicarb;;INSCRITE;pirimicarbe;
Pyriofenone;688046-61-9;INSCRITE;pyriofénone;
Pseudomonas sp. Strain DSMZ 13134;;INSCRITE;Pseudomonas sp. souche DSMZ 13134 | Pseudomonas sp. Strain DSMZ 13134;
Trichoderma asperellum TV1;;INSCRITE;Trichoderma asperellum TV1;
Trichoderma asperellum strains ICC012, T25 and TV1;;INSCRITE;Trichoderma asperellum ICCO12 | Trichoderma asperellum TV1 | Trichoderma asperellum T-25 | Trichoderma asperellum strains ICC012 T25 and TV1;
Trichoderma asperellum ICC012;;INSCRITE;Trichoderma asperellum ICCO12;
Mecoprop-P;;INSCRITE;mécoprop P ester isooctylique | MCPP-P sel de magnésium | mécoprop-P sel d'amine | mécoprop P sel de potassium | mécoprop-P  ester de butoxyéthanol | mécoprop-P | mécoprop-P sels de diméthylamine | MCPP-P sel d'amine | mécoprop-P EHE;
Bifenazate;149877-41-8;INSCRITE;bifénazate;
Garlic extract;8000-78-0, CAS no. used in the ECB database 8008-99-9;INSCRITE;extrait d'ail;
Chlormequat;999-81-5;INSCRITE;chlorméquat | chlorure de chlorméquat;
2-Ethyl-1,6-dioxaspiro (4,4) nonan (chalcogran);;NON_INSCRITE;2-Ethyl-1,6-dioxaspiro (4,4) nonan (chalcogran);
2-Methyl-6-methylene-7-octen-4-ol (Ipsenol);;NON_INSCRITE;2-Méthyl-6-méthylène-7-octen-4-ol (Ipsenol);
3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene (3-Carene);;NON_INSCRITE;3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene (3-Carene);
Calcium phosphide;;NON_INSCRITE;phosphure de calcium;
Chlorothalonil;1897-45-6;NON_INSCRITE;chlorothalonil;
Bacillus thuringiensis subsp. Aizawai strain GC-91;;INSCRITE;Bacillus thuringiensis subsp. Aizawai strain GC-91 | Bacillus thuringiensis subsp. aizawai souche GC-91;
Cloquintocet acide;;AUTRE_CAS;cloquintocet acide;
Kieselgur (Diatomaceous earth);61790-53-2;INSCRITE;kieselgur (terre de diatomées);
Sulfosulfuron;141776-32-1;INSCRITE;sulfosulfuron;
Imazalil;35554-44-0;INSCRITE;imazalil;
Straight Chain Lepidopteran Pheromones;;INSCRITE;Z9-dodécenylacétate | (E,Z)-3,8-tétradécadien-1-yl acétate | (E)-8-dodécenyl acétate | (Z,E)-7,11-hexadécadien-1-yl acétate | (E/Z)-9-dodécenyl acétate + (E/Z)-9-dodécen-1-ol + (Z)-11-tétradecen-1-yl ace | (z)-8-tétradécen-1-ol | (E,E/Z)-7,9-dodécadien-1-yl acétate  | (E)-5-décen-1-yl acétate + (E)-5-décen-1-ol | (Z)-11-tétradécenyl acétate | (Z)-9-dodécen-1-yl acétate | (7Z, 11Z)-hexadécadien-1-yl acétate | (Z, E)-9, 12-tétradécadien-1-yl acétate | (4Z-9Z)-7,9-dodécadien-1-ol | Z-11-hexadécen-1-yl acétate | (E)-5-décen-1-yl acétate | (E)-8-Dodecenyl acetate + (Z)-8-Dodecenyl acetate +  (Z)-8-Dodecenol | (E)-10-dodécenyl acétate | (Z)-11-hexadécenal + (Z)-11-hexadécen-1-yl acétate | (Z)-13-octadécenal | (E/Z)-8-dodécenyl acétate + (Z)-8-dodécenol | (E)-5-décen-1-ol | (Z)-11-hexadécenal | (Z)-9-tetradécen-1-yl acétate | Z-9-tétradécenyl acétate | (Z)-9-hexadécenal | (9Z, 12E)-tétradécadien-1-yl acétate | (Z)-11-tetradécen-1-yl acétate | (Z)-7-tétradécenal | (E)-11-tétradécen-1-yl acétate | n-hexadécylacétate | (Z,Z)-7,11-hexadécadien-1-yl acétate | (Z)-9-dodécen-1-yl acétate + dodécyl acétate | (Z,Z)-7,11-hexadécadien-1-yl acétate + (Z,E)-7,11-hexadécadien-1-yl acétate | (E,Z)-7,9-dodécadien-1-yl acétate | n-tétradecylacétate (14Ac) | (Z,Z)-3,13-octadécadiényl acétate | (E,Z,Z)-3,8,11-tétradécatrien-1-yl acétate | E-11-tétradécenyl acétate | (E,Z)-7,9-dodécadien-1-yl acétate + (E,E)-7,9-dodécadien-1-yl acétate | (Z)-13-hexadécen-11-yl acétate | (E/Z)-8-dodécen-1-yl acétate | (7E, 9E)-dodécadien 1-yl acétate | Z11-hexadécen-1-ol | (7Z, 11E)-hexadécadien-1-yl acétate | (E,Z)-8,10-tétradécadienyl | (Z,Z)-3,13-octadécadiényl acétate | Z-11-tétradécenyl acétate | (E)-2-méthyl-6-méthylène-2,7-octadien-1-ol(myrcenol) | (E)-8-dodécen-1-yl acétate | (Z)-8-dodécen-1-yl acétate | Straight Chain Lepidopteran Pheromones | Z-8-dodécénol | tétradécan-1-ol | (E)-2-méthyl-6-méthylène-3,7-octadien-2-ol(isomyrcenol) | (E,Z)-3,13-octadécadiényl acétate | (E, Z)-2, 13-octadécadien-1-yl acétate. | 8-dodécénylacétate | (Z)-8-dodécen-1-yl acétate + dodécyl acétate | (Z, E)-7, 11-hexadécadien-1-yl acétate | (z)-8-tétradécen-1-yl acétate | (Z)-8-dodécen-1-ol | (E,Z,Z)-3,8,11-tétradécatrien-1-yl acétate + (E,Z)-3,8-tétradécadien-1-yl acétate | (E/Z)9-dodécenylacétate | (E,E)-8,10-dodécadien-1-ol + tétradécylacétate | 1-dodécanol | E7,E/Z9-dodécadienylacétate + dodécanylacétate | (Z)-9-hexadécenal + (Z)-11-hexadécenal + (Z)-13-octadécenal | (4E-7Z)-4,7-tridécadien-1-yl-acétate | (Z)-11-hexadécen-1-ol | (E,E)-8,10-dodécadien-1-ol | (8E, 10E) - 8, 10 - dodécadiene 1-yl acétate;
Hymexazol;10004-44-1;INSCRITE;hymexazol;
Fenugrec extract;N/A;NON_INSCRITE;extrait de fénugrec;
Ammonium sulphate;;NON_INSCRITE;sulfate d'ammonium;
Dazomet;533-74-4;INSCRITE;dazomet;
Potassium hydrogen carbonate;298-14-6;INSCRITE;hydrogénocarbonate de potassium;
Halosulfuron methyl;;INSCRITE;halosulfuron-méthyl;
Huile de paraffine (CAS n° 8042-47-5);8042-47-5;AUTRE_CAS;huile de paraffine (CAS n° 8042-47-5);
Calcium carbide;;INSCRITE;carbure de calcium;
Aluminium phosphide;20859-73-8;INSCRITE;phosphure d'aluminium;
Pyridate;55512-33-9;INSCRITE;pyridate;
Clodinafop;105512-06-9;INSCRITE;clodinafop-propargyl;
2,4-DB;94-82-6 | 2039-46-5 (sel de DMA);INSCRITE;2,4-DB | 2,4-DB sel de triethanolamine | 2,4-DB sel de sodium | 2,4-DB sel d'amine;
Flupyradifurone;;INSCRITE;flupyradifurone;
Mandipropamid;374726-62-2;INSCRITE;mandipropamide;
Amisulbrom;348635-87-0;INSCRITE;amisulbrom;
2-Phenylphenol (incl. sodium salt orthophenyl phen;90-43-7;INSCRITE;2-Phénylphénol (sel de sodium d'orthophényl phénol);
Tri-allate;2303-17-5;INSCRITE;triallate;
Tetraconazole;112281-77-3;INSCRITE;tétraconazole;
Dicamba;1918-00-9;INSCRITE;dicamba acide | dicamba sel de sodium et de potassium | dicamba sel de potassium | dicamba sel de sodium | dicamba sel d'amine | dicamba | dicamba sel de diethanolamine | dicamba sel de diméthylamine;
Triflusulfuron;126535-15-7;NON_INSCRITE;triflusulfuron;
Thiencarbazone;;INSCRITE;thiencarbazone-méthyl | thiencarbazone;
Benoxacor;98730-04-2;AUTRE_CAS;bénoxacore;
Ferric pyrophosphate;;INSCRITE;pyrophosphate ferrique;
Dithianon;3347-22-6;INSCRITE;dithianon;
Azadirachtin;11141-17-6;INSCRITE;azadirachtine A et B | azadirachtine (huile) | azadirachtine A | azadirachtine;
Ethofumesate;26225-79-6;INSCRITE;éthofumesate;
Trinexapac;;INSCRITE;trinéxapac-éthyl | trinéxapac;
MCPA;94-74-6;INSCRITE;MCPA sel de potassium | MCPA sels d'amine et de potassium | MCPA EHE | MCPA sel de sodium | MCPA sel de monoéthanolamine | MCPA sels de diméthylamine de potassium et de soude | MCPA 2-EHE | MCPA sels d'amines,de sodium et de potassium | MCPA ester amylique | MCPA sel d'amine | MCPA sel de diméthylamine | MCPA sels d'isopropylamine,de potassium et de sodium | MCPA sel de triéthanolamine | MCPA ester de butylglycol | MCPA ester de 2-ethylhexyl | MCPA | MCPA sels de sodium et de potassium | MCPA ester isooctylique;
Silthiofam;175217-20-6;INSCRITE;silthiofame;
1-Methoxy-4-propenylbenzene (Anethole);104-46-1;NON_INSCRITE;1-Methoxy-4-propenylbenzene (Anethole);
2-Methyl-6-methylene-2,7-octadien-4-ol (ipsdienol);;NON_INSCRITE;2-Méthyl-6-méthylène-2,7-octadien-4-ol (ipsdienol);
(3E, 13Z)-octadecadien-1-yl acetate;;INSCRITE;(3E, 13Z)-octadécadien-1-yl acétate;
Aviglycine HCL;;NON_INSCRITE;aviglycine HCL;
Azimsulfuron;120162-55-2;NON_INSCRITE;azimsulfuron;
Bifenthrin;82657-04-3;NON_INSCRITE;bifenthrine;
Brandol (hydroxynonyl-2,6-dinitrobenzene);;NON_INSCRITE;brandol (hydroxynonyl-2,6-dinitrobenzène);
Methiocarb;2032-65-7;NON_INSCRITE;Methiocarb;
Myclobutanil;88671-89-0;NON_INSCRITE;myclobutanil;
Pencycuron;66063-05-6;NON_INSCRITE;pencycuron;
Pepino mosaic virus (PepMV) Chilean (CH2) strain, mild isolate Abp2;;INSCRITE;Pepino mosaic virus (PepMV) Chilean (CH2) strain, mild isolate Abp2;
Alkyltrimethylbenzyl ammonium chloride;;NON_INSCRITE;alkyltrimethylbenzyl ammonium chloride;
Allethrin;;NON_INSCRITE;alléthrine;
Formic acid;;NON_INSCRITE;acide formique;
7-Methyl-3-methylene-7-  -octene-1-yl-propionate;;NON_INSCRITE;7-Méthyl-3-methylène-7-octene-1-yl-propionate;
Deltamethrin;;INSCRITE;deltaméthrine;
Alpha-Cypermethrin;;NON_INSCRITE;alpha-cyperméthrine;
DADZ (zinc-dimethylditiocarbamate);;NON_INSCRITE;DADZ (zinc-diméthylditiocarbamate);
Famoxadone;131807-57-3;NON_INSCRITE;famoxadone;
Fluquinconazole;136426-54-5;NON_INSCRITE;fluquinconazole;
Flutriafol;76674-21-0;NON_INSCRITE;flutriafol;
Quinoclamine;2797-51-5;NON_INSCRITE;quinoclamine;
Repellents by smell/ tall oil pitch;;NON_INSCRITE;répulsif olfactif d'origine animal ou végétal/poix d'huile de tall;
Sea-algae extract;;NON_INSCRITE;extrait d'algue marine;
Spirodiclofen;148477-71-8;NON_INSCRITE;spirodiclofène;
Thiophanate (ethyl);23564-06-9;NON_INSCRITE;thiophanate (éthyl);
1,2-dibromoethane;;NON_INSCRITE;1,2-dibromoéthane;
2,3,6-TBA;50-31-7;NON_INSCRITE;2,3,6-TBA sel d'ammonium | 2,3,6-TBA;
4-CPA;122-88-3;NON_INSCRITE;4-CPA;
Agrobacterium radiobacter K 84;;NON_INSCRITE;Agrobacterium radiobacter K 84;
Bacillus sphaericus;;NON_INSCRITE;Bacillus sphaericus;
Baculovirus GV;;NON_INSCRITE;Baculovirus GV;
Beauveria brongniartii;;NON_INSCRITE;Beauveria brongniartii;
Iron sulphate;;INSCRITE;fer sous forme de sulfate | sulfate de fer (II), monohydrate | sulfate de fer (II), anhydre | sulfate de fer heptahydrate | sulfate de fer;
Dodemorph;1593-77-7;INSCRITE;dodémorphe;
Ammonium acetate;631-61-8;NON_INSCRITE;acétate d'ammonium;
Aqueous extract from the germinated seeds of sweet Lupinus albus;;INSCRITE;extrait aqueux des graines germées de Lupinus albus doux;
Blood meal;90989-74-5;INSCRITE;farine de sang;
Adoxophyes orana GV strain BV-0001;;NON_INSCRITE;virus de la granulose d'Adoxophyses orana souche BV-0001 | Adoxophyes orana granulovirus souche DSM-BV-0001 ;
Trichoderma polysporum strain IMI 206039;;NON_INSCRITE;Trichoderma polysporum strain IMI 206039 | Trichoderma polysporum souche IMI 206039;
Diclofop;51338-27-3 | 257-141-8 (Diclofop-methyl) - 40843-25-2 (diclofop);INSCRITE;diclofop;
Metalaxyl;57837-19-1;INSCRITE;métalaxyl S | métalaxyl;
Triéthanolamine (CAS n° 102-71-6);;AUTRE_CAS;triéthanolamine (CAS n° 102-71-6);
Poly-(éthylène glycol/propylène glycol) (CAS n° 9003-11-6);;AUTRE_CAS;poly-(éthylène glycol/propylène glycol) (CAS n° 9003-11-6);
Bacillus thuringiensis subsp. kurstaki SA-12;;INSCRITE;Bacillus thuringiensis subsp. kurstaki SA-12 | Bacillus thuringiensis subsp. Kurstaki strain SA 12 ;
Cinnamaldehyde;;NON_INSCRITE;cinnamaldéhyde;
Diquat (dibromide);85-00-7;NON_INSCRITE;diquat ion | diquat (dibromide);
Fipronil;120068-37-3;NON_INSCRITE;Fipronil;
Glufosinate;;NON_INSCRITE;glufosinate | glufosinate ammonium;
Huile d'Eucalyptus;;NON_INSCRITE;huile d'Eucalyptus;
Imazaquin;81335-37-7;NON_INSCRITE;imazaquine;
Isoproturon;34123-59-6;NON_INSCRITE;Isoproturon;
Lufenuron;103055-07-8;NON_INSCRITE;lufénuron;
Maneb;12427-38-2;NON_INSCRITE;manèbe;
Mecoprop;7085-19-0;NON_INSCRITE;mécoprop sels de sodium et de potassium | mécoprop sel d'amine | mécoprop ester iso octylique | mécoprop sel de monoéthanolamine | mécoprop ester de butylglycol | mécoprop ester de butoxyéthanol | mécoprop sel de sodium | mécoprop sel de diméthylamine | mécoprop | mécoprop sel de potassium | mécoprop sel de magnésium | mécoprop sel de diéthanolamine;
Pyrifenox;88283-41-4;NON_INSCRITE;pyrifénox;
Acide citrique (CAS n° 77-92-9);;AUTRE_CAS;acide citrique (CAS n° 77-92-9);
Chlorotoluron;15545-48-9;INSCRITE;chlorotoluron;
Bensulfuron;;INSCRITE;bensulfuron | bensulfuron-méthyl | bensulfuron forme acide;
Cyprosulfamide;221667-31-8;INSCRITE;cyprosulfamide;
Thiosulfate d'ammonium (CAS n°7783-18-8);7783-18-8;AUTRE_CAS;thiosulfate d'ammonium (CAS n°7783-18-8);
Methoxyfenozide;161050-58-4;INSCRITE;méthoxyfénozide;
Bacillus thuringiensis subsp. aizawai strain ABTS-1857;;INSCRITE;Bacillus thuringiensis subsp. aizawai SOUCHE: ABTS-1857 Collection de cultu | Bacillus thuringiensis subsp. aizawai;
Bromuconazole;116255-48-2;INSCRITE;bromuconazole;
Cyflufenamid;180409-60-3;INSCRITE;cyflufénamide;
Carfentrazone-ethyl;128639-02-1;INSCRITE;carfentrazone-ethyl | carfentrazone-éthyle;
Metobromuron;3060-89-7;INSCRITE;métobromuron;
Terbuthylazine;5915-41-3;INSCRITE;terbuthylazine;
Florpyrauxifen-benzyl;;INSCRITE;florpyrauxifène-benzyle;
Penoxsulam;219714-96-2;INSCRITE;pénoxsulame;
Cyflumetofen;;INSCRITE;cyflumétofen;
Plant oils / Citronella oil;;NON_INSCRITE;huiles végétales/huile de citronnelle;
Aureobasidium pullulans;;INSCRITE;Aureobasidium pullulans;
Tritosulfuron;142469-14-5;NON_INSCRITE;tritosulfuron;
Picolinafen;137641-05-5;INSCRITE;picolinafène;
Colorant bleu brillant (CAS n° 3844-45-9);3844-45-9;AUTRE_CAS;colorant bleu brillant (CAS n° 3844-45-9);
Bacillus amyloliquefaciens IT-45;;INSCRITE;Bacillus amyloliquefaciens IT-45;
Oryzalin;19044-88-3;NON_INSCRITE;oryzalin;
Pepino mosaic virus (PepMV) European (EU) strain, mild isolate Abp1;;INSCRITE;Pepino mosaic virus (PepMV) European (EU) strain, mild isolate Abp1;
Pepper;;NON_INSCRITE;poivre;
Phlebiopsis gigantea;;INSCRITE;Phlebiopsis gigantea souche FOC PG 410.3 | Phlebiopsis gigantea souche VRA 1835 | Phlebiopsis gigantea souche VRA 1984  | Phlebiopsis gigantea;
Glyphosate;1071-83-6;INSCRITE;glyphosate sel de diammonium | glyphosate sel d'ammonium | glyphosate sel de potassium | glyphosate sel d'isopropylamine | glyphosate trimesium | glyphosate sel monosodium | glyphosate sel de diméthylamine | glyphosate;
Isofetamid;875915-78-9;INSCRITE;isofétamide;
1-methylcyclopropene;3100-04-7;INSCRITE;1-méthylcyclopropène;
Rimsulfuron;122931-48-0;INSCRITE;rimsulfuron;
Propaquizafop;111479-05-1;INSCRITE;propaquizafop;
Streptomyces K61 (formerly S. griseoviridis);;INSCRITE;Streptomyces souche K61 | Streptomyces griseoviridis (K61) | Streptomyces K61 (anciennement S. griseoviridis) SOUCHE: K61 Collection de;
Ethylene;;INSCRITE;éthylène;
Acetic acid;64-19-7;INSCRITE;acide acétique;
Iodosulfuron;185119-76-0;INSCRITE;iodosulfuron-méthyl-sodium | Iodosulfuron;
Penconazole;66246-88-6;INSCRITE;penconazole;
Paraffin oils;64742-46-7 | 72623-86-0 | 97862-82-3;INSCRITE;huile de paraffine (CAS n°64742-46-7) | huile de paraffine (CAS 72623-86-0) | huiles de paraffine | huile de paraffine (CAS 97862-82-3);
Bifenox;42576-02-3;INSCRITE;bifénox;
Fosetyl-Al;;INSCRITE;Fosetyl-Al;
Clomazone;;INSCRITE;clomazone;
Gamma-cyhalothrin;76703-62-3;NON_INSCRITE;gamma-cyhalothrine;
Metaflumizone;139968-49-3;NON_INSCRITE;métaflumizone;
Penflufen;;NON_INSCRITE;penflufène;
Pyridalyl;179101-81-6;NON_INSCRITE;pyridalyl;
Dimethachlor;50563-36-5;INSCRITE;diméthachlore;
Metconazole;125116-23-6 (unstated stereochemistry);INSCRITE;metconazole;
S-Metolachlor;87392-12-9 (S-isomer) 178961-20-1 (R-isomer);NON_INSCRITE;S-métolachlore | S-métolachlore : isomère S | S-métolachlore : isomère R;
Chromafenozide;;NON_INSCRITE;chromafenozide;
Bacillus firmus I-1582;;NON_INSCRITE;Bacillus firmus souche I-1582 | Bacillus firmus I-1582;
Meptyldinocap;6119-92-2;NON_INSCRITE;méptyldinocap;
Aureobasidium pullulans (strains DSM 14940 and DSM 14941);;INSCRITE;Aureobasidium pullulans souche DSM 14941 | Aureobasidium pullulans souche DSM 14940 | Aureobasidium pullulans (souche DSM 14940 et DSM 14941);
Ziram;137-30-4;INSCRITE;Ziram;
Amidosulfuron;120923-37-7;INSCRITE;amidosulfuron;
Paraffin oil/(CAS 8042-47-5);8042-47-5;INSCRITE;huile de paraffine (CAS 8042-47-5);
Sedaxane;874967-67-6;INSCRITE;sédaxane | sédaxane (isomère trans) |  sédaxane (isomère cis)  ;
Huile de paraffine (CAS n° 64742-46-7);64742-46-7;AUTRE_CAS;huile de paraffine (CAS n° 64742-46-7);
Mesosulfuron;208465-21-8  - 400852-66-6 (parent);INSCRITE;mésosulfuron-méthyl | mésosulfuron;
Quizalofop-P-tefuryl;119738-06-6;INSCRITE;quizalofop-P-téfuryl;
imazapic;;NON_INSCRITE;imazapic;
N-phenylphthalamic acid;;NON_INSCRITE;acide N-phénylphthalamique;
Piperonyl butoxide;;INSCRITE;pipéronyl butoxide;
TCA;;NON_INSCRITE;TCA;
Z-13-hexadecen-11-yn-1-yl acetate;;NON_INSCRITE;z-13-hexadecen-11-yn-1-yl acetate;
S-abscisic acid;;INSCRITE;acide S-abscisique;
Candida oleophila strain O;;INSCRITE;Candida oleophila souche O | Candida oleophila strain O;
Fluoxastrobin;361377-29-9;INSCRITE;fluoxastrobine;
Mepiquat;24307-26-4 (mepiquat chloride) - 15302-91-7 (mepiquat);INSCRITE;chlorure de mépiquat | mépiquat;
Oligomères d'alpha-pinène et bêta-pinène (CAS N° 31393-98-3) ;31393-98-3;AUTRE_CAS;oligomères d'alpha-pinène et bêta-pinène (CAS n° 31393-98-3);
Eugenol;97-53-0;INSCRITE;eugénol;
Paecilomyces fumosoroseus strain FE 9901;;INSCRITE;Paecilomyces fumosoroseus souche FE 9901 | Paecilomyces fumosoroseus strain Fe9901;
Salicylate de méthyle (CAS n° 119-36-8);119-36-8;AUTRE_CAS;salicylate de méthyle (CAS n° 119-36-8);
Flubendiamide;;NON_INSCRITE;flubendiamide;
Spinetoram;XDE-175-J: 187166-40-1 - XDE-175-L: 187166-15-0 - XDE-175 (Spinetoram): 935545-74-7;NON_INSCRITE;Spinetoram;
Spiromesifen;;NON_INSCRITE;spiromésifène;
Spirotetramat;203313-25-1;NON_INSCRITE;spirotétramate;
Fatty acids C8-C10 methyl esters;85566-26-3;NON_INSCRITE;acides gras en C8-C10, esters de méthyle | acide laurique | acide oléique | octanoate de méthyle | décanoate de méthyle;
Cloquintocet mexyl;99607-70-2;AUTRE_CAS;cloquintocet-mexyl;
Orange oil;8028-48-6;INSCRITE;D-limonene | huile essentielle d'orange;
Beauveria bassiana strain GHA;;INSCRITE;Beauveria bassiana souche GHA;
Buprofezin;953030-84-7;INSCRITE;buprofézine;
Daminozide;1596-84-5;INSCRITE;daminozide;
Rescalure;;INSCRITE;rescalure;
Spodoptera littoralis nucleopolyhedrovirus;;INSCRITE;Spodoptera littoralis nucleopolyhedrovirus | nucléopolyhédrovirus de Spodoptera littoralis;
Streptomyces lydicus WYEC 108;;INSCRITE;Streptomyces lydicus WYEC 108;
Thiabendazole;148-79-8;INSCRITE;thiabendazole;
Quizalofop-P-ethyl;;INSCRITE;quizalofop-P-éthyl;
Fosthiazate;98886-44-3;INSCRITE;Fosthiazate;
Cyazofamid;120116-88-3;INSCRITE;cyazofamide;
