Nom substance active;Numero CAS;Etat d’autorisation;Variant;
Fenbutatin oxide;13356-08-6;NON_INSCRITE;fenbutatin-oxide;
Flumiclorac;;NON_INSCRITE;flumiclorac;
Folic acid;;NON_INSCRITE;acide folique;
Formaldehyde;50-00-0;NON_INSCRITE;formaldéhyde;
Fluoroglycofene;77501-90-7;NON_INSCRITE;fluoroglycofène;
Flurenol;;NON_INSCRITE;flurénol;
Furathiocarb;65907-30-4;NON_INSCRITE;furathiocarb;
Flurprimidole;56425-91-3;NON_INSCRITE;flurprimidole;
Furconazole;;NON_INSCRITE;furconazole;
Haloxyfop;69806-34-4 | 72619-32-0;NON_INSCRITE;haloxyfop;
Imazethabenz;;NON_INSCRITE;imazaméthabenz;
Imazethapyr;81335-77-5;NON_INSCRITE;imazéthapyr;
Imidacloprid;;NON_INSCRITE;imidaclopride;
Iminoctadine;;NON_INSCRITE;iminoctadine;
Mevinphos;7786-34-7;NON_INSCRITE;mévinphos;
Molinate;2212-67-1;NON_INSCRITE;Molinate;
Monalide;7287-36-7;NON_INSCRITE;monalide;
Monocarbamide-dihydrogensulphate;;NON_INSCRITE;monocarbamide-dihydrogensulphate;
Monocrotophos;6923-22-4;NON_INSCRITE;monocrotophos;
Monolinuron;1746-81-2;NON_INSCRITE;monolinuron;
Monuron;;NON_INSCRITE;monuron;
Plant oils / Lemongrass oil;;NON_INSCRITE;huile de plantes / huile de citronnelle;
Plant oils / Maize oil;;NON_INSCRITE;huile de plantes / huile de maïs;
Plant oils / Olive oil;;NON_INSCRITE;huile de plantes / huile d'olive;
Plant oils / Soybean oil, epoxylated;;NON_INSCRITE;huile de plantes / huile de soja époxylée;
Plant oils / Soya oil;;NON_INSCRITE;huile de plantes / huile de soja;
Polyoxin;;NON_INSCRITE;polyoxine;
Promecarb;2631-37-0;NON_INSCRITE;promécarbe;
Propanil;709-98-8;NON_INSCRITE;propanil;
Propetamphos;31218-83-4;NON_INSCRITE;propétamphos;
Propham;122-42-9;NON_INSCRITE;prophame;
Prothoate;2275-18-5;NON_INSCRITE;prothoate;
Pyraclofos;;NON_INSCRITE;pyraclofos;
Quinalphos;13593-03-8;NON_INSCRITE;quinalphos;
Quinclorac;84087-01-4;NON_INSCRITE;quinclorac;
Quintozene;82-68-8;NON_INSCRITE;quintozène;
Repellents: Essential oils;;NON_INSCRITE;répulsif : huiles essentielles;
Sebacic acid;;NON_INSCRITE;acide sébacique;
Serricornin;;NON_INSCRITE;serricornin;
Soybean extract;;NON_INSCRITE;extrait de soja;
Streptomycin;;NON_INSCRITE;streptomycine;
Repellent (by taste) of vegetal and animal origin/;;NON_INSCRITE;Repellent (by taste) of vegetal and animal origin/extract of food grade/pho;
Sulfaquinoxaline;;AUTRE_CAS;sulfaquinoxaline;
Tecnazene;117-18-0;NON_INSCRITE;tecnazène;
Tetradifon;116-29-0;NON_INSCRITE;tetradifon;
Kinoprene;;NON_INSCRITE;kinoprène;
Methidathion;950-37-8;NON_INSCRITE;méthidathion;
Methoprene;40596-69-8;NON_INSCRITE;méthoprène;
Methoxychlor;;NON_INSCRITE;méthoxychlore;
Methylenebisthiocyanate;;NON_INSCRITE;bisthiocyanate de méthylène;
Methylnaphthylacetamide;;NON_INSCRITE;methylnaphthylacétamide;
Metolachlor;51218-45-2;NON_INSCRITE;métolachlore;
Propyl-3-t-butylphenoxyacetate;;NON_INSCRITE;propyl-3-t-butylphénoxyacétate;
Prothiocarb;19622-19-6;NON_INSCRITE;prothiocarbe;
Benzoylprop;22212-55-1;NON_INSCRITE;benzoylprop;
Biohumus;;NON_INSCRITE;biohumus;
Bioresmethrin;28434-01-7;NON_INSCRITE;bioresméthrine;
Biphenyl;92-52-4;NON_INSCRITE;biphényle;
Chlorthal-dimethyl;1861-32-1;NON_INSCRITE;chlorthal-dimethyl;
Chlorthiophos;;NON_INSCRITE;chlorthiophos;
Choline chloride;;NON_INSCRITE;chlorure de choline;
Citrus extract/grapefruit seed extract;;NON_INSCRITE;extrait de citrus/extrait de pépin de pamplemousse;
