DATAFLOW,FREQ: Frequency,REF_AREA: Territory,DATA_TYPE: Indicator,TYPE_OF_CROP: Type of crop,PLANT_PROTECTION_PROD: Plant protection products and active ingredients,NUMBER_PHYTOS_TREAT: Number of phytosanitary treatments,LEVEL_OF_TOXICITY: Level of toxicity,TIME_PERIOD: Time,OBS_VALUE,OBS_STATUS: Observation status,NOTE_DS: Dataset note,NOTE_REF_AREA: Territory,NOTE_DATA_TYPE: Indicator,NOTE_TYPE_OF_CROP: Type of crop,NOTE_PLANT_PROTECTION_PROD: Plant protection products and active ingredients,NOTE_NUMBER_PHYTOS_TREAT: Number of phytosanitary treatments,NOTE_LEVEL_OF_TOXICITY: Level of toxicity,NOTE_TIME_PERIOD: Time,BASE_PER: Base year,UNIT_MEAS: Measure unit,UNIT_MULT: Multiplication unit
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NSHH: nitrogen/sulphur/halogenated hydrocarbon,TOT: total,ALL: all items,2019,0,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NSHH: nitrogen/sulphur/halogenated hydrocarbon,TOT: total,ALL: all items,2020,0,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NSHH: nitrogen/sulphur/halogenated hydrocarbon,TOT: total,ALL: all items,2021,0,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,NSHH: nitrogen/sulphur/halogenated hydrocarbon,TOT: total,ALL: all items,2023,2,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2015,920,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2016,380,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2017,331,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2018,238,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2019,86,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2020,94,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2021,104,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2022,118,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2023,396,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OIL: oils,TOT: total,ALL: all items,2024,177,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OPSO: organo-phosphate and stann-organic,TOT: total,ALL: all items,2015,525,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OPSO: organo-phosphate and stann-organic,TOT: total,ALL: all items,2016,666,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OPSO: organo-phosphate and stann-organic,TOT: total,ALL: all items,2017,276,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OPSO: organo-phosphate and stann-organic,TOT: total,ALL: all items,2018,11,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OPSO: organo-phosphate and stann-organic,TOT: total,ALL: all items,2019,238,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OPSO: organo-phosphate and stann-organic,TOT: total,ALL: all items,2020,0,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OPSO: organo-phosphate and stann-organic,TOT: total,ALL: all items,2021,22,,,,,,,,,,,,
IT1:101_22_DF_DCSP_FITOSANITARI_2(1.0),A: annual,ITC42: Como,AIKGPP: amount of active ingredients contained in plant protection products distributed (kg),ALL: all items,OPSO: organo-phosphate and stann-organic,TOT: total,ALL: all items,2022,50,,,,,,,,,,,,
