DOCUMENT_ID,PRODUCT_ID,PRODUCT,DOCUMENT_TYPE,TYPE_EVIDENCE,URL,SOURCE_PAGE,FILENAME,VISIBLE_DOCUMENT_DATE,HTTP_STATUS,DOWNLOAD_STATE,MEDIA_TYPE,BYTES,SHA256,STORAGE_KEY,CAPTURED_AT,PROVA_DE_QUE_E_DOCUMENTO
DOC-ES-7541b06d1348,ADAMA-ES-32dd9ccc34a9,SULTAN N,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/2201/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sultan,SULTAN-N.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,126747,5e3b2bdab2c7ecd00eacad7a13c5e134e40ffc58ba6794373b6026d35946b5f1,raw/ES/adama-website/ADAMA-ES-32dd9ccc34a9/5e3b2bdab2c7ecd0-SULTAN-N.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-4fa9f285b12c,ADAMA-ES-32dd9ccc34a9,SULTAN N,BROCHURE,"TEXTO_DO_LINK casou ""Folleto""",https://www.adama.com/spain/es/media/2986/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sultan,Sultan N Colza Folleto.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,220960,79572dfb21692dbd306c77472a6c1cd8e8a03e12c996a104e7aa4116460624c2,raw/ES/adama-website/ADAMA-ES-32dd9ccc34a9/79572dfb21692dbd-Sultan N Colza Folleto.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-0adc6197eab7,ADAMA-ES-9fcc5560e57b,SUNBRIGHT,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/3286/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sunbright,Sunbright Etiqueta.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,787553,7e5264a0ef66e7e38630cb83fdc187424e007cf35b00fce58f8aa3d8db7ac85a,raw/ES/adama-website/ADAMA-ES-9fcc5560e57b/7e5264a0ef66e7e3-Sunbright Etiqueta.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-18aaa8678a4e,ADAMA-ES-9fcc5560e57b,SUNBRIGHT,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/3291/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sunbright,Sunbright FDS.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,114820,d9d906b8a86be217ba4769ddf29fd338d01cd77d2bc5820a463e05e5124a3d95,raw/ES/adama-website/ADAMA-ES-9fcc5560e57b/d9d906b8a86be217-Sunbright FDS.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-0efaa4329486,ADAMA-ES-9fcc5560e57b,SUNBRIGHT,BROCHURE,"TEXTO_DO_LINK casou ""Folleto""",https://www.adama.com/spain/es/media/3266/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sunbright,Sunbright Folleto.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,4703496,8566d71e17e7c1f5f7dbd780c4e22f74f56e5b46d75a1e9156c8ce4504ab2735,raw/ES/adama-website/ADAMA-ES-9fcc5560e57b/8566d71e17e7c1f5-Sunbright Folleto.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-6bc79541f435,ADAMA-ES-9fcc5560e57b,SUNBRIGHT,BROCHURE,"TEXTO_DO_LINK casou ""Tríptico""",https://www.adama.com/spain/es/media/3296/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/sunbright,Sunbright Tríptico.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,4346724,ec8ac4c2744b3214603bdd2cf36aaf84828586110199cec9f0bbacbdab32a686,raw/ES/adama-website/ADAMA-ES-9fcc5560e57b/ec8ac4c2744b3214-Sunbright Tríptico.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-68f8df4cb7d9,ADAMA-ES-a094d5940532,TOPIK 24EC,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/131/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/topik-24ec,L30080_06_TOPIK_COMPLETA (SPECIMEN).pdf,NÃO SEI,200,DOWNLOADED,application/pdf,477704,7b40c0828c2217d43b171f2e76aca128ebd481c4425684a9f8f89ff85a1d88a9,raw/ES/adama-website/ADAMA-ES-a094d5940532/7b40c0828c2217d4-L30080_06_TOPIK_COMPLETA (SPECIMEN).pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-5754532decb4,ADAMA-ES-a094d5940532,TOPIK 24EC,SDS,"TEXTO_DO_LINK casou ""FDS""",https://www.adama.com/spain/es/media/2211/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/topik-24ec,TOPIK 24 EC.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,119034,eb1016173b9ac94f0abb9d3ec044b90ac9dd185e41b7aadbebc8cbfe934e21c1,raw/ES/adama-website/ADAMA-ES-a094d5940532/eb1016173b9ac94f-TOPIK 24 EC.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-9dc043d3912c,ADAMA-ES-a094d5940532,TOPIK 24EC,BROCHURE,"TEXTO_DO_LINK casou ""Folleto""",https://www.adama.com/spain/es/media/2981/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-malas-hierbas/topik-24ec,TOPIC Folleto Diptico.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,1174286,6fdd6e7468b9c8e865172565d4949ff2a85f5d9c44ad5ed59ebe2b9d8e9bdc41,raw/ES/adama-website/ADAMA-ES-a094d5940532/6fdd6e7468b9c8e8-TOPIC Folleto Diptico.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
DOC-ES-80643a05fe41,ADAMA-ES-94a39873b3a0,TRICUPROXI F,ADAMA_COMMERCIAL_LABEL,"TEXTO_DO_LINK casou ""Etiqueta""",https://www.adama.com/spain/es/media/1656/download?attachment,https://www.adama.com/spain/es/nuestras-soluciones/control-de-enfermedades/tricuproxi-f,L30247IPWP_03-TricuproxiF(Saco5)W.pdf,NÃO SEI,200,DOWNLOADED,application/pdf,720037,08520e8497d1084409d20efb47b14f3fbc2371e4924ce22aedc7c08250fa4853,raw/ES/adama-website/ADAMA-ES-94a39873b3a0/08520e8497d10844-L30247IPWP_03-TricuproxiF(Saco5)W.pdf,2026-08-30T03:19:24Z,EXTENSAO_NO_TITLE
