Prodotti fitosanitari venduti nell'anno 2014 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2014, art. 16 D.Lgs. 150/2012);;;;;;;Sostanze attive vendute nell'anno 2014 (fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2014, art. 16 D.Lgs. 150/2012);;;;;
(le elaborazioni eseguite si riferiscono alle informazioni contenute nella Banca Dati prodotti fitosanitari del Ministero della Salute  al 01/01/2015);;;;;;;(le elaborazioni eseguite si riferiscono alle informazioni contenute nella Banca Dati prodotti fitosanitari del Ministero della Salute  al 01/01/2015);;;;;
Provincia ULSS;Azienda ULSS;N. Reg. ;Nome Prodotto venduto;Quantità (Kg o litri);;;Azienda ULSS;Provincia ULSS;Sostanza attiva venduta;Quantità (Kg);;
BL;1;14294;EXECUTIVE;0,1;;;2;BL;METALDEHYDE (METALDEIDE);470,4;;
BL;1;14363;U 46 GIARDEN;6;;;2;BL;METIRAM;81,63;;
BL;1;14376;MASTER QUICK;0,1;;;2;BL;METRIBUZIN;1,4;;
BL;1;14405;MERLIN FLEXX;14;;;2;BL;MYCLOBUTANIL;1,74;;
BL;1;14407;RUNWAY;22,6;;;2;BL;NAA;0,01;;
BL;1;14409;MOVENTO 48 SC;4,5;;;2;BL;NAD;0,25;;
BL;1;14423;PRIMISOL 80 WDG;4;;;2;BL;NICOSULFURON;17,97;;
BL;1;14474;TEBUSIP COMBI;2,25;;;2;BL;OXADIAZON;0,28;;
BL;1;14642;RIDOMIL GOLD R WG;73;;;2;BL;OXYFLUORFEN;13,1;;
BL;1;14737;ROUNDUP PLATINUM;2866;;;2;BL;PARAFFIN OIL/(CAS 64742-46-7);16,01;;
BL;1;14739;DECIS PROTECT;40;;;2;BL;PARAFFIN OIL/(CAS 8042-47-5);523,2;;
BL;1;14799;AFLOR 200 SL;0,37;;;2;BL;PARAFFIN OIL/(CAS 97862-82-3);4,51;;
BL;1;14815;ADENGO;748;;;2;BL;PELARGONIC ACID (ACIDO PELARGONICO);0,09;;
BL;1;14891;TRICO;4;;;2;BL;PENCONAZOLE;0,05;;
BL;1;15013;NATRIA LUMACHICIDA;184;;;2;BL;PENDIMETHALIN;8,88;;
BL;1;15034;DICOPHAR;0,2;;;2;BL;PETHOXAMID;3,89;;
BL;1;15047;R6 ERRESEI BORDEAUX WG;32,5;;;2;BL;PHOSMET;2,48;;
BL;1;15057;DICOTEX RTU;4;;;2;BL;PIPERONYL BUTOXIDE (PIPERONIL BUTOSSIDO);1,51;;
BL;1;15059;DECIS EVO;20,25;;;2;BL;PIRIMICARB;0,88;;
BL;1;15093;CENTURIO;13,5;;;2;BL;PROHEXADIONE CALCIUM;0,2;;
BL;1;15130;INTREPID;1;;;2;BL;PROPAMOCARB;0,01;;
BL;1;15148;ENVIROMITE 480 SC;0,02;;;2;BL;PYRETHRIN I;0,06;;
BL;1;15201;FLOXI 355 SC;5;;;2;BL;PYRETHRINS;0,55;;
BL;1;15221;ZETARAM PLUS;2,5;;;2;BL;PYRIMETHANIL;1,57;;
BL;1;15253;FALCON MK;31;;;2;BL;PYRIPROXYFEN;0,11;;
BL;1;15289;SERENADE NATRIA;0,6;;;2;BL;QUINOXYFEN;1,19;;
BL;1;15333;APPLAUD PLUS;0,3;;;2;BL;QUIZALOFOP-P-ETILE;0,18;;
BL;1;15514;CUPRAVIT BLU 35 WG;24,5;;;2;BL;RIMSULFURON;0,05;;
BL;1;15532;TOBAGO 200 SL;0,4;;;2;BL;SHEEP FAT (GRASSO DI PECORA);2,75;;
BL;1;15591;PREVINT TOP;5;;;2;BL;S-METOLACHLOR;400,54;;
BL;1;15661;SENEGO;6,25;;;2;BL;SORBITAN MONO OLEATO ETOSSILATO;1,2;;
BL;1;15668;GHIBLI 240 OD;35,5;;;2;BL;SORBITAN MONOLEATO;8,28;;
BL;1;15901;ERCOLE;2993;;;2;BL;SPINOSAD;0,14;;
BL;2;40;ETRAVON SYNGENTA;3;;;2;BL;SPIROTETRAMAT;0,11;;
BL;2;1156;CHEMOL;87;;;2;BL;SPIROXAMINE;7,13;;
BL;2;1562;ERBITOX E 30;44;;;2;BL;SULCOTRIONE;2,93;;
BL;2;1583;MICROTHIOL DISPERSS;2;;;2;BL;SULPHUR (ZOLFO);1.129,46;;
BL;2;1850;IDRORAME FLOW;51;;;2;BL;TEBUCONAZOLE;9,33;;
BL;2;2249;MALERBANE PRATI 400;1;;;2;BL;TEFLUTHRIN;0,3;;
BL;2;2259;PASTA LUMACHICIDA IN GRANI;2590;;;2;BL;TERBUTHYLAZINE;240,24;;
BL;2;2272;SILLIM;23;;;2;BL;TETRACONAZOLE;0,69;;
BL;2;2603;ESCACIDE;25;;;2;BL;THIAMETHOXAM;1,13;;
BL;2;2634;BUGGY;46;;;2;BL;THIENCARBAZONE-METHYL;11,52;;
BL;2;2923;TIOVIT JET;453;;;2;BL;THIFENSULFURON-METHYL;0,04;;
BL;2;2934;MICROSOL 90;7;;;2;BL;TRIBASIC COPPER SULPHATE (RAME SOLFATO TRIBASICO);48,66;;
BL;2;2972;BIODAST;5;;;2;BL;TRICLOPYR;6,5;;
BL;2;2995;ESCARTOX;2457,5;;;2;BL;ZETA CYPERMETHRIN;0,71;;
BL;2;3065;OLIOCIN;302;;;2;BL;ZOXAMIDE;5,32;;
BL;2;3069;CURENOX;3;;;3;VI;2,4-D;0,38;;
BL;2;3102;OLEOTER;14;;;3;VI;2,4-D (SALE DIMETILAMMINICO);0,1;;
BL;2;3132;SEPR-OIL;4;;;3;VI;ABAMECTIN;0,01;;
BL;2;3219;CARAKOL AGRO;565;;;3;VI;ACETAMIPRID;9,36;;
BL;2;3343;U46 M CLASS;7;;;3;VI;ACIBENZOLAR-S-METHYL;0,5;;
BL;2;3658;SIPCAMOL E;28;;;3;VI;ACRINATHRIN;0,54;;
BL;2;3754;BAGNANTE SARIAF;7;;;3;VI;ALCOOL GRASSO ETOSSILATO;14,96;;
BL;2;4012;RELDAN 22;18,4;;;3;VI;ALCOOL ISOTRIDECILICO;89,2;;
BL;2;4157;IROL PLUS;59;;;3;VI;AMINOPYRALID;1,38;;
BL;2;4292;ZOLVIS 80 MICRO;6;;;3;VI;AUREOBASIDIUM PULLULANS;0;;
BL;2;4710;ALIETTE;2,75;;;3;VI;AZADIRACHTIN A (AZADIRACTINA A);0,05;;
BL;2;5299;MIBIOL;41;;;3;VI;AZOXYSTROBIN;1,85;;
BL;2;5414;RADICANTE POLVERE TALEE LEGNOSE;1;;;3;VI;BACILLUS THURINGIENSIS SOTTOSPECIE AIZAWAI CEPPO GC-91;2;;
BL;2;5574;LUMAKIDIN 5G;20;;;3;VI;BEAUVERIA BASSIANA;0,01;;
BL;2;7101;LIMAVAL;104;;;3;VI;BENALAXYL;0,01;;
BL;2;7369;SYLLIT FLO;5,08;;;3;VI;BENTAZONE;7,83;;
BL;2;7530;BIOLID E;4;;;3;VI;BIXAFEN;0,75;;
BL;2;7555;KLARTAN 20 EW;1,28;;;3;VI;BORDEAUX MIXTURE (RAME POLTIGLIA BORDOLESE);11,39;;
BL;2;7764;TIOLENE;7;;;3;VI;BOSCALID;8,54;;
BL;2;7876;PIRIMOR 17,5;5;;;3;VI;BROMADIOLONE;0,01;;
BL;2;7916;POLYRAM DF;106;;;3;VI;BUPIRIMATE;0,1;;
BL;2;7922;OPALENE;178;;;3;VI;BUPROFEZIN;11,69;;
BL;2;7984;STRATOS;1;;;3;VI;CALCIUM POLYSULPHIDE (POLISOLFURO DI CALCIO O ZOLFO CALCICO);450;;
BL;2;8001;AGRO-PYR;2,5;;;3;VI;CARFENTRAZONE-ETHYL;0,13;;
BL;2;8117;BASTA 200;10;;;3;VI;CHLORANTRANILIPROLE;6,56;;
BL;2;8201;GLISTER;67;;;3;VI;CHLORPROPHAM;0,34;;
BL;2;8207;LONTREL 75 G;0,1;;;3;VI;CHLORPYRIFOS;176,14;;
BL;2;8229;RAPAX;0,35;;;3;VI;CHLORPYRIFOS-METHYL;68;;
BL;2;8429;GLYFOS SL;50;;;3;VI;CLOMAZONE;7,06;;
BL;2;8499;EFESTO;132;;;3;VI;CLOPYRALID;2,41;;
BL;2;8540;PAMPA/GHIBLI;31;;;3;VI;COPPER HYDROXIDE (RAME IDROSSIDO);102,32;;
BL;2;8542;FORUM 50 WP;24,2;;;3;VI;COPPER OXIDE (RAME OSSIDO);1,13;;
BL;2;8558;PIRETRO VERDE;0,49;;;3;VI;COPPER OXYCHLORIDE (RAME OSSICLORURO);2.538,32;;
BL;2;8646;ACTIVUS EC/PANDA;19;;;3;VI;COPPER SULFATE (RAME SOLFATO);836,78;;
BL;2;8656;GLIFENE HP;188,5;;;3;VI;CYAZOFAMID;0,62;;
BL;2;8706;AMID THIN W;3;;;3;VI;CYCLOXYDIM;1,89;;
BL;2;8726;OVISPRAY;10;;;3;VI;CYDIA POMONELLA GRANULOSIS VIRUS;0;;
BL;2;8731;ACROBAT R;60;;;3;VI;CYFLUFENAMID;1,2;;
BL;2;8735;TREBON UP;0,92;;;3;VI;CYMOXANIL;73,37;;
BL;2;8742;INDAR 5EW;2;;;3;VI;CYPERMETHRIN;60,18;;
BL;2;8743;GREENEX;0,1;;;3;VI;CYPRODINIL;6,32;;
BL;2;8801;SCORE 25 EC;1;;;3;VI;CYPROSULFAMIDE;107,8;;
BL;2;8803;DOMARK COMBI PB;58;;;3;VI;DAMINOZIDE;7,65;;
BL;2;8841;CYREN 7,5 G;307,75;;;3;VI;DAZOMET;99;;
BL;2;8843;NISSHIN;12;;;3;VI;DB-2,4;3,36;;
BL;2;8859;MASTIFF;1243;;;3;VI;DELTAMETHRIN;7,21;;
BL;2;8900;ZOLFO VENTILATO RAMATO 3%;60;;;3;VI;DENATHONIUM BENZOATE (DENATONIO BENZOATO);0,45;;
BL;2;8934;SCALA;4,2;;;3;VI;DICAMBA;132,03;;
BL;2;8984;GLIPHOGAN TOP MK;115;;;3;VI;DICAMBA SALE DIMETILAMMINICO;0,27;;
BL;2;8987;CONFIDOR 200 SL;17,33;;;3;VI;DICAMBA SALE SODICO;1,35;;
BL;2;9010;RAMEZIN COMBI WG;10;;;3;VI;DIFENOCONAZOLE;23,69;;
BL;2;9126;CONCORDE COMBI;1;;;3;VI;DIMETHOATE;354,85;;
BL;2;9148;SYLLIT 355 SC;2,75;;;3;VI;DIMETHOMORPH;45,73;;
BL;2;9364;RAPIDO;51;;;3;VI;DODINE;130,73;;
BL;2;9373;CHORUS;2;;;3;VI;EMAMECTIN BENZOATE;0,03;;
BL;2;9400;GLIFOGAN PRONTO;28;;;3;VI;EPTAMETILTRISILOSSANO, POLIALCHILENE OSSIDO MODIFICATO;10,08;;
BL;2;9404;TETRAPLUS COMBI EC;3,3;;;3;VI;ETOFENPROX;7,5;;
BL;2;9411;RADIP ORMON;0,1;;;3;VI;ETOXAZOLE;0,24;;
