"Prodotti fitosanitari e sostanze attive venduti nell'anno 2015 (fonte dati: Autorità competente per il coordinamento territoriale in materia di prodotti fitosanitari, dichiarazioni di vendita p.f. 2015, art. 16 D.Lgs. 150/2012); le elaborazioni eseguite si riferiscono alle informazioni contenute nella Banca Dati prodotti fitosanitari del Ministero della Salute  al 01/01/2016.";;;;;;;;;
Provincia ULSS;Azienda ULSS;N. Reg. ; Prodotto fitosanitario venduto;Quantità (Kg o litri);;Provincia ULSS;Azienda ULSS;Sostanza attiva venduta;Quantità (Kg)
TV;8;10734;DUAL GOLD;4.431,00;;;;;
TV;8;10734;DUAL GOLD LT 5;170;;;;;
TV;8;10735;PRIMAGRAM GOLD;11.625,00;;;;;
TV;8;10735;PRIMAGRAM GOLD LT 5;780;;;;;
TV;8;10735;PRIMAGRAM GOLD LT 20;700;;;;;
TV;8;10752;STEWARD;126,75;;;;;
TV;8;10753;FOLICUR SE;134,55;;;;;
TV;8;10753;FOLICUR SEE;0,5;;;;;
TV;8;10771;MOST MICRO;250,5;;;;;
TV;8;10771;MOST MICRO ML 100;0,1;;;;;
TV;8;10816;PIRETRO GARDEN;0,75;;;;;
TV;8;10864;KOLFLOR GIARDINO LUMACHICIDA;33;;;;;
TV;8;10890;FLIPPER;50;;;;;
TV;8;10897;AMEGA PLUS;340;;;;;
TV;8;10926;ALTOREX;285;;;;;
TV;8;10929;CHIKARA 25 WG;39,55;;;;;
TV;8;10939;CP 40 AGRO;65;;;;;
TV;8;10944;KARATE ZEON;67;;;;;
TV;8;10973;PYRINEX PRONTO;20,5;;;;;
TV;8;10976;METEOR;355,44;;;;;
TV;8;10976;METEOR ML 250;16,5;;;;;
TV;8;10986;KASKO R;837;;;;;
TV;8;10998;RASIKAL ULTRA;3;;;;;
TV;8;10999;BETANAL SE;15;;;;;
TV;8;11011;DASH HC;134;;;;;
TV;8;11030;PRIMO MAXX;8;;;;;
TV;8;11041;FOLMAK COMBI;3;;;;;
TV;8;11045;DODIPREV 35;21,25;;;;;
TV;8;11062;BION 50 WG;50;;;;;
TV;8;11098;CADDY;2,5;;;;;
TV;8;11102;HELIOSOUFRE S;446,3;;;;;
TV;8;11107;ECO-TRAP;50;;;;;
TV;8;11119;FLINT;114,7;;;;;
TV;8;11119;FLINT 50 WDG;50;;;;;
TV;8;11130;DISERBOFACILE;9;;;;;
TV;8;11133;SHELTER;12,5;;;;;
TV;8;11138;MEVAXIL COMBI;632;;;;;
TV;8;11157;PROPYDOR;13;;;;;
TV;8;11173;AVAUNT EC;172;;;;;
TV;8;11173;TWIN PACK MAIS (CORAGEN-AVAUNT);25;;;;;
TV;8;11186;CUTIS;0,4;;;;;
TV;8;11190;PENCOR 10 EC;1,5;;;;;
TV;8;11206;CODACIDE;1.154,50;;;;;
TV;8;11243;LEOPARD 5 EC;180,25;;;;;
TV;8;11252;CONTANS WG;8;;;;;
TV;8;11253;CALLISTO;610;;;;;
TV;8;11253;CALLISTO LT 5;65;;;;;
TV;8;11257;COSTAR WG;81,75;;;;;
TV;8;11257;COSTAR WG GR 750;3;;;;;
TV;8;11258;FAZOR STAR;20;;;;;
TV;8;11303;CHAMP DP;480;;;;;
TV;8;11310;CHIMIGOR 20;245;;;;;
TV;8;11310;CHIMIGOR 20 LT 5;40;;;;;
TV;8;11313;PROXAN SL;2;;;;;
TV;8;11341;STARANE GOLD;633;;;;;
TV;8;11345;ZOLVIS 80 WDG;155;;;;;
TV;8;11353;FUSILADE MAX;69;;;;;
TV;8;11360;GRIP 25 ML 500;17;;;;;
TV;8;11360;GRIP 25;1,5;;;;;
TV;8;11382;GARDENE PLUS KG 1;60;;;;;
TV;8;11382;GARDENE PLUS;58;;;;;
TV;8;11382;GARDENE PLUS GR 500;3;;;;;
TV;8;11393;BEETLE;40;;;;;
TV;8;11396;WIRK;12;;;;;
TV;8;11402;MELODY COMBI;35;;;;;
TV;8;11403;MELODY COMPACT;916,75;;;;;
TV;8;11403;MELODY COMPACT KG 10;30;;;;;
TV;8;11449;GARDOPRIM GOLD;2.640,00;;;;;
TV;8;11495;GARTREL;29;;;;;
TV;8;11497;CRITTOVIT WG;1.502,00;;;;;
TV;8;11499;BUSTER;21,1;;;;;
TV;8;11505;READY GERMIPLUS;462;;;;;
TV;8;11523;SEPRADINA SC;88,75;;;;;
TV;8;11525;FUNGIDINA;83,8;;;;;
TV;8;11526;SULTAN;98;;;;;
TV;8;11527;PYRINEX QUICK;576,35;;;;;
TV;8;11527;PYRINEX QUICK ML 100;4,7;;;;;
TV;8;11560;REGALIS;18;;;;;
TV;8;11561;NEEMAZAL T/S;90,71;;;;;
TV;8;11561;NEEMAZAL EC10;1,25;;;;;
TV;8;11566;ZOLFO 80 WP;519;;;;;
TV;8;11569;CUPROXAT S.D.I.;1.306,00;;;;;
TV;8;11569;CUPROXAT S.D.I. LT 10;370;;;;;
TV;8;11586;TOP-AGAN;105;;;;;
TV;8;11587;CAMBEL S;630;;;;;
TV;8;11596;CALYPSO;16;;;;;
TV;8;11600;CRUISER 350 FS;5,5;;;;;
TV;8;11603;CLEANER 22;35;;;;;
TV;8;11614;ACTARA 25 WG;502,92;;;;;
TV;8;11614;ACTARA 25 WG GR 500;7;;;;;
TV;8;11614;ACTARA 25 WG GR 100;1,6;;;;;
TV;8;11619;TIOFLOR WDG;2.579,00;;;;;
TV;8;11626;PITSTOP;70;;;;;
TV;8;11637;CUPROFIX C DISPERSS;10;;;;;
TV;8;11638;FLUORATE;679;;;;;
TV;8;11638;FLUORATE LT 5;260;;;;;
TV;8;11638;FLUORATE ML 500;62,5;;;;;
TV;8;11642;PIKAR;94,5;;;;;
TV;8;11649;COMMAND 36 CS;312;;;;;
TV;8;11653;FOLIO GOLD 537,5 SC;139;;;;;
TV;8;11659;HERBITOTAL S;3;;;;;
TV;8;11660;SHOGUN;362;;;;;
TV;8;11660;SHOGUN LT 5;15;;;;;
TV;8;11668;PLENUM 50 WG;9,8;;;;;
TV;8;11678;ACTELLIC 2P NEWPHARM;5,2;;;;;
TV;8;11690;GOAL 480 SC;71;;;;;
TV;8;11693;LASER;101,7;;;;;
TV;8;11693;LASER ML 500;3;;;;;
TV;8;11696;ARID;18;;;;;
TV;8;11698;MINUET;29,5;;;;;
TV;8;11698;MINUET ML 100;5;;;;;
TV;8;11701;BOTANIGARD SE;7;;;;;
TV;8;11704;OLIO OGNISTAGIONE;226;;;;;
TV;8;11710;GARDIUS;1,25;;;;;
TV;8;11730;COSMOTRIN;1,15;;;;;
TV;8;11735;DELICIA CONTRA-LUMACHE KG 3,50;10,5;;;;;
TV;8;11752;ENVIDOR 240 SC;7;;;;;
TV;8;11760;POLITHIOL;380;;;;;
TV;8;11779;KOP-TWIN;87;;;;;
TV;8;11786;AQ 10 WG;6,24;;;;;
TV;8;11793;XENTARI;2;;;;;
TV;8;11794;PRESSING 500;2,25;;;;;
TV;8;11796;GLIFAST;7;;;;;
TV;8;11814;SPADA 200 EC;670,28;;;;;
TV;8;11814;SPADA 200 EC ML 250;3;;;;;
TV;8;11821;WEEDAZOL TL;95;;;;;
TV;8;11857;MIDAURIL COMBI;8;;;;;
TV;8;11870;CUPRITAL S.D.I.;2,25;;;;;
TV;8;11885;ELICIO;23;;;;;
TV;8;11908;VENTUREX 35 L;76,4;;;;;
TV;8;11921;RISCIO' 50 WP;43;;;;;
TV;8;11931;MANZEB 75 WG;1;;;;;
TV;8;11944;ASPECT;318;;;;;
TV;8;11944;MERLIN PLATINUM (MERLIN FLEXX-ASPEC;58;;;;;
TV;8;11948;VINCARE;30;;;;;
TV;8;11954;TERMINAL DUO;3.009,00;;;;;
TV;8;11955;ACROBAT MZ WG;3;;;;;
TV;8;11964;POLTIGLIA CAFFARO 20 GD;200;;;;;
TV;8;11977;SULFUR 80 WG;50;;;;;
TV;8;11979;BORDO 20 MICRO   GR 800;26;;;;;
TV;8;11979;BORDO 20 MICRO;14,9;;;;;
TV;8;12001;SARMOX R 330 WG;2;;;;;
TV;8;12010;TUAREG;1.549,00;;;;;
TV;8;12010;COMBI SOIA (HARMONY-TUAREG);32;;;;;
TV;8;12010;TUAREG LT 3;6;;;;;
TV;8;12020;SUCCESS;9,22;;;;;
TV;8;12022;SPADA 25 WDG;71;;;;;
TV;8;12023;MEGIC;59,75;;;;;
TV;8;12030;SNOW;7;;;;;
TV;8;12037;CAMIX;1.040,00;;;;;
TV;8;12040;BORDOFLOW;6;;;;;
TV;8;12043;PREVICUR ENERGY;172,75;;;;;
TV;8;12044;CURZATE SYSTEM;295;;;;;
TV;8;12048;TIOSOL 80 WG;2.397,00;;;;;
TV;8;12067;CIPER;7,75;;;;;
TV;8;12068;TEFLUSTAR;729,2;;;;;
TV;8;12069;EPIK;138,7;;;;;
TV;8;12069;EPIK KG 1;7;;;;;
TV;8;12069;EPIK GR 100;4,8;;;;;
TV;8;12078;METALIM;760;;;;;
TV;8;12083;DANADIM PROGRESS;32;;;;;
TV;8;12084;GALEO;54,09;;;;;
TV;8;12096;POLTIGLIA DISPERSS;9.739,00;;;;;
TV;8;12100;ASSET;4;;;;;
TV;8;12106;TALENDO;1;;;;;
TV;8;12114;AUXIGER LG;60,5;;;;;
TV;8;12133;JUVINAL 10 EC;18,25;;;;;
TV;8;12138;R6 ERRESEI TREVI;30;;;;;
TV;8;12172;FERRAMOL;1.657,50;;;;;
TV;8;12174;V.I.P. FLOW;234;;;;;
TV;8;12192;GRANSTAR 50 SX;0,07;;;;;
TV;8;12199;SILBOT MZ 60;45;;;;;
TV;8;12202;ZEMIX R;2.524,00;;;;;
TV;8;12211;MEDOR;7,5;;;;;
TV;8;12212;PENTHIUM EC;45;;;;;
TV;8;12215;VEBIPHOS 7,5;55;;;;;
TV;8;12225;TEPPEKI;115,55;;;;;
TV;8;12243;MANTIR DG;799;;;;;
TV;8;12245;ROUNDUP 360 POWER;1.140,00;;;;;
TV;8;12250;PENCOR COMBI;17;;;;;
TV;8;12260;TECNOCONTROL EXTRA;10;;;;;
TV;8;12263;VONDOZEB DG;1.045,00;;;;;
TV;8;12270;UNICORN DF;199;;;;;
TV;8;12279;ERBY 5 EC ML 200;0,4;;;;;
TV;8;12279;ERBY 5 EC;0,15;;;;;
TV;8;12285;FORUM GOLD;6;;;;;
TV;8;12297;TRIBASE TWIN;184;;;;;
TV;8;12313;TOPAS HOBBY;0,2;;;;;
TV;8;12314;SCORE HOBBY;0,74;;;;;
TV;8;12315;ORTIVA HOBBY;0,55;;;;;
TV;8;12317;DACOL L 20;65;;;;;
TV;8;12318;VIVER;287;;;;;
TV;8;12320;PERSHING;1,87;;;;;
TV;8;12322;SWITCH HOBBY;0,25;;;;;
TV;8;12323;VEBIZOLFO WG;384;;;;;
TV;8;12325;MESUROL M PLUS;1.653,00;;;;;
TV;8;12330;DEDALUS SE;154,7;;;;;
TV;8;12344;VEBITHRIN 5 EC;47,5;;;;;
TV;8;12374;RAIDER 3B;12;;;;;
TV;8;12381;NU-FILM P;145;;;;;
TV;8;12383;RIDOMIL GOLD MZ PEPITE;3.635,00;;;;;
TV;8;12437;DELAN 70 WG;315;;;;;
TV;8;12452;EQUIP;39;;;;;
TV;8;12453;MILDICUT;6.070,00;;;;;
TV;8;12453;MILDICUT LT 10;30;;;;;
TV;8;12455;DAZIDE ENHANCE;59;;;;;
TV;8;12461;FINALSAN ERBICIDA PROFESSIONAL;12;;;;;
TV;8;12482;LUMAX;9.815,00;;;;;
TV;8;12482;LUMAX LT 20;2.900,00;;;;;
TV;8;12482;LUMAX LT 5;290;;;;;
TV;8;12514;VIPER;20;;;;;
TV;8;12522;METRO;637,5;;;;;
TV;8;12522;METRO GR 500;235,5;;;;;
TV;8;12526;ALIETTE ORTO E GIARDINO;2;;;;;
TV;8;12528;CABRIO TOP;13;;;;;
TV;8;12529;TUCANA 25 EC;21;;;;;
TV;8;12534;FOXTAIL;740,65;;;;;
TV;8;12534;FOXTAIL ML 250;9;;;;;
TV;8;12560;METHIOR;12;;;;;
TV;8;12564;ELECTIS MZ;20;;;;;
TV;8;12566;PYGANIC 1.4;46,7;;;;;
TV;8;12566;PYGANIC ML 25;20;;;;;
TV;8;12573;EKO OIL SPRAY;475,25;;;;;
TV;8;12584;AVIATOR;530;;;;;
TV;8;12590;DIASTAR MAXI;60;;;;;
TV;8;12622;QUANTUM;663;;;;;
TV;8;12625;EFUZIN 355 SC;43;;;;;
TV;8;12627;DANADIM 400;65;;;;;
TV;8;12628;SERENADE MAX;413;;;;;
TV;8;12629;BUGGY 360 SG N.E.T.;64;;;;;
TV;8;12636;QUASAR 6/24 R;3.102,00;;;;;
TV;8;12636;QUASAR 6/24 R KG 10;50;;;;;
TV;8;12644;ALTIX;2;;;;;
TV;8;12647;GLITTER;617;;;;;
TV;8;12647;GLITTER LT 5;55;;;;;
TV;8;12650;NUPRID 200 SL ML 250;4,5;;;;;
TV;8;12650;NUPRID 200 SL ML 100;3,4;;;;;
TV;8;12650;NUPRID 200 SL;3,34;;;;;
TV;8;12650;NUPRID 200 SL ML 50;0,3;;;;;
TV;8;12671;HARMONY 50 SX;141,92;;;;;
TV;8;12671;COMBI SOIA (HARMONY-TUAREG);32;;;;;
TV;8;12671;HARMONY 50 SX GR 16;2,99;;;;;
TV;8;12671;HARMONY 50 SX GR.16;0,13;;;;;
TV;8;12686;CHAMAN;25;;;;;
TV;8;12696;TEBUZOL S DISPERSS;1.118,00;;;;;
TV;8;12710;CALIPER-EC;1;;;;;
TV;8;12714;KELLY R DF;100;;;;;
TV;8;12723;OSSICLOR 20 BLU FLOW;8;;;;;
TV;8;12734;JUPITER R DF;381,1;;;;;
TV;8;12737;AIRONE PIU';1.400,00;;;;;
TV;8;12738;KING 360 HP;273;;;;;
TV;8;12748;GRIFON PIU';25;;;;;
TV;8;12756;DICOTEX;199,5;;;;;
TV;8;12759;OSSICLOR 35 WG;2.502,80;;;;;
TV;8;12768;SPINTOR FLY;108,75;;;;;
TV;8;12768;SPINTOR FLY  ML 250;1;;;;;
TV;8;12770;ALAR 85 GOLD;676;;;;;
TV;8;12779;RAMEDIT COMBI WG;850;;;;;
TV;8;12784;FARO WG;176;;;;;
TV;8;12806;FEDOR;16;;;;;
TV;8;12808;GLOBAL SC;0,6;;;;;
TV;8;12813;AMISTAR XTRA;39;;;;;
TV;8;12824;MERLIN EXPERT;16;;;;;
TV;8;12828;SITOFEX;25;;;;;
TV;8;12831;INSIGNIA;1;;;;;
TV;8;12835;ISONET LE;111;;;;;
TV;8;12837;ARIUS SYSTEM PLUS;2.579,00;;;;;
TV;8;12847;EAGLE;6;;;;;
TV;8;12849;GEMINI ML 500;0,5;;;;;
TV;8;12850;PRADO;65;;;;;
TV;8;12858;PRODIGY;6;;;;;
TV;8;12859;BORNEO;72,53;;;;;
TV;8;12862;CANTUS;104;;;;;
TV;8;12863;FLORAMITE 240 SC;55,25;;;;;
TV;8;12866;COLLIS;1;;;;;
TV;8;12868;BELLIS;10;;;;;
TV;8;12869;SIGNUM;444;;;;;
TV;8;12873;FANTIC F WG;50;;;;;
TV;8;12878;RIDOMIL GOLD COMBI PEPITE;6.418,00;;;;;
TV;8;12879;UNIVERSALIS;102;;;;;
TV;8;12883;PROSPER 300 CS;2.435,00;;;;;
TV;8;12884;BATAM;12;;;;;
TV;8;12886;KARATHANE STAR;155;;;;;
TV;8;12888;LEPINOX PLUS;77;;;;;
TV;8;12910;DRIBBLING;10;;;;;
TV;8;12916;CYMONE 25 WP;132,5;;;;;
TV;8;12924;JUPITER WG;1.364,00;;;;;
TV;8;12940;KARATE ZEON 1.5;562;;;;;
TV;8;12973;GLYFOS RAPID;13;;;;;
TV;8;12992;BAGNANTE PLUS;55;;;;;
TV;8;13005;PROMAG;1,15;;;;;
TV;8;13016;BIOACT WG;4;;;;;
TV;8;13020;MICRORAM 35 WG;8;;;;;
TV;8;13026;SUSCON;496;;;;;
TV;8;13039;POTCLEAN 2G;514;;;;;
TV;8;13039;POTCLEAN 2G KG 10;170;;;;;
TV;8;13046;SWING;2;;;;;
TV;8;13049;SULCOGAN;80;;;;;
TV;8;13055;MACHO;56;;;;;
TV;8;13056;POSITRON M WG;10;;;;;
TV;8;13062;DIPEL DF;1;;;;;
TV;8;13064;VITENE ULTRA SC;817;;;;;
TV;8;13065;DOMARK 125;226,5;;;;;
TV;8;13068;NEORAM WG;277;;;;;
TV;8;13083;CURZATE EFFE;70;;;;;
TV;8;13084;TELDOR PLUS;143,2;;;;;
TV;8;13093;STOMP AQUA;2.193,00;;;;;
TV;8;13093;STOMP AQUA LT 5;185;;;;;
TV;8;13098;ROUNDUP POWER 2.0;4.518,00;;;;;
TV;8;13108;CURAME BORDEAUX;60;;;;;
TV;8;13111;THIOCUR FORTE;1.535,14;;;;;
TV;8;13111;THIOCUR FORTE ML 100;4,9;;;;;
TV;8;13116;MEDOR 35 CLASS;95;;;;;
TV;8;13126;CABRIO DUO;99;;;;;
TV;8;13129;BREAK-THRU S240;2;;;;;
TV;8;13133;NIBER 35 WG;20;;;;;
TV;8;13143;MEZENE WG;40;;;;;
TV;8;13149;POLTIGLIA MANICA 20 WG;3.726,00;;;;;
TV;8;13150;CURAME 35 WG;231;;;;;
TV;8;13152;OPTIX R DISPERSS;410;;;;;
TV;8;13158;REMEDIER;255;;;;;
TV;8;13160;FORUM TOP;820;;;;;
TV;8;13167;POMARSOL 80 WG;160;;;;;
TV;8;13168;LAUDIS;162;;;;;
TV;8;13178;AZUL MZ 75 WG;20;;;;;
TV;8;13179;PLAYER COMBI SC;125;;;;;
TV;8;13185;SIATTOL;12,5;;;;;
TV;8;13186;TITUS MAIS EXTRA;66,72;;;;;
TV;8;13205;ZOLFO MANICA SCORREVOLE DOPPIO RAFF;8.100,00;;;;;
TV;8;13205;ZOLFO SEMPLICE;200;;;;;
TV;8;13212;CONFIDOR 200 O-TEQ;31,45;;;;;
TV;8;13212;CONFIDOR 200 O-TEQ ML 500;3;;;;;
TV;8;13212;CONFIDOR 200 O-TEQ ML 75;1,13;;;;;
TV;8;13213;R6 ERRESEI ALBIS;6.805,00;;;;;
TV;8;13218;FINALSAN PLUS;70;;;;;
TV;8;13222;DUOKAR 4,5 EW PRO;32;;;;;
TV;8;13227;FUNGURAN-OH 250 SC;185;;;;;
TV;8;13236;BULLET;1.100,00;;;;;
TV;8;13236;BULLET LT 5;135;;;;;
TV;8;13238;TOPAZIO;4;;;;;
TV;8;13242;NICOGAN V.O.;57;;;;;
TV;8;13249;ZOLFO VENTILATO STELLA RAMATO S;810;;;;;
TV;8;13250;ZOLFO VENTILATO STELLA RAMATO B;20;;;;;
TV;8;13252;PLAYER 250 SC;3;;;;;
TV;8;13253;PLAYER SC;177;;;;;
TV;8;13253;PLAYER SC LT 5;170;;;;;
TV;8;13255;PLAYER GR;508;;;;;
TV;8;13255;PLAYER GR KG 7;84;;;;;
TV;8;13261;VERDERAME 20 DF;110;;;;;
TV;8;13263;BORDORAM 20 WG;5,8;;;;;
TV;8;13267;IMPERO;63;;;;;
TV;8;13290;ZOLFO MANICA DOPPIO RAFFINATO VENTI;7.205,00;;;;;
TV;8;13296;POKER 7,5;1.156,00;;;;;
TV;8;13297;TRAPPER GR;12;;;;;
TV;8;13298;QUANTUM F;819,5;;;;;
TV;8;13299;MAGIO';2.164,00;;;;;
TV;8;13308;DICARZOL 10 SP;10;;;;;
TV;8;13309;DRAKE 26;2;;;;;
TV;8;13313;CASPER;111;;;;;
TV;8;13323;SULFY 80 WDG;5,6;;;;;
TV;8;13323;SULFY 80 ZAPI GR 200;2;;;;;
TV;8;13324;CUPRIZOL S;31,75;;;;;
TV;8;13324;CUPRIZOL S ML 250;0,25;;;;;
TV;8;13327;GRANSTAR ULTRA SX;254,75;;;;;
TV;8;13327;GRANSTAR ULTRA SX GR 50;4,05;;;;;
TV;8;13329;OMNEX 10 EC;112;;;;;
TV;8;13348;SARCAP 80 WG;7;;;;;
TV;8;13352;DIREX 7,5 GR;82;;;;;
TV;8;13355;TRONE;181;;;;;
TV;8;13361;DECIS ENERGY O-TEQ;13,64;;;;;
TV;8;13365;ZOLFO DOPPIO VENTILATO SCORREVOLE 9;695;;;;;
TV;8;13370;WARRANT 200 SL;364,75;;;;;
TV;8;13375;NUPRID 200 SC;29,88;;;;;
TV;8;13382;PERGADO SC;671;;;;;
TV;8;13382;PERGADO SC ML 500;2,5;;;;;
TV;8;13386;PROSARO;61;;;;;
TV;8;13387;FLORAMIX;5,83;;;;;
TV;8;13389;AFFIRM;317;;;;;
TV;8;13389;AFFIRM KG 5;40;;;;;
TV;8;13389;AFFIRM KG 10;10;;;;;
TV;8;13390;TEBUSIP 46;867;;;;;
TV;8;13402;LUMA-KL;24;;;;;
TV;8;13409;SILFUR WG;31;;;;;
TV;8;13410;FRUTTENE 76 WG;89;;;;;
TV;8;13417;HERCULES;8,5;;;;;
TV;8;13430;TENOR SC;7;;;;;
TV;8;13440;SATEL;2,1;;;;;
TV;8;13440;SATEL ML 200;1,4;;;;;
TV;8;13443;FUNGIBEN;0,3;;;;;
TV;8;13455;ANTIGRAM GOLD;1.854,00;;;;;
TV;8;13458;ZARADO;23;;;;;
TV;8;13466;SPOTLIGHT PLUS;104;;;;;
TV;8;13468;CLINER;12,75;;;;;
TV;8;13477;TOREADOR;1,5;;;;;
TV;8;13485;FOLPEC 80 WG ADVANCE;70;;;;;
TV;8;13489;CYMBAL;591,5;;;;;
TV;8;13492;V.I.P. WDG;10;;;;;
TV;8;13505;CLICK DUO;1.505,00;;;;;
TV;8;13521;HELIOCUIVRE S;668;;;;;
TV;8;13540;QUASAR R FLOW;948,5;;;;;
TV;8;13542;FANTIC M NC;2;;;;;
TV;8;13552;ZOLVIS 80 SECTOR;2.314,00;;;;;
TV;8;13560;FORZA;6;;;;;
TV;8;13565;PASTA ISAGRO BLU;270;;;;;
TV;8;13576;RAMEPLANT WG;77,6;;;;;
TV;8;13578;RAME CAFFARO BLU WG NEW;196;;;;;
TV;8;13579;COPPER 12;79,25;;;;;
TV;8;13585;SOLOFOL;100;;;;;
TV;8;13586;VERDERAME 20 WG;32;;;;;
TV;8;13592;VOLARE;13,15;;;;;
TV;8;13600;ZOLFO S.A.I.M. DOPPIO VENTILATO SCO;5.220,00;;;;;
TV;8;13604;ZOLFO S.A.I.M. RAFFINATO DOPPIO VEN;3.505,00;;;;;
TV;8;13607;NOBIL;4,25;;;;;
TV;8;13610;CLINIC SPECTRUM;1;;;;;
TV;8;13612;BABEL 400;8;;;;;
TV;8;13613;LEON 200 SL;6;;;;;
TV;8;13635;POLTIGLIA 20 PB MANICA;1.160,00;;;;;
TV;8;13635;POLTIGLIA 20 PB MANICA KG 10;220;;;;;
TV;8;13637;PERGADO F;119;;;;;
TV;8;13639;ACRAMITE 480 SC;1,2;;;;;
TV;8;13640;IMPRINT;359,6;;;;;
TV;8;13640;IMPRINT ML 250;9,25;;;;;
TV;8;13640;IMPRINT ML 50;0,75;;;;;
TV;8;13648;SIARAM 20 WG;1.345,00;;;;;
TV;8;13651;SPECTRO;1,8;;;;;
TV;8;13667;AFIDANE 200 SL;372;;;;;
TV;8;13687;BURT;48;;;;;
TV;8;13689;FLINT MAX;7,5;;;;;
TV;8;13698;VIVANDO;459,5;;;;;
TV;8;13702;GEOTOX 7,5 C;1.222,00;;;;;
TV;8;13707;IMPACT SUPREME;25;;;;;
TV;8;13709;U 46 PRATI;2;;;;;
TV;8;13711;QUIZA 5 EC;156,3;;;;;
TV;8;13716;CAPTAN ARVESTA 80 WG;20;;;;;
TV;8;13719;THIAMON 80 PLUS;3.555,00;;;;;
TV;8;13721;AFIDINA QUICK;181,5;;;;;
TV;8;13742;PERGADO MZ;81;;;;;
TV;8;13743;KUKAR 22;216;;;;;
TV;8;13760;ORYTIS EW;0,15;;;;;
TV;8;13765;SHERPA 100 EW;2;;;;;
TV;8;13771;NIMROD 250 EW;71;;;;;
TV;8;13785;QUANTUM MZ;764;;;;;
TV;8;13786;QUANTUM R;3.379,05;;;;;
TV;8;13787;RIVIERA R;250;;;;;
TV;8;13791;GEATER-STAR;24;;;;;
TV;8;13792;STABILAN;50;;;;;
TV;8;13793;RUNNER M;81;;;;;
TV;8;13794;SPADA WDG;233;;;;;
TV;8;13794;SPADA WDG GR 250;1,5;;;;;
TV;8;13812;NOTO 40 OD;427;;;;;
TV;8;13815;TUTOR 18-15;335;;;;;
TV;8;13817;ALIAL WG;727;;;;;
TV;8;13820;BAYTEROID 25 EC;15;;;;;
TV;8;13823;ALVERDE ML 10;10;;;;;
TV;8;13823;ALVERDE;3,96;;;;;
TV;8;13828;ELEGANT 05 EC;3;;;;;
TV;8;13857;CRODIX GEO;120;;;;;
TV;8;13858;MEDIATOR EXTRA SL;9,18;;;;;
TV;8;13858;MEDIATOR EXTRA SL ML 50;4,25;;;;;
TV;8;13858;MEDIATOR EXTRA SL ML 250;0,75;;;;;
TV;8;13872;NANDO 500 SC;14;;;;;
TV;8;13876;APACHE;110;;;;;
TV;8;13877;KITT PRONTO;1;;;;;
TV;8;13883;REBEX;21;;;;;
TV;8;13888;FANTIC F NC WG;393;;;;;
TV;8;13900;PRORAM HI TECH;186;;;;;
TV;8;13926;SPONSOR;29;;;;;
TV;8;13927;ZAMIR 18;36,5;;;;;
TV;8;13928;DYNAMEC EC;5;;;;;
TV;8;13929;RAIDER HI TECH;56;;;;;
TV;8;13955;MITIGREEN;402;;;;;
TV;8;13981;CORAGEN;144,1;;;;;
TV;8;13981;TWIN PACK MAIS (CORAGEN-AVAUNT);25;;;;;
TV;8;13998;PYRUS 400 SC;15,82;;;;;
TV;8;14005;CLORTOSIP 500 SC;16;;;;;
TV;8;14018;BASIC;39;;;;;
TV;8;14018;BASIC LT 10;10;;;;;
TV;8;14020;LIDAL;61;;;;;
TV;8;14021;BREK DUO;60;;;;;
TV;8;14023;SUPPORT 10EC;101;;;;;
TV;8;14024;PERFIL 10 WP;22;;;;;
TV;8;14029;MANTA DUO;10;;;;;
TV;8;14034;CURENOX TOP MICRO;85,2;;;;;
TV;8;14034;CURENOX TOP MICRO GR 200;24;;;;;
TV;8;14034;CURENOX TOP MICRO  GR 800;3;;;;;
TV;8;14042;SUPRAFOS EC;38;;;;;
TV;8;14051;SOLMICRO 80 WDG;90;;;;;
TV;8;14052;PRODEO 80 WG;5;;;;;
TV;8;14056;RODIBAIT;26,4;;;;;
TV;8;14058;FEINZIN 70 DF;284,5;;;;;
TV;8;14058;FEINZIN 70 DF GR.250;4;;;;;
TV;8;14061;TRIANUM-P;1;;;;;
TV;8;14062;ZOXIUM 240 SC;2.186,20;;;;;
TV;8;14074;TRINEX 250 EW;2;;;;;
TV;8;14076;CYPRUS 25 DF;1.407,80;;;;;
TV;8;14077;CHAMP 20 DF;3.163,00;;;;;
TV;8;14078;RAMCY 44 WG;60;;;;;
TV;8;14092;AGRORAT B;64,25;;;;;
TV;8;14092;AGRORAT B   GR 250;9;;;;;
TV;8;14098;CRITTOX GD 75;40;;;;;
TV;8;14099;ASPOR WDG;20;;;;;
TV;8;14100;KANEMITE;45;;;;;
TV;8;14101;CARAMBA;11;;;;;
TV;8;14102;BORDOFLOW NEW;10;;;;;
TV;8;14123;ZETARAM NEW TECH;1.119,00;;;;;
TV;8;14127;MEVAXIL COBRE  ML 250;6;;;;;
TV;8;14128;ZIGNAL;52;;;;;
TV;8;14136;OBERON;30;;;;;
TV;8;14137;ALTACOR;32,4;;;;;
TV;8;14137;ALTACOR GR 300;1,8;;;;;
TV;8;14137;ALTACOR GR 100;0,4;;;;;
TV;8;14154;PIRETRO ACTIGREEN;5,05;;;;;
TV;8;14155;KOMPASS;372;;;;;
TV;8;14156;CURZATE R WG;2.631,00;;;;;
TV;8;14156;CURZATE R WG KG 10;200;;;;;
