Provincia,"N. Reg.","Prodotto fitosanitario venduto*","Quantità(Kg o litri)"
RO,15674,AMADEUS TOP,25.20
RO,15689,,551.00
RO,15689,DIFENZONE,28.00
RO,15693,LISTEGO,8.00
RO,15710,CLINCHER ONE,173.00
RO,15712,,980.00
RO,15712,SATELITE,3205.00
RO,15718,,8.90
RO,15718,GRANSTAR TRIO,4.80
RO,15722,ARMICARB 85,60.00
RO,15741,,80.00
RO,15741,AVADEX FACTOR,1190.00
RO,15744,REBOOT,43.50
RO,15745,SHARPEN 40% SC,52.00
RO,15748,,177.00
RO,15748,SYLLIT 544 SC,647.00
RO,15752,,1.00
RO,15752,CIDELY TOP,86.00
RO,15753,PYXIDES DUO,174.00
RO,15754,SHARPEN 33% EC,43.00
RO,15769,,3028.00
RO,15769,MERO,80.00
RO,15790,,5.00
RO,15806,ONYX,28.00
RO,15831,VACCIPLANT,10.00
RO,15836,RATRON GW,3.00
RO,15837,,14.00
RO,15837,RATRON GL,26.25
RO,15838,,370.00
RO,15838,ROUNDUP ULTRAMAX,6420.00
RO,15856,AZAKA,26.00
RO,15868,CENTURION PRO,1320.00
RO,15869,,1200.00
RO,15869,OPTIX STAR DISPERSS,1824.00
RO,15882,ATILLA,30.00
RO,15886,,175.00
RO,15886,METAREX INOV,185.00
RO,15888,AZOX 25 SC,73.00
RO,15890,CURZATE 60 WG,1.20
RO,15892,BANG PLUS,63.00
RO,15897,ALFIL WG,40.00
RO,15899,,165.00
RO,15900,,4450.00
RO,15900,TRIKA EXPERT,19110.00
RO,15901,,5900.00
RO,15901,ERCOLE,22810.00
RO,15901,ERCOLE KG 10,70.00
RO,15907,,19.00
RO,15907,PRESIDIUM ONE,1262.00
RO,15911,SPIROX,78.00
RO,15915,,103.00
RO,15915,STARANE HD,112.00
RO,15926,,770.00
RO,15926,MOJANG 600,3170.00
RO,15948,,36.00
RO,15948,SINSAJO,200.00
RO,15961,RETENGO NEW,27.00
RO,15986,VEGAS 50 WG,7.20
RO,15990,SCIROCCO 125 EW,121.00
RO,16007,,2003.00
RO,16007,REWARD,109.00
RO,16023,DIMBO 480 SL,31.00
RO,16032,,18.00
RO,16032,RADAR 10 EC,14.00
RO,16033,HEREU SC,26.00
RO,16034,DOURO 100 EC,14.00
RO,16037,MOJANG TX,150.00
RO,16038,CABRIO WG,46.00
RO,16051,LENNS,120.00
RO,16054,SINSTAR,35.00
RO,16056,SARACEN,0.50
RO,16063,ARIGO,5.28
RO,16064,CREDIT 540,1125.00
RO,16065,SERRATE,156.00
RO,16071,MESOZIN 70 WG,17.50
RO,16074,GLORIAL 25 EC,8.00
RO,16076,SOLIS,225.00
RO,16076,SOLIS LT 1,1.00
RO,16084,BREVIS,51.50
RO,16085,TRIMUR,2.63
RO,16089,BUGUIS,242.78
RO,16089,BUGUIS ML 630,19.53
RO,16092,,15.00
RO,16098,NIBER 70 DF,3.75
RO,16099,SINIS 70 DF,10.00
RO,16101,TOPAS COMBI LIQUIDO,50.00
RO,16104,ELECTIS TRIO WDG,233.00
RO,16108,ATELIER,15.00
RO,16132,,3.20
RO,16142,MINECTO ALPHA,7.00
RO,16149,,3.00
RO,16157,ATLANTIS FLEX,6.60
RO,16166,POKER MAX,2.00
RO,16167,MARACANA,1.00
RO,16170,TRICUP FLOW,280.00
RO,16171,,12.20
RO,16178,,30.00
RO,16181,,30.00
RO,16182,CLICK PRO,150.00
RO,16191,,205.00
RO,16191,TRIMAXX,498.00
RO,16198,EVORAM 15,1090.00
RO,16199,CUPRORAM 35 WG BLU,11.00
RO,16205,IDROX 20,10.00
RO,16208,CLEANCLASTER,16.00
RO,16221,,19.80
RO,16221,MADEX TOP,3.60
RO,16224,,150.00
RO,16224,CUPRORAM 37.5 WG,830.00
RO,16226,,80.00
RO,16226,CIMOTER RAME WG,66.00
RO,16232,MINERVE,51.20
RO,16248,FERREX,642.00
RO,16249,CARDINAL 50 WG,86.00
RO,16251,,104.00
RO,16251,AFFIRM OPTI,905.00
RO,16252,,20.00
RO,16252,AMISTAR GOLD,30.00
RO,16261,,10.00
RO,16261,BELOUKHA,15.00
RO,16271,FRESCO,165.00
RO,16273,,105.00
RO,16273,SIVANTO PRIME,380.00
RO,16277,ALMADA 50 SC,4.00
RO,16280,ALMADA HYDRO,60.00
RO,16282,DIMIX,2.00
RO,16283,QUANTUM R-OK,50.00
RO,16285,,1053.00
RO,16285,KALIMBA,442.00
RO,16287,,44.00
RO,16287,SOLIGOR,4413.00
RO,16288,AMPEXIO,8.00
RO,16290,,4.20
RO,16290,AMADEUS ULTRA,49.21
RO,16293,PACLOT NEW,50.00
RO,16295,,92.00
RO,16299,,2655.00
RO,16299,PASSAT SL,670.00
RO,16301,KRESOSTAR,12.00
RO,16305,BONZI,3.00
RO,16312,TOMIGAN,48.00
RO,16314,,62.00
RO,16314,ZOXIS 250 SC,619.00
RO,16322,PENNY,57.00
RO,16323,PENDIWIN,80.00
RO,16325,,713.00
RO,16325,EPIK SL,6399.90
RO,16325,EPIK SL PFnPE,23.00
RO,16335,LIETO SC,377.00
RO,16336,,20.00
RO,16336,DELAN SC,157.00
RO,16354,SHARDIF 250 EC,140.00
RO,16363,,293.20
RO,16363,SIRTAKI,1699.21
RO,16363,SIRTAKI ML 300,3.00
RO,16364,,898.00
RO,16364,BISMARK,5112.00
RO,16369,,30.00
RO,16369,ORTIVA TOP SC,288.00
RO,16379,,2287.00
RO,16379,PREV-AM PLUS,2080.00
RO,16381,,44.00
RO,16381,CALLICORE,373.00
RO,16384,,1362.00
RO,16384,ELATUS ERA,3145.00
RO,16385,,47.25
RO,16385,ELATUS PLUS,675.00
RO,16395,MOHICAN 500 SC,40.00
RO,16396,TEMSA 100,2.00
RO,16396,TEMSA 100 LT 1,2.00
RO,16402,ENVIROMITE FL,0.75
RO,16415,,4.90
RO,16415,MADEX TWIN,10.60
RO,16422,,2.00
RO,16433,FLINT RISO,23.00
RO,16438,,80.50
RO,16438,VELUM PRIME,30.00
RO,16442,R6 ERRESEI ALBIS EASY,160.00
RO,16448,,1.00
RO,16448,NEALTA,14.00
RO,16455,GRIMS 10,119.00
RO,16457,,2550.00
RO,16457,POLTIGLIA 20 WG GREEN,1258.00
RO,16458,OSSICLOR 30 GREEN,130.00
RO,16461,,270.00
RO,16461,CENTURION 240 NEO,461.00
RO,16472,,146.00
RO,16472,CONVISO ONE,121.00
RO,16473,PRIMO MAXX II,1.00
RO,16474,,4.90
RO,16474,MATSUDA 25 WG,8.40
RO,16477,RIVAL,156.00
RO,16480,,224.00
RO,16480,3LOGY,342.00
RO,16481,,423.00
RO,16481,CALLISTO 480,17.10
RO,16485,,55.00
RO,16485,ROMULAN,69.00
RO,16492,,54.00
RO,16492,VASCO,335.00
RO,16500,TRIBAL,3.03
RO,16509,IBISCO,65.00
RO,16510,ISONET T,0.01
RO,16523,MISTER C,29.30
RO,16527,TELLUS WP,9.00
RO,16538,KITAMBA,787.00
RO,16548,CHECKMATE PUFFER OFM,1.92
RO,16558,CARPOVIR,34.50
RO,16562,,205.00
RO,16562,DELAN PRO,1705.00
RO,16563,,14.00
RO,16565,EXECUTIVE GOLD,9.90
RO,16567,,70.00
RO,16570,SENCOR 600 SC,2.00
RO,16573,,244.00
RO,16573,FIGHTER,86.00
RO,16575,TRIMMER 50 WG,17.86
RO,16577,,72.00
RO,16577,U46 COMBI DUO,151.00
RO,16578,MELODY COMPACT WG,30.00
RO,16596,SANIUM SL25 PFnPE,17.68
RO,16598,SANIUM AL PFnPE,111.50
RO,16607,VEXTAMITRON 700 SC,50.00
RO,16609,,460.00
RO,16616,,728.00
RO,16616,VALLEY,2825.00
RO,16616,VALLEY LT 1,15.00
RO,16624,,42.00
RO,16624,LUNA CARE,660.00
RO,16625,MAINSPRING,1.40
RO,16630,LIMEX ESCA,12.00
RO,16630,NATUREN LIMEX PFnPE,161.95
RO,16632,LUNA SENSATION,5.00
RO,16640,MAZA 4% SL,7.00
RO,16643,,48.00
RO,16643,SUCCESS GR,4452.00
RO,16654,,2.50
RO,16654,POLYVERSUM,53.00
RO,16657,,200.00
RO,16657,CENTURY PRO,505.00
RO,16658,,128.00
RO,16658,DAGONIS,1210.00
RO,16660,ACTLET C,100.00
RO,16667,,3.00
RO,16667,REVOLUTION,154.00
RO,16690,,424.00
RO,16690,KESTREL,1256.50
RO,16694,CHANON,320.00
RO,16698,BEYOND PLUS,22.00
RO,16699,RIMURON,6.00
RO,16701,,11.40
RO,16701,PLAZA,4.30
RO,16732,TUSAL,11.00
RO,16734,T34 BIOCONTROL,1.00
RO,16735,LOBETEC,8.69
RO,16742,,11.00
RO,16744,JOYSTICK,2.40
RO,16751,,100.00
RO,16751,REQUIEM prime,10.00
RO,16757,DICASH,8.00
RO,16761,DELMUR,15.00
RO,16774,ISOMATE C LR MAX TT,0.83
RO,16776,,154.50
RO,16776,ASSET FIVE,1259.25
RO,16779,TONALE,990.00
RO,16780,,720.00
RO,16780,SERENADE ASO,320.00
RO,16781,CYMBAL 35 WG,1.00
RO,16783,,1227.00
RO,16783,NICARAGUA,205.00
RO,16784,CUPROBEL TRI,490.00
RO,16785,GOLDWIND,3.60
RO,16787,,1640.00
RO,16787,CLINIC ST,3580.00
RO,16792,PROFILE PLUS,1.50
RO,16796,JOICE 55 D,956.00
RO,16797,DEMETRINA 25 EC,321.00
RO,16802,,118.00
RO,16802,ZYPAR,5721.70
RO,16802,ZYPAR LT 1,1.00
RO,16808,NEXT,59.00
RO,16813,,21.40
RO,16813,XANADU,5.90
RO,16814,TREZAC,2.00
RO,16816,,13.00
RO,16816,EXALT 25 SC,318.00
RO,16818,,84.00
RO,16818,FLUAZINOVA PLUS,90.00
RO,16819,,20.00
RO,16827,MAISOT,337.00
RO,16830,FANDANGO 360 TF,2225.00
RO,16831,GLIFENE BIOGRADE,6335.00
RO,16831,GLIFENE BIOGRADE PFnPE,2.00
RO,16833,PANTOX 360 SUPER,10864.00
RO,16833,PANTOX 360 SUPER LT 20,60.00
RO,16836,STALLION IT SYNC,40.00
RO,16841,,20.00
RO,16843,,100.00
RO,16846,VESTICOR,130.40
RO,16857,SHORTTRACK,32.00
RO,16867,,1.00
RO,16867,GLISTER STAR,1362.00
RO,16868,PACIFICA XPERT,73.50
RO,16882,,216.00
RO,16882,PROPULSE,800.00
RO,16886,,4.00
RO,16886,CLOSER,56.75
RO,16892,NEXY,0.50
RO,16895,,139.05
RO,16895,ZORVEC ENICADE,13.05
RO,16896,,25.40
RO,16896,ZORVEC ZELAVIN,8.00
RO,16897,KATOUN GOLD,40.00
RO,16902,AVIATOR XPRO,575.00
RO,16904,KIDEKA 100 SC,719.00
RO,16916,,10.00
RO,16917,LOGRADO PLUS,2507.00
RO,16925,WISH TOP,204.00
RO,16945,,102.00
RO,16945,SERCADIS,239.50
RO,16946,DARAMUN,80.00
RO,16952,DIRIMAL,15.00
RO,16957,ZORVEC VINABRIA,147.00
RO,16961,,9020.00
RO,16963,AVENOX 240,219.00
RO,16968,,305.00
RO,16968,PENDINOVA,47.00
RO,16976,,25.00
RO,16976,VITIKAPPA,1350.00
RO,16988,,350.00
RO,16988,NAIF,6490.00
RO,17003,,148.00
RO,17003,PRIAXOR,1388.00
RO,17005,CLOMATE,250.00
RO,17006,,10.00
RO,17006,MONCUT,90.00
RO,17007,ERADICOAT,80.00
RO,17014,,4.00
RO,17014,DELEGATE WDG,83.20
RO,17020,NORIOS,5.00
RO,17024,,20.00
RO,17026,,880.00
RO,17026,DUPLOSAN SUPER,150.00
RO,17038,TUAREG NEW,4877.00
RO,17038,TUAREG NEW CONF DA 1LT,3.00
RO,17049,VOYAGER,39.00
RO,17058,,2.00
RO,17058,ROMEO,15.00
RO,17060,DERBY,18.00
RO,17066,,343.00
RO,17066,PRAXIM,396.00
RO,17075,,74.39
RO,17076,GAZELLE,1056.00
RO,17078,,332.00
RO,17078,QUANTUM L,777.00
RO,17079,,2760.00
RO,17079,FORCE EVO,3080.00
RO,17081,CUPROSSIL IDRO NEW 20 WG,129.00
RO,17091,CHAMP 20 WG,60.00
RO,17093,MOSAIKO MICRO FLOW,90.00
RO,17099,ZAKEO 250 SC,213.00
RO,17112,,265.00
RO,17112,DIFCOR,172.00
RO,17115,,367.00
RO,17115,ZETROLA,769.00
RO,17116,,1410.00
RO,17116,ACTIVUS ME,3078.00
RO,17116,ACTIVUS ME LT 1,16.00
RO,17116,ACTIVUS ME LT 5,20.00
RO,17117,,16.00
RO,17117,MITOR,1043.00
RO,17121,,3.30
RO,17121,ATLANTIS ACTIV,3.30
RO,17127,NEMATYL,80.00
RO,17128,JURA EC,110.00
RO,17137,,1030.00
RO,17137,VYDATE 10G,1520.00
RO,17140,POMAX SC,5.00
RO,17164,,54.00
RO,17165,WASAN,240.00
RO,17170,BELKAP EXTRA,12.00
RO,17178,,29.00
RO,17178,TOTAL GREEN L,1780.00
RO,17203,PENDI 40,20.00
RO,17204,,20.00
RO,17205,CIDIAL,23.00
RO,17209,,65.00
RO,17209,DAVAI,1323.00
RO,17209,DAVAI LT 1,2.00
RO,17211,GENKOTSU,2.00
RO,17212,ISERAN,314.00
RO,17217,ARMICARB SPRAY PFnPE,15.00
RO,17222,CURBATUR EC 250,941.00
RO,17226,,11.67
RO,17226,CHECKMATE PUFFER FRUIT MULTI,49.43
RO,17234,MAYA 70 WG,29.00
RO,17242,NEXTER 10 SC,16.00
RO,17248,ZORVEC VINABEL,87.00
RO,17254,SIAGRAN ULTRA,8.40
RO,17261,POKER GEO,9620.00
RO,17265,,63.00
RO,17265,FILDER 500 SC,32.00
RO,17266,DELTAKILL EC,51.00
RO,17268,KUKI 70,1079.00
RO,17270,,470.00
RO,17270,ASCRA XPRO,1097.00
RO,17272,SERIFEL,24.00
RO,17275,NOTO CLASS,1083.00
RO,17278,KIDEKA,75.00
RO,17284,RODEO PLUS,13385.00
RO,17284,RODEO PLUS LT 20,120.00
RO,17284,RODEO PLUS LT 5,15.00
RO,17294,,56.70
RO,17301,DESMON,817.00
RO,17304,KAN-DOO,853.00
RO,17307,TAZER,58.00
RO,17313,,82.00
RO,17319,,593.00
RO,17319,FOXPRO,164.00
RO,17320,SENIOR 75 WG,255.50
RO,17337,,7.00
RO,17340,APHOX 50,31.50
RO,17343,ALTER 80,1.00
RO,17346,EXOSET 240 EC,1577.40
RO,17355,,13.65
RO,17358,BLAISE ULTRA,2153.00
RO,17360,,120.00
RO,17360,MAGO,2371.00
RO,17366,LOYANT 25 Neo EC,266.40
RO,17368,ALETIL DF,29.00
RO,17369,,230.00
RO,17369,ECOMIX,478.00
RO,17369,ECOMIX LT 1,5.00
RO,17371,FLARE GOLD R LIQUIDO,80.00
RO,17377,,0.99
RO,17377,REFINE SX,17.26
RO,17378,,556.20
RO,17378,GACHINKO,52.20
RO,17387,WARDEN C,28.00
RO,17388,ACARELTE GOLD,160.00
RO,17389,SHARK PF,41.50
RO,17398,,125.00
RO,17398,DOMITREL 400 CS,36.00
RO,17403,BLOSSOM PROTECT NEW,10.50
RO,17407,WINTECH,640.00
RO,17411,ATONIK,27.00
RO,17421,AGRIZOLE 250,23.00
RO,17422,,259.00
RO,17422,ENVITA SC,184.00
RO,17432,,258.00
RO,17432,AGHARTA,72.00
RO,17451,TEKKEN,1004.00
RO,17452,TARCAN,69.25
RO,17454,ENCARIT,69.00
RO,17455,PALIO,111.50
RO,17462,ORONDIS VEG,11.25
RO,17469,TAEGRO,74.00
RO,17470,LIMOCIDE,40.00
RO,17471,,84.30
RO,17471,ORDEXO,7.00
RO,17472,,358.00
RO,17472,JADE,6959.00
RO,17472,JADE LT 1,22.00
RO,17496,,426.00
RO,17496,OPTIMO WG,70.00
RO,17497,CALDERA,115.00
RO,17503,BORDOLESE 20,820.00
RO,17508,,80.00
RO,17508,POLYCOM 70 DF,5015.00
RO,17512,DELTATHRIN,20.00
RO,17513,METREX,98.50
RO,17529,MEDOR 70 WDG,93.25
RO,17531,MEXIL R FLOW,102.00
RO,17548,ENELSE,4.00
RO,17551,CYPERFOR 100 EW,4.00
RO,17552,COLUMBO PRO,540.00
RO,17586,AXIAL ONE,660.00
RO,17598,,30.62
RO,17598,AFINTO,40.20
RO,17600,INPUL,1.50
RO,17601,ANDROMEDA,546.00
RO,17612,,150.75
RO,17612,RABONA,103.50
RO,17633,TROLLER 50 SC,46.00
RO,17634,,936.00
RO,17651,,60.00
RO,17651,METAREX ONE,5.00
RO,17655,,406.00
RO,17655,EARLEX,2.00
RO,17656,BIOVIS,358.00
RO,17665,PYRUS PRO,80.00
RO,17666,PROSARO PLUS,98.00
RO,17671,,2.00
RO,17671,VENZAR SC,68.00
RO,17675,TUTATEC,30.83
RO,17680,GALILEO,92.00
RO,17683,MALLEN,5.00
RO,17687,ELTIRA,43.00
RO,17693,HATTRICK 30 WG,100.00
RO,17705,SUPERBO 18 EC,18.00
RO,17709,MIDAURIL R FLOW,340.00
RO,17730,CLIVIS MICRO,300.00
RO,17743,SHALLOW,135.00
RO,17744,CHOUCAS,5.00
RO,17745,PREDILECTO,19.00
RO,17746,,224.00
RO,17746,CLEMATIS,268.00
RO,17746,CLEMATIS LT 1,12.00
RO,17749,,11.00
RO,17749,DRONE,135.00
RO,17751,PRAKTIS,436.00
RO,17752,,190.00
RO,17752,STAVENTO,899.00
RO,17754,REVYCARE,6114.00
RO,17760,,7.48
RO,17760,NIRVANA,68.64
RO,17798,BOX,2.50
RO,17803,,310.00
RO,17803,CERERIS,605.00
RO,17805,,72.00
RO,17807,PARLEAF,582.50
RO,17807,PARLEAF LT 2.5,2.50
RO,17808,ANTENE S,163.00
RO,17813,NYMEO,230.00
RO,17824,,2238.00
RO,17824,MIRADOR TURBO,1086.00
RO,17826,,18.00
RO,17826,DOMARK 125 PLUS,298.00
RO,17840,,125.00
RO,17840,OLIOCIN PLUS,250.00
RO,17863,AFFLANK,900.00
RO,17864,PHYTON,3.10
RO,17865,,67.00
RO,17865,RIAMBA,20.00
RO,17880,,189.00
RO,17888,,74.00
RO,17888,VOLIAM,348.00
RO,17889,SIMPLY,870.00
RO,17890,GEATER MAXI,80.00
RO,17894,TRIKA ENERGY,70.00
RO,17896,FORTUNE DISPERSS,19710.00
RO,17897,MICRONOL ENERGY,1250.00
RO,17913,,2290.00
RO,17918,CORELLO 75 WG,24.00
RO,17920,,45.00
RO,17920,GHIBLI TM,507.00
RO,17921,,1920.00
RO,17921,BALAYA,255.00
RO,17923,ARNOS SC,3.00
RO,17924,,300.00
RO,17924,STRALE 250 EC,588.00
RO,17925,,70.00
RO,17932,ORO-QUIN,585.00
RO,17938,,520.00
RO,17938,CLINIC TF,10393.00
RO,17945,LUMEO,96.30
RO,17946,,447.00
RO,17947,CODAL,401.75
RO,17951,AUDACE SC,1966.85
RO,17952,PLANTIVAX SL,294.00
RO,17961,SOILGUARD 05 GR,100.00
RO,17994,SPORAMIL COMBI WP,12.00
RO,18001,,640.00
RO,18022,,3844.00
RO,18022,PROLINE PLUS,392.00
RO,18082,SERCADIS SC,85.10
RO,18084,,18790.00
RO,18092,,772.00
RO,18092,REVYSTAR XL,3191.00
RO,18092,REVYSTAR XL BEET,27.00
RO,18108,GLIALKA PLUS,625.00
RO,18109,KASKO MET,3.00
RO,18119,,1790.00
RO,18119,SINALA,35.00
RO,18125,ALLSTAR,16.00
RO,18133,TACOS,74.00
RO,18134,DOMARK CEREALI,2195.00
RO,18137,,22.00
RO,18137,REVYSION,1154.00
RO,18138,,19.00
RO,18143,QUESTAR,1290.00
RO,18143,QUESTAR T 75,60.00
RO,18148,BAGGY GOLD SC,100.00
RO,18148,BUGGY GOLD,1740.00
RO,18152,,58.00
RO,18152,NAVIGATOR,3.00
RO,18166,MERISTO,4.00
RO,18181,UNIVOQ,440.00
RO,18212,IBISCO PFnPE,1.20
RO,18213,BACILLUS CHEMIA PFnPE,0.20
RO,18216,VITIKAPPA  gr 100,0.70
RO,18216,VITIKAPPA PFnPE,5.00
RO,18222,FERRAMOL LUMACHICIDA,65.00
RO,18222,FERRAMOL PFePE,119.00
RO,18222,FERRAMOL PFnPE,1715.50
RO,18223,NATRIA LUMACHICIDA PFnPE,109.00
RO,18224,SAPULI',3125.00
RO,18229,BAC MK PFnPE,4.50
RO,18232,BORDOFLOW NEW ML50,0.35
RO,18232,BORDOFLOW NEW PFnPE,3.85
RO,18235,CIOPPER PFnPE,4.20
RO,18241,IDRORAME FLOW,10.00
RO,18241,IDRORAME FLOW PFNPE,34.00
RO,18242,LEPINOX PLUS g 10,0.84
RO,18242,LEPINOX PLUS PFEPE BIO,0.23
RO,18242,LEPINOX PLUS PFnPE,11.60
RO,18244,MOMENTUM PFnPE,5.72
RO,18245,,3.50
RO,18245,POLTIGLIA MANICA 20 WG PFnPE,41.50
RO,18251,TIOLENE PFnPE,1.00
RO,18253,VERDERAME 20 WG gr500,7.00
RO,18253,VERDERAME 20 WG PFnPE,10.00
RO,18254,ZOLVIS 80 SECTOR PFnPE,81.50
RO,18259,BARBARIAN BIOGRADE 360 PFnPE,36.00
RO,18261,BARCLAY GALLUP BIOGRADE 360 PFnPE,164.00
RO,18263,BIOLID UP PFnPE,65.20
RO,18266,COBRE NORDOX SUPER 75 WG PFnPE,2.40
RO,18269,GLIFENE BIOGRADE PF E PE,10.00
RO,18269,GLIFENE BIOGRADE PFnPE,389.50
RO,18270,GLIPHOGAN TOP CL,102.00
RO,18270,GLIPHOGAN TOP CL PFnPE,1467.50
RO,18277,SHAMAL MK PLUS CL DISERBANTE TOTALE,271.00
RO,18277,SHAMAL MK PLUS CL PFnPE,98.00
RO,18284,WANAX PFnPE,6.00
RO,18288,BEMOTIUS,24.00
RO,18319,TUTAVIR ER2,0.50
RO,18323,,12.00
RO,18323,VIBALLA SF2,49.00
RO,18325,,4.00
RO,18325,BENEVIA 2023,1.00
RO,18342,,13250.00
RO,18342,AF-X1 2023,9925.00
RO,18373,AURA 2023,50.00
RO,18383,,2.00
RO,18383,EXIREL 2023,1.00
RO,18386,,38130.00
RO,18388,GEOCLEAN 2023,205.00
RO,18389,,2400.00
RO,18426,,20.00
RO,18426,VERIMARK 2023,30.00
TV,13,,14310.00
TV,13,THIOPRON,157590.00
TV,13,THIOPRON LT 10,30.00
TV,206,,52.00
TV,206,ALBENE,588.00
TV,298,CUPRIN,20.00
TV,599,ACUPRICO 76 WG,360.00
TV,599,ACUPRICO 76 WG KG 10,30.00
TV,599,ACUPRICO 76 WG KG 5,10.00
TV,619,VALGRAN,3.00
TV,909,,50.00
TV,909,POLISOLFURO DI CALCIO POLISENIO,50.00
TV,1155,,57.00
TV,1155,CHEMOL 90 EL,18.00
TV,1156,,625.00
TV,1156,CHEMOL,1870.00
TV,1156,CHEMOL LT 1,44.00
TV,1156,CHEMOL LT 25,600.00
TV,1156,CHEMOL LT 5,175.00
TV,1573,BASAMID GRANULAT,460.00
TV,1583,,49289.00
TV,1583,MICROTHIOL DISPERSS,426677.00
TV,1583,MICROTHIOL DISPERSS DA 15 CHILI,915.00
TV,1583,MICROTHIOL DISPERSS KG 15,285.00
TV,1850,,270.00
TV,1850,IDRORAME FLOW,1548.00
TV,1903,SULFURENE,50.00
TV,1936,,7180.00
TV,1936,LIQUIZOL M,19270.00
TV,2191,WETTING PLUS,335.00
TV,2259,PASTA LUMACHICIDA IN GRANI,15.00
TV,2291,,72.00
TV,2291,ESCA REGINA N,198.50
TV,2291,ESCA REGINA N PFnPE,15.00
TV,2307,VECTOR,7522.00
TV,2353,,16.00
TV,2353,BONALAN,1627.00
TV,2353,BONALAN LT 1,45.00
TV,2353,BONALAN LT 5,145.00
TV,2518,ACTELLIC 2/P,0.20
TV,2732,,65.00
TV,2732,GOLTIX,13.00
TV,2923,,4534.00
TV,2923,TIOVIT JET,78085.00
TV,2923,TIOVIT JET DA 1 CHILO,383.00
TV,2923,TIOVIT JET DA 10 CHILI,180.00
TV,2923,TIOVIT JET DA 25 CHILI,1025.00
TV,2923,TIOVIT JET KG 1,98.00
TV,2923,TIOVIT JET KG 10,290.00
TV,2923,TIOVIT JET KG 25,1025.00
TV,3065,OLIOCIN,275.00
TV,3102,OLEOTER,577.50
TV,3102,OLEOTER PFnPE,5.50
TV,3132,SEPR-OIL,1.25
TV,3182,,228.00
TV,3182,AFITIN L,17.00
TV,3343,,22.00
TV,3343,U46 M CLASS,1292.00
TV,3412,,93.00
TV,3412,SYLLIT 65,129.00
TV,3486,TRISCABOL DG,45.00
TV,3503,,35.00
TV,3503,AGRUMIN,4850.00
TV,3503,AGRUMIN LT 20,10.00
TV,3553,CURZATE,224.00
TV,3640,CUPROSTAR,1380.00
TV,3658,SIPCAMOL E,0.25
TV,3754,BAGNANTE SARIAF,14.00
TV,3767,,38.00
TV,3767,FENOXILENE 200,307.00
TV,4701,PIRIMOR 50,27.00
TV,4710,,72.00
TV,4710,ALIETTE,1929.00
TV,4710,ALIETTE KG 6,84.00
TV,4710,ALIETTE PFnPE,66.00
TV,4896,RIGENAL P,1.10
TV,5152,TIOSPOR WG,16711.00
TV,5299,MIBIOL,8.00
TV,5414,RADICANTE POLVERE TALEE LEGNOSE,0.30
TV,5574,LUMAKIDIN 5G,160.00
TV,6136,GERMON L,21.50
TV,6321,STIMOLANTE 66F,1.02
TV,6322,OBSTHORMON 24A,6.00
TV,6389,DUECI-FITO RADICANTE,1.20
TV,6437,ETHREL,112.00
TV,6438,BI-FEN,16.00
TV,6556,K-OBIOL DP2,186.00
TV,6834,,1640.00
TV,6834,TEPETA COMBI FLOW,5610.00
TV,6873,IDRORAME 193,14.00
TV,6945,TOPAS 10 EC,158.25
TV,6956,TARGA FLO,9.00
TV,7020,,570.00
TV,7020,BAGNANTE CIFO,3283.00
TV,7053,PASTA CAFFARO NC,584.50
TV,7055,PASTA CAFFARO BLU,10.00
TV,7055,PASTA CAFFARO BLU PFnPE,3.00
TV,7368,,2.00
TV,7368,TURFENE L,622.00
TV,7379,VENZAR,11.00
TV,7401,POLTIGLIA CAFFARO 20 DF NEW,60.00
TV,7411,,0.50
TV,7541,APOLLO SC,2.55
TV,7700,,1.00
TV,7700,MATACAR FL,19.00
TV,7736,ZOLFO SCORREVOLE TRIVENTILATO 95% S,13050.00
TV,7737,,200.00
TV,7764,,3580.00
TV,7764,TIOLENE,18595.00
TV,7911,,1283.00
TV,7911,AIRONE EXTRA,12531.00
TV,7911,AIRONE EXTRA KG 10,120.00
TV,7916,,18576.00
TV,7916,POLYRAM DF,105631.00
TV,7916,POLYRAM DF DA 2 CHILI,122.00
TV,7916,POLYRAM DF DA 25 CHILI,75.00
TV,7916,POLYRAM DF KG 10,25.00
TV,7916,POLYRAM DF KG 2,62.00
TV,7919,,370.00
TV,7919,TOUCHDOWN,1895.00
TV,7922,,25.00
TV,7922,OPALENE FLUID,5.50
TV,7930,,76.00
TV,7930,KERB FLO,1866.00
TV,7961,RIZOLEX  GOLD,12.00
TV,7983,ZODIAC DFF,90.00
TV,7984,STRATOS,2.00
TV,8023,SUMIALFA ECHO,5.00
TV,8102,,255.00
TV,8102,MERPAN 80 WDG,1629.00
TV,8139,,54.00
TV,8146,,23.00
TV,8146,GALLERY,432.50
TV,8146,GALLERY ML 500,1.00
TV,8184,CHALLENGE,385.00
TV,8225,BLUE SHIELD HI BIO,9550.00
TV,8259,,86.00
TV,8259,LAMDEX EXTRA,347.00
TV,8320,DELFIN,42.00
TV,8376,ARIANE II,103.00
TV,8376,ARIANE II LT 1,76.00
TV,8376,ARIANE II LT 5,90.00
TV,8382,ROUNDUP BIOFLOW,7.50
TV,8498,,4.00
TV,8498,FOLICUR WG,255.50
TV,8498,FOLICUR WG GR 500,57.00
TV,8542,,24.00
TV,8542,FORUM 50 WP,369.00
TV,8546,DANITRON,2.00
TV,8581,,60.00
